SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
ITRM,2020-12-31,USD,-9031000,None,None,None,None,3150000,0,None,None,None,None,15127000,None,None,None,None,None,None,None,None,None,None,16366000,None,6096000,None,-11186000
ITRM,2020-09-30,USD,-4417000,None,None,None,None,3142000,9000,None,None,None,-9000,767000,None,None,None,None,None,None,None,None,None,None,-42380000,None,-3659000,None,-12199000
ITRM,2020-06-30,USD,-13689000,None,None,None,None,3145000,2000,None,None,None,-2000,2710000,None,None,None,None,None,None,None,None,None,None,3517000,None,-10981000,None,-12521000
ITRM,2020-03-31,USD,-27391000,None,None,None,None,1653000,0,None,None,None,-2000,45871000,None,None,None,None,None,None,None,None,None,None,47423000,None,18480000,None,-16100000
ITRM,2019-12-31,USD,-20016000,None,None,None,None,158000,2000,None,None,None,-2000,-4071000,None,None,None,None,None,None,None,None,None,None,-3037000,None,-24089000,None,-23641000
ITRM,2019-09-30,USD,-25409000,None,None,None,None,112000,22000,None,None,None,25000,3037000,None,None,None,None,None,None,None,None,None,None,-71163000,None,-22347000,None,-31271000
ITRM,2019-06-30,USD,-18407000,None,None,None,None,209000,12000,None,None,None,4988000,11000,None,None,None,None,None,None,None,None,None,None,74211000,None,-13408000,None,-27638000
ITRM,2019-03-31,USD,-15053000,None,None,None,None,35000,10000,None,None,None,35090000,49000,None,None,None,None,None,None,None,None,None,None,49000,None,20086000,None,-20580000
ITRM,2018-12-31,USD,-23825000,None,None,None,None,37000,21000,None,None,None,28746000,7000,None,None,None,None,None,None,None,None,None,None,106335000,None,None,None,-24257000
ITRM,2018-09-30,USD,-27495000,None,None,None,None,35000,16000,None,0,None,-17774000,7000,None,None,None,None,0,0,None,None,None,None,106328000,None,None,None,-24905000
ITRM,2018-06-30,USD,-12930000,None,None,None,None,33000,32000,None,0,None,-28987000,88659000,None,None,None,None,0,0,None,None,None,None,106328000,None,None,None,-15747000
ITRM,2018-03-31,USD,-11640000,None,None,None,None,31000,21000,None,None,None,9357000,32176000,None,None,None,None,None,None,None,None,None,None,32176000,None,None,None,-12146000
ITRM,2017-12-31,USD,-30604000,None,None,None,None,65000,812000,None,None,None,-31587000,45867000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-29406000
ITRM,2017-09-30,USD,-5437000,None,None,None,None,22000,153000,None,None,None,-3636000,32176000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8171000
ITRM,2017-06-30,USD,-9609000,None,None,None,None,14000,94000,None,None,None,-33879000,45867000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-6280000
ITRM,2017-03-31,USD,-5435000,None,None,None,None,14000,518000,None,None,None,-518000,45867000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5837000
ITRM,2016-12-31,USD,-11298000,None,None,None,None,65000,812000,None,None,None,-31587000,20851000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-13464000
