SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
JUNO,2017-12-31,USD,-92864000,None,None,-8775000,-15209000,15200000,4021000,-20425000,None,-273835000,-139116000,14922000,None,None,None,None,None,None,None,48000,None,None,48000,None,-217056000,None,-136036000
JUNO,2017-09-30,USD,-40275000,None,None,-5334000,5428000,2400000,13912000,23985000,None,-238051000,-36528000,307926000,None,None,None,None,None,None,None,None,None,None,307997000,None,231143000,None,-118133000
JUNO,2017-06-30,USD,-37966000,None,None,1633000,-18427000,5689000,21839000,1525000,None,-202601000,37578000,13387000,None,None,None,None,None,None,None,None,None,None,2604000,None,12990000,None,-100740000
JUNO,2017-03-31,USD,-53928000,None,None,17490000,16432000,3338000,21152000,-4462000,None,-165726000,69856000,1930000,None,None,None,None,None,None,None,None,None,None,1930000,None,17813000,None,-82197000
JUNO,2016-12-31,USD,-69442000,None,None,3246000,20449000,3753000,38451000,2683000,None,-107082000,37021000,-3125000,None,None,None,None,None,None,None,None,None,None,1532000,None,-35529000,None,-52778000
JUNO,2016-09-30,USD,151049000,None,None,-9655000,851000,3649000,6351000,1293000,None,-114388000,4237000,849000,None,None,None,None,None,None,None,None,None,None,1635000,None,-61923000,None,-56897000
JUNO,2016-06-30,USD,-125228000,None,None,52684000,6005000,3544000,7408000,9107000,None,-130718000,-26888000,-8534000,None,None,None,None,None,None,None,None,None,None,-7749000,None,-30664000,None,-64767000
JUNO,2016-03-31,USD,-208050000,None,None,-8298000,3250000,3240000,4036000,-115000,None,-149629000,74185000,47592000,None,None,None,None,None,None,None,None,None,None,47679000,None,63609000,-3000,-71138000
JUNO,2015-12-31,USD,-207742000,None,None,1593000,3741000,None,4848000,56000,None,-171633000,-276508000,2383000,None,None,None,None,None,None,None,None,None,None,None,None,-316739000,-78000,-85213000
JUNO,2015-09-30,USD,244326000,None,None,158610000,1526000,None,14182000,-100000,None,-43185000,-440675000,850252000,None,None,None,None,None,None,None,None,None,None,None,None,529619000,23000,-23240000
JUNO,2015-06-30,USD,-136764000,None,None,None,None,None,6812000,None,None,-136764000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-124640000,None,-65958000
