SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
LADR,2020-12-31,USD,23934000,38217000,8000,6036000,907000,9437000,3614000,-2088000,None,-11583000,851787000,-509173000,None,452000,452000,None,23736000,-23736000,None,None,None,None,31548000,None,366548000,None,-11716000
LADR,2020-09-30,USD,44556000,66502000,56550000,-22499000,-56839000,9817000,509000,-523000,None,21382000,257169000,-257993000,None,895000,895000,None,21417000,-21417000,None,None,None,None,-895000,None,43732000,None,17189000
LADR,2020-06-30,USD,84545000,48843000,66696000,15556000,-67352000,9816000,1040000,-4449000,None,-5193000,910774000,-743536000,None,482000,482000,None,36395000,-36395000,None,None,None,None,7943000,None,4623000,None,-4189000
LADR,2020-03-31,USD,-41092000,262222000,189423000,-32456000,27241000,10009000,940000,2165000,None,-14061000,-477465000,785032000,None,1206000,1206000,None,37340000,-37340000,None,None,None,None,-1206000,1000,266475000,None,-15728000
LADR,2019-12-31,USD,118962000,432629000,450229000,19818000,-54345000,9319000,3986000,-1281000,None,45450000,159172000,-44141000,None,None,0,None,224000,-224000,None,None,None,None,-4641000,None,233993000,None,40649000
LADR,2019-09-30,USD,-68300000,286370000,143776000,-8205000,73969000,9030000,1899000,-1570000,None,30948000,-236381000,211001000,None,None,0,None,36066000,-36066000,None,None,None,None,-5365000,None,-93680000,None,27577000
LADR,2019-06-30,USD,36072000,192933000,271402000,18064000,-112469000,9935000,800000,-2358000,None,36072000,90761000,-155140000,None,None,637000,None,36090000,-36090000,None,None,None,None,-4376000,None,36072000,None,32243000
LADR,2019-03-31,USD,24531000,239241000,159617000,-42869000,12061000,10227000,907000,-347000,None,24531000,-140139000,188956000,None,None,None,None,72150000,-72150000,None,None,None,None,-4232000,None,24531000,None,22176000
LADR,2018-12-31,USD,26846000,213350000,378471000,25698000,-189922000,10063000,2960000,-629000,None,26846000,-22834000,-215401000,None,None,None,None,2000,-2000,None,None,None,None,91840000,None,26846000,None,24103000
LADR,2018-09-30,USD,83464000,502138000,84713000,-7769000,263439000,10417000,1532000,211000,None,83464000,160440000,54679000,None,None,None,None,31550000,-31550000,None,None,None,None,-14161000,None,83464000,None,66630000
LADR,2018-06-30,USD,43568000,174664000,404106000,24498000,-165718000,10656000,1407000,408000,None,43568000,-298365000,41221000,None,None,None,None,31499000,-31499000,None,None,None,None,-2293000,None,43568000,None,38407000
LADR,2018-03-31,USD,67798000,590284000,439394000,-21991000,88233000,10823000,1883000,1349000,None,67798000,-182106000,177700000,None,None,None,None,59721000,-59721000,None,None,None,None,-15358000,None,67798000,None,50875000
LADR,2017-12-31,USD,797298000,595614000,1376156000,6371000,-811241000,11009000,1697000,-550000,None,45370000,-361140000,-350852000,None,None,None,None,624000,35946000,None,None,None,None,-44568000,None,85306000,None,47104000
LADR,2017-09-30,USD,-281836000,374889000,476000,466000,325548000,10606000,1139000,-61000,None,30453000,58669000,165059000,None,None,None,None,25541000,-25541000,None,None,None,None,-5881000,None,-58108000,None,24039000
LADR,2017-06-30,USD,23557000,319256000,937000,11368000,316904000,10125000,2052000,-778000,None,13432000,-215870000,532519000,None,None,None,None,25544000,-25544000,None,None,None,None,-23754000,None,23557000,None,10662000
LADR,2017-03-31,USD,-468339000,306671000,247000,-22781000,255729000,8592000,752000,2826000,None,19630000,211706000,41179000,None,None,None,None,48367000,-48367000,None,None,None,None,-21034000,None,-215454000,None,13470000
LADR,2016-12-31,USD,1105283000,331070000,736956000,32088000,-438086000,10658000,3827000,644000,None,71621000,101253000,-664215000,None,None,None,None,0,-67166000,None,None,None,None,-44964000,None,527243000,None,71323000
LADR,2016-09-30,USD,-205875000,564552000,344747000,21924000,167231000,9733000,3564000,2627000,None,49599000,-72257000,175010000,None,None,None,None,17323000,-117009000,None,None,None,None,-9304000,None,-124844000,None,50037000
LADR,2016-06-30,USD,17144000,291954000,42970000,-4069000,252993000,9254000,1207000,-972000,None,3944000,-76371000,271680000,None,None,None,None,16823000,82863000,None,None,None,None,21991000,None,17144000,None,7655000
LADR,2016-03-31,USD,351282000,138517000,317290000,-51412000,-218562000,9802000,2042000,-637000,None,-11444000,21961000,-230552000,None,None,None,None,33020000,-33020000,None,None,None,None,-17339000,None,116410000,None,-5539000
