SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
LINC,2020-12-31,USD,13263000,4176000,None,8786000,1833000,1854000,2026000,1437000,-472000,81891000,-2026000,-804000,None,None,1000,None,304000,-304000,304000,None,0,None,-1000,None,10433000,None,46020000
LINC,2020-09-30,USD,3754000,4257000,None,5894000,14388000,1783000,482000,15624000,-241000,3512000,-482000,-1647000,None,None,72000,None,-1074000,-1074000,None,None,0,None,-72000,None,1625000,None,3512000
LINC,2020-06-30,USD,18415000,3802000,None,4437000,9402000,1873000,1785000,8487000,1272000,783000,-1688000,-500000,None,None,0,None,None,None,None,None,0,None,0,None,-3019000,None,783000
LINC,2020-03-31,USD,-11947000,4168000,None,-6631000,12195000,1890000,1287000,11835000,227000,-1750000,-1287000,-15669000,None,None,172000,None,None,None,None,None,11000000,None,-172000,None,-28903000,None,-1750000
LINC,2019-12-31,USD,5881000,2171000,None,-5133000,6175000,2144000,2113000,4952000,-291000,9478000,-1749000,18758000,None,None,0,None,None,None,None,None,35000000,None,12700000,None,22890000,None,9206000
LINC,2019-09-30,USD,5889000,4253000,None,3142000,7006000,1983000,2060000,7216000,-187000,1339000,-1849000,728000,None,None,0,None,None,None,None,None,1295000,None,0,None,4768000,None,1340000
LINC,2019-06-30,USD,140000,3821000,None,1689000,4373000,1939000,573000,4493000,394000,-3064000,-573000,1238000,None,None,0,None,None,None,None,None,1250000,None,0,None,-6885000,None,-3064000
LINC,2019-03-31,USD,-10922000,4300000,None,-1777000,10552000,2050000,639000,9325000,241000,-5467000,-639000,-24204000,None,None,18000,None,None,None,None,None,2500000,None,-18000,None,-35765000,None,-5467000
LINC,2018-12-31,USD,4122000,531000,None,-5610000,2032000,2132000,480000,2536000,-860000,5033000,-480000,24301000,None,None,0,None,None,None,None,None,26600000,None,0,None,27943000,None,5033000
LINC,2018-09-30,USD,6518000,644000,None,7636000,8416000,2101000,2406000,7980000,509000,-600000,-73000,-13000,None,None,0,None,None,None,None,None,0,None,0,None,6432000,None,-600000
LINC,2018-06-30,USD,-2292000,624000,None,1045000,4961000,2088000,1335000,5564000,-108000,-4104000,-1328000,1838000,None,None,61000,None,None,None,None,None,1900000,None,-61000,None,-4104000,None,-4104000
LINC,2018-03-31,USD,-10042000,422000,None,-915000,8521000,2100000,476000,7756000,253000,-6874000,-468000,-30691000,None,None,311000,None,None,None,None,None,2500000,None,-311000,None,-41201000,None,-6874000
LINC,2017-12-31,USD,5286000,359000,None,-5849000,1755000,2264000,990000,1728000,-130000,8130000,-980000,2980000,None,None,11000,None,None,None,None,None,37900000,None,-11000,None,7286000,None,7707000
LINC,2017-09-30,USD,2904000,582000,None,5119000,4287000,2163000,1667000,4684000,-97000,-1490000,12663000,-15500000,None,None,0,None,None,None,None,None,0,None,0,None,67000,None,-1490000
LINC,2017-06-30,USD,-8037000,315000,None,-3245000,4319000,2122000,1266000,4679000,216000,-6771000,-1170000,7710000,None,None,0,None,None,None,None,None,8000000,None,0,None,-1497000,None,-6771000
LINC,2017-03-31,USD,-11474000,1673000,None,-2592000,5918000,2153000,832000,4587000,-19000,-10929000,-596000,-287000,20252000,None,429000,None,None,None,None,None,30000000,None,-429000,None,-12357000,None,-10929000
LINC,2016-12-31,USD,3406000,1273000,None,-6969000,-1268000,2476000,1441000,-1742000,-177000,-18627000,-1539000,-43000,0,None,71000,None,None,None,None,None,None,None,-71000,None,1824000,None,-18627000
LINC,2016-09-30,USD,8625000,1248000,None,12691000,8440000,2496000,600000,8820000,-152000,-471000,-336000,1000,0,None,0,None,None,None,None,None,None,None,0,None,8290000,None,-471000
LINC,2016-06-30,USD,-8969000,1343000,None,-6819000,3771000,2667000,1054000,3820000,99000,-3138000,-234000,-13000,0,None,6000,None,None,None,None,None,None,None,-6000,None,-9216000,None,-3138000
LINC,2016-03-31,USD,-9169000,1551000,None,-2320000,5758000,3427000,501000,4715000,29000,-6068000,-73000,-9012000,0,None,101000,None,None,None,None,None,None,None,-101000,None,-18254000,None,-6068000
