SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
LOGM,2020-06-30,USD,80656000,None,None,None,None,69628000,9703000,-2135000,None,19041000,-18462000,-4580000,None,None,None,None,None,None,None,None,None,None,6771000,None,130589000,None,19041000
LOGM,2020-03-31,USD,87999000,6065000,None,38802000,21795000,69245000,8401000,986000,None,-11285000,-18720000,-3146000,None,None,None,None,None,None,None,None,None,None,85000,None,38202000,None,-11285000
LOGM,2019-12-31,USD,6310000,None,None,None,None,76241000,5625000,-26129000,None,6310000,-15993000,-15900000,None,39316000,None,None,15900000,15900000,None,None,None,None,-34245000,None,-31800000,None,-4102000
LOGM,2019-09-30,USD,83001000,27593000,None,26334000,8535000,76022000,7732000,-8498000,None,5108000,-10908000,-61734000,None,44956000,44956000,None,16037000,16000000,None,None,None,None,-44905000,None,-89876000,None,5108000
LOGM,2019-06-30,USD,83717000,None,None,None,None,76389000,9894000,-1914000,None,-6522000,-19724000,-98050000,None,70165000,None,None,16200000,16200000,None,None,None,None,-70124000,None,34548000,None,-6522000
LOGM,2019-03-31,USD,119650000,1906000,None,22975000,-2233000,75944000,12187000,-6024000,None,-9039000,-43565000,-78332000,None,54067000,54067000,None,16500000,16500000,None,None,None,None,-54026000,None,-33000000,None,-9039000
LOGM,2018-12-31,USD,38980000,None,None,None,None,77890000,9375000,-8550000,None,38980000,-17456000,-15300000,None,56914000,None,None,15300000,15300000,None,None,None,None,-56914000,None,8380000,None,25388000
LOGM,2018-09-30,USD,73662000,1779000,None,-1461000,10806000,76820000,7961000,6429000,None,12717000,-14958000,-89377000,None,75127000,75127000,None,15523000,15500000,None,None,None,None,-72318000,None,-136787000,None,12717000
LOGM,2018-06-30,USD,103229000,None,None,None,None,75071000,6380000,12910000,None,6554000,-360497000,98394000,None,68202000,None,None,15600000,15600000,None,None,None,None,-67243000,None,-16998000,None,6554000
LOGM,2018-03-31,USD,153973000,None,None,31670000,-11820000,71290000,7249000,-9820000,None,29712000,28049000,-71806000,None,46901000,46901000,None,15700000,15700000,None,None,None,None,-46838000,None,53256000,None,29712000
LOGM,2017-12-31,USD,29822000,None,None,None,None,62560000,13313000,-10138000,None,29822000,-10117000,-13100000,None,18154000,None,None,13100000,13100000,None,None,None,None,-18006000,None,-26200000,1013000,93321000
LOGM,2017-09-30,USD,90475000,None,None,-1155000,-2337000,60175000,13518000,6477000,None,9920000,-54506000,-36366000,None,21460000,21460000,None,13181000,13200000,None,None,None,None,-20451000,None,1044000,1511000,9920000
LOGM,2017-06-30,USD,586000,None,None,None,None,58302000,6110000,-3130000,None,586000,-9065000,-13200000,None,22150000,None,None,13200000,13200000,None,None,None,None,-21281000,None,-5716000,2905000,14846000
LOGM,2017-03-31,USD,-68364000,None,None,89856000,3683000,40284000,3694000,-3127000,None,-68364000,41660000,-12800000,None,7465000,7465000,None,12800000,12800000,None,None,None,None,-2980000,None,125967000,2651000,-18564000
LOGM,2016-12-31,USD,179906000,None,None,None,None,5429000,1386000,-10135000,None,179906000,6826000,-17082000,None,2582000,None,None,-12766000,-12766000,None,None,None,None,-272000,None,179906000,-3813000,1862000
LOGM,2016-09-30,USD,30453000,None,None,6846000,648000,5372000,3817000,1641000,None,-1223000,10576000,-24467000,None,3462000,3462000,None,-12700000,-12700000,None,None,None,None,577000,None,6718000,513000,-657000
LOGM,2016-06-30,USD,173252000,None,None,None,None,5260000,4436000,509000,None,173252000,-4953000,-20777000,None,10970000,None,None,None,None,None,None,None,None,-6691000,None,-1309000,-1573000,2506000
LOGM,2016-03-31,USD,158054000,None,None,27621000,3130000,5444000,4376000,-1053000,None,158054000,-4989000,-17122000,None,8367000,8367000,None,None,None,None,None,None,None,-7242000,None,18048000,2159000,-1073000
LOGM,2015-12-31,USD,165408000,None,None,None,None,4466000,3297000,293000,None,165408000,-110977000,61208000,None,3358000,None,None,-39469000,-39469000,None,None,None,None,-815000,None,165408000,-1256000,6235000
LOGM,2015-09-30,USD,27445000,None,None,371000,2434000,3298000,4353000,1563000,None,12934000,11677000,-1283000,None,0,0,None,None,None,None,None,None,None,2967000,None,24270000,427000,5563000
