SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
LONG,2015-12-31,USD,None,None,None,None,None,None,6794000,None,None,None,154550000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
LONG,2014-12-31,USD,21175000,None,None,None,None,None,9440000,None,None,None,910000,259000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
LONG,2014-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5060000
LONG,2013-12-31,USD,8530000,None,None,None,None,None,7773000,None,None,None,None,3574000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
LONG,2013-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,446000
LONG,2012-12-31,USD,21560000,None,None,None,None,None,8464000,None,None,None,None,206000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,910000
LONG,2012-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2504000
LONG,2012-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1887000
LONG,2011-12-31,USD,15577000,None,None,None,None,None,3807000,None,None,None,None,135277000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2435000
LONG,2011-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1510000
LONG,2011-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1117000
LONG,2011-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1177000
LONG,2010-12-31,USD,12937000,None,None,None,None,None,2666000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,668000
LONG,2010-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,203000
LONG,2010-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1386000
LONG,2010-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,869000
LONG,2009-12-31,USD,10111000,None,None,None,None,None,1756000,None,None,None,36377000,139000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,142000
LONG,2009-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1097000
LONG,2009-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1384000
LONG,2009-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,293000
LONG,2008-12-31,USD,None,None,None,None,None,None,4816000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
