SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
LUNA,2020-12-31,USD,2759000,-172000,None,2975000,1431000,1615000,259000,1161000,131000,444000,-34449000,20620000,None,123000,123000,None,None,None,None,None,None,None,-1520000,None,-11070000,None,-64000
LUNA,2020-09-30,USD,28000,2292000,None,159000,5133000,408000,311000,1992000,482000,3102000,-8000,-104000,None,125000,125000,None,None,None,None,None,None,None,-91000,None,-84000,None,3102000
LUNA,2020-06-30,USD,371000,367000,None,-728000,1652000,414000,37000,876000,40000,1369000,-137000,-52000,None,None,None,None,None,None,None,None,None,None,-39000,None,989000,None,1369000
LUNA,2020-03-31,USD,-302000,379000,None,-1078000,336000,414000,74000,-737000,897000,-2088000,435000,1185000,None,None,None,None,None,None,None,None,None,None,1198000,None,1318000,None,-1116000
LUNA,2019-12-31,USD,3713201,2295143,None,1203585,-167382,2619183,39635,10925,649690,2146545,-117991,-3560,None,None,None,None,None,None,None,None,None,None,-438467,None,3591650,None,2146000
LUNA,2019-09-30,USD,-33000,2347000,None,3182000,3643000,11000,95000,2951000,-88000,1229000,-150000,-1941000,None,None,None,None,None,None,None,None,None,None,-1929000,None,-2124000,None,1231000
LUNA,2019-06-30,USD,840000,405000,None,-3894265,241325,10000,191000,339766,-367000,840000,-267000,-296000,None,None,None,None,None,None,None,None,None,None,-37946,None,840000,None,840000
LUNA,2019-03-31,USD,1126000,2305000,None,1345000,-55000,216000,215000,-1053000,528000,1126000,-19280000,-197000,None,None,None,None,None,None,None,None,None,None,185000,None,1126000,None,1126000
LUNA,2018-12-31,USD,940000,1858100,None,213726,596610,320344,114851,2183661,-24278,940000,-4190311,-629724,None,None,None,None,None,None,None,None,None,None,-1255118,None,940000,None,940000
LUNA,2018-09-30,USD,8849000,97397,None,644786,3037835,275638,74027,2534112,509881,8849000,14610355,-51050,None,None,None,None,None,None,None,None,None,None,415040,None,8849000,None,8849000
LUNA,2018-06-30,USD,1067000,-32311,None,-850784,2279476,314725,68292,1293069,372099,1067000,-140093,186907,None,None,None,None,None,None,None,None,None,None,656937,None,1067000,None,1067000
LUNA,2018-03-31,USD,-2540334,40467,None,-1456154,206337,307852,129720,229535,110095,148676,-242828,-755697,None,None,None,None,None,None,None,None,None,None,-283753,None,-3538859,None,149000
LUNA,2017-12-31,USD,333656,372998,None,814390,924244,284742,458833,975739,-348925,435329,-561945,-1304615,None,None,None,None,None,None,None,None,None,None,-932759,None,-1532904,None,435000
LUNA,2017-09-30,USD,895707,53278,None,-408301,3751,488119,97481,-1021113,1080717,15757324,27855504,-528029,None,None,None,None,None,None,None,None,None,None,-56554,None,28223182,None,15757324
LUNA,2017-06-30,USD,-378369,99806,None,337639,1453392,797061,638909,905221,818084,-221762,-821797,-614513,None,None,None,None,None,None,None,None,None,None,-143266,None,-1814679,None,-221762
LUNA,2017-03-31,USD,64048,61322,None,-1450966,-1714559,956687,157308,-2011902,352435,-1355987,-290362,-470210,None,None,None,None,None,None,None,None,None,None,820,None,-696524,None,-1355987
LUNA,2016-12-31,USD,386041,99196,None,1580464,2699491,954002,76724,2370876,471511,306134,-249637,-517097,None,None,None,None,None,None,None,None,None,None,-7993,None,-380693,None,306000
LUNA,2016-09-30,USD,226188,86856,None,-17317,615026,898274,138485,1030136,-490371,-445076,-211574,-639262,None,None,None,None,None,None,None,None,None,None,-168674,None,-624648,None,-445078
LUNA,2016-06-30,USD,532512,79151,None,-529584,-654528,921804,1156676,-130560,-453697,-770976,-1299407,-626762,None,None,None,None,None,None,None,None,None,None,-156386,None,-1393657,None,-770976
LUNA,2016-03-31,USD,-1544578,276645,None,-629030,654576,939799,138099,298309,-20375,-1459574,-239566,-478440,None,None,None,None,None,None,None,None,None,None,None,None,-2262584,None,-1459574
