SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
LX,2020-12-31,CNY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,509676000
LX,2020-09-30,CNY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,344695000
LX,2020-06-30,CNY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,419036000
LX,2020-03-31,CNY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-678427000
LX,2019-12-31,CNY,0,None,None,None,None,0,0,0,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,0,0,517922000
LX,2019-09-30,CNY,0,None,None,None,None,0,0,0,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,0,0,724366000
LX,2019-06-30,CNY,0,None,None,None,None,0,0,0,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,0,0,627964000
LX,2019-03-31,CNY,0,None,None,None,None,0,0,0,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,0,0,582984000
LX,2018-12-31,USD,0,None,None,None,None,0,0,0,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,0,0,152605800.68
LX,2018-09-30,USD,0,None,None,None,None,0,0,0,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,0,0,46000087.35
LX,2018-06-30,USD,0,None,None,None,None,0,0,0,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,0,0,69769646.07
LX,2018-03-31,USD,0,None,None,None,None,0,0,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,23312315.90
LX,2017-12-31,USD,255495000,None,None,None,None,18859000,5817000,None,659000,None,-5423884000,678052000,None,None,None,None,None,None,None,None,None,None,651250000,None,None,None,15912000
LX,2017-09-30,USD,149324000,None,None,None,None,5308000,4827000,None,228000,None,-1501584000,480256000,None,None,None,None,None,None,None,None,None,None,651250000,None,None,None,10447000
LX,2017-06-30,USD,450211000,None,None,None,None,5308000,7306000,None,228000,None,-1501584000,574194000,None,None,None,None,None,None,None,None,None,None,651250000,None,None,None,2409000
LX,2017-03-31,USD,271644500,None,None,None,None,4220500,12405500,None,-10139500,None,-1330119500,1310546500,None,None,None,None,None,None,None,None,None,None,651250000,None,None,None,8173000
LX,2016-12-31,USD,54708000,None,None,None,None,4586000,4630000,None,-65097000,None,-4502270000,642366000,None,None,None,None,None,None,None,None,None,None,651250000,None,None,None,-117939000
LX,2015-12-31,USD,-1485106000,None,None,None,None,1388000,1608000,None,-33265000,None,-1587645000,468039000,None,None,None,None,None,None,None,None,None,None,651250000,None,None,None,-310194000
