SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MKTX,2020-12-31,USD,227620000,None,None,-1373000,-126187000,1900000,1988000,-123369000,None,72931000,-34252000,-27741000,100000000,682000,682000,None,22462000,-22462000,None,None,None,None,2577000,None,165627000,None,72931000
MKTX,2020-09-30,USD,-48353000,None,None,3350000,293039000,700000,3758000,286798000,None,67776000,90188000,-33376000,None,4165000,4165000,None,22436000,-22436000,None,None,None,None,-4156000,None,8459000,None,67776000
MKTX,2020-06-30,USD,104853000,None,None,-12363000,1352000,600000,4973000,5817000,None,83854000,-11626000,-34173000,None,5873000,5873000,None,22424000,-22424000,None,None,None,None,-5214000,None,83854000,None,83854000
MKTX,2020-03-31,USD,120369000,None,None,16392000,-33293000,700000,4291000,31640000,None,74816000,24557000,-49822000,None,5415000,5415000,None,23244000,-23244000,None,None,None,None,-5335000,None,95104000,None,74816000
MKTX,2019-12-31,USD,89141000,None,None,259000,-8454000,500000,3609000,-12517000,None,50273000,-106761000,-32041000,None,5816000,5816000,None,18998000,-18998000,None,None,None,None,-5494000,None,-49661000,None,50273000
MKTX,2019-09-30,USD,67692000,None,None,-1202000,11835000,100000,2569000,6596000,None,54002000,-4554000,-27527000,None,2770000,2770000,None,18910000,-18910000,None,None,None,None,-2407000,None,35611000,None,54002000
MKTX,2019-06-30,USD,69733000,None,None,3152000,-2014000,100000,5465000,-4570000,None,48105000,-21298000,-22305000,None,3486000,3486000,None,18911000,-18911000,None,None,None,None,-3136000,None,48105000,None,48105000
MKTX,2019-03-31,USD,39369000,None,None,-3029000,2174000,100000,649000,13453000,None,52522000,10562000,-36227000,None,5184000,5184000,None,19412000,-19412000,None,None,None,None,-5012000,None,13704000,None,52522000
MKTX,2018-12-31,USD,70105000,None,None,9910000,-1411000,100000,12067000,-4443000,None,45831000,-13312000,-20242000,None,6186000,6186000,None,15539000,-15539000,None,None,None,None,-4600000,None,37877000,None,45831000
MKTX,2018-09-30,USD,67994000,None,None,-945000,-2217000,100000,7786000,210000,5354000,38594000,-7572000,-20551000,None,6081000,6081000,None,15543000,-15543000,None,None,None,None,-5065000,None,39399000,-472000,38594000
MKTX,2018-06-30,USD,40487000,None,None,4358000,-2423000,100000,13757000,-5605000,None,40487000,-16683000,-22435000,None,6636000,6636000,None,15536000,-15536000,None,None,None,None,-6523000,None,14517000,-744000,40487000
MKTX,2018-03-31,USD,72303000,None,None,1201000,14103000,100000,2278000,14955000,1893000,47940000,-12729000,-29445000,None,6268000,6268000,None,15814000,-15814000,None,None,None,None,-6010000,None,-10845000,-110000,47940000
MKTX,2017-12-31,USD,98702000,None,None,772000,-7746000,100000,4841000,-10182000,None,33473000,14254000,-32733000,None,6109000,6109000,None,12171000,-12171000,None,None,None,None,-5777000,None,28022000,49000,33473000
MKTX,2017-09-30,USD,84270000,None,None,-2361000,2962000,100000,1468000,7866000,6608000,34130000,-13570000,-28880000,None,12205000,12205000,None,12182000,-12182000,None,None,None,None,-11903000,None,10849000,834000,34130000
MKTX,2017-06-30,USD,38023000,None,None,-1629000,5717000,100000,1628000,-1444000,None,38023000,-25330000,-23750000,None,11940000,11940000,None,12179000,-12179000,None,None,None,None,-11102000,None,-9512000,999000,38023000
MKTX,2017-03-31,USD,72665000,None,None,1749000,8359000,100000,4149000,6113000,None,42463000,-29007000,-31705000,None,12207000,12207000,None,12356000,-12356000,None,None,None,None,-11707000,None,-30588000,-425000,42463000
MKTX,2016-12-31,USD,185580000,None,None,-793000,-6224000,100000,1631000,-6010000,None,33165000,-29281000,-18457000,None,10051000,10051000,None,9581000,-9581000,None,None,None,None,-9924000,None,6799000,-1778000,33165000
MKTX,2016-09-30,USD,52643000,None,None,338000,-80057000,100000,850000,-6238000,None,30918000,-25887000,-17792000,None,8474000,8474000,None,9601000,-9601000,None,None,None,None,-8440000,None,8169000,-795000,30918000
MKTX,2016-06-30,USD,28714000,None,None,-2011000,10066000,100000,1252000,10331000,None,33126000,-4351000,-8902000,None,4201000,4201000,None,9586000,-9586000,None,None,None,None,-2894000,None,15280000,-181000,33126000
MKTX,2016-03-31,USD,-57383000,None,None,5013000,88581000,400000,2652000,12346000,None,28963000,6339000,-10685000,None,1199000,1199000,None,9727000,-9727000,None,None,None,None,-368000,None,-61733000,-4000,28963000
