SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MMYT,2020-12-31,USD,31249000,None,None,None,None,None,0,None,None,None,-1607000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3393000
MMYT,2020-09-30,USD,24915000,None,None,None,None,None,0,None,None,None,-26562000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-21049000
MMYT,2020-06-30,USD,7498000,None,None,None,None,None,0,None,None,None,35127000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-34369000
MMYT,2020-03-31,USD,-52339000,None,None,None,None,None,0,None,None,None,17818000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-338757000
MMYT,2019-12-31,USD,-23016000,None,None,None,None,8492000,0,None,None,None,17134000,-1818000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-29468000
MMYT,2019-09-30,USD,-13466000,None,None,None,None,8547000,0,None,None,None,-77000,-7121000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-36934000
MMYT,2019-06-30,USD,-23912000,None,None,None,None,8172000,0,None,None,None,38958000,-5394000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-42622000
MMYT,2019-03-31,USD,-78927000,None,None,None,None,-1901000,3456000,None,-30000,None,70011000,-335000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-167883000
MMYT,2018-12-31,USD,-27931000,None,None,None,None,6586000,3456000,None,-30000,None,-47674000,-64000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-29298000
MMYT,2018-09-30,USD,-29915000,None,None,None,None,6610000,3456000,None,-30000,None,89289000,-164000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-46907000
MMYT,2018-06-30,USD,-34329000,None,None,None,None,6718000,3456000,None,-30000,None,4637000,9000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-51087000
MMYT,2018-03-31,USD,-23405000,None,None,None,None,-2984000,4258000,None,-317000,None,-14876000,-295000,None,None,None,None,None,None,None,None,None,None,330046000,None,None,None,-43076000
MMYT,2017-12-31,USD,-23814000,None,None,None,None,6931000,4258000,None,-317000,None,14939000,328194000,None,None,None,None,None,None,None,None,None,None,4174000,None,None,None,-45115000
MMYT,2017-09-30,USD,-52196000,None,None,None,None,7707000,4258000,None,-317000,None,-80684000,328849000,None,None,None,None,None,None,None,None,None,None,9000,None,None,None,-62037000
MMYT,2017-06-30,USD,-26063000,None,None,None,None,7447000,4258000,None,-317000,None,-34469000,326139000,None,None,None,None,None,None,None,None,None,None,325863000,None,None,None,-68184000
MMYT,2017-03-31,USD,-108457000,None,None,None,None,8895000,8756000,None,268000,None,163011000,2159000,None,None,None,None,None,None,None,None,None,None,8923000,None,None,None,-110168000
MMYT,2016-12-31,USD,-9715000,None,None,None,None,3377000,8756000,None,268000,None,72305000,-148000,None,None,None,None,None,None,None,None,None,None,8923000,None,None,None,16556000
MMYT,2016-09-30,USD,-22298000,None,None,None,None,2496000,8756000,None,268000,None,51225000,-3980000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-39447000
MMYT,2016-06-30,USD,-14000000,None,None,None,None,2000000,9000000,None,None,None,13595000,-3000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-14000000
MMYT,2016-03-31,USD,-66000000,None,None,None,None,8756000,5696000,None,1386000,None,-103644000,164612000,None,None,None,None,None,None,None,None,None,None,14000,None,None,None,-88518000
MMYT,2015-12-31,USD,None,None,None,None,None,None,0,None,None,None,28031000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
