SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MNDO,2020-12-31,USD,2314000,None,None,None,None,46000,8000,None,None,None,-2068000,0,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1390000
MNDO,2020-09-30,USD,1864000,None,None,None,None,61000,7000,None,None,None,2228000,0,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1406000
MNDO,2020-06-30,USD,1271000,None,None,None,None,47000,41000,None,None,None,-3736000,-4775000,None,None,None,None,-4775000,-4775000,None,None,None,None,None,None,None,None,1413000
MNDO,2020-03-31,USD,1050000,None,None,None,None,46000,12000,None,None,None,3542000,0,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1174000
MNDO,2019-12-31,USD,1240000,None,None,None,None,61000,26000,None,0,None,552000,0,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1330000
MNDO,2019-09-30,USD,2020000,None,None,None,None,42000,14000,None,None,None,-815000,0,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1194000
MNDO,2019-06-30,USD,1147000,None,None,None,None,35000,11000,None,None,None,182000,-1012000,None,None,None,None,-1012000,-1012000,None,None,None,None,None,None,None,None,1047000
MNDO,2019-03-31,USD,2274000,None,None,None,None,13000,1000,None,None,None,2126000,-4049000,None,None,None,None,-4049000,-4049000,None,None,None,None,None,None,None,None,1494000
MNDO,2018-12-31,USD,4466000,None,None,None,None,84000,46000,None,None,None,-917000,-5760000,None,None,None,None,-5799000,-5799000,None,None,None,None,39000,None,None,None,5134000
MNDO,2018-09-30,USD,1570000,None,None,None,None,22000,11000,None,None,None,-3896000,-4049000,None,None,None,None,-4049000,-4049000,None,None,None,None,None,None,None,None,1372000
MNDO,2018-06-30,USD,942000,None,None,None,None,20000,3000,None,None,None,382000,-1183000,None,None,None,None,-1184000,-1184000,None,None,None,None,None,None,None,None,1160000
MNDO,2018-03-31,USD,1336000,None,None,None,None,24000,31000,None,None,None,2318000,-4577000,None,None,None,None,-4615000,-4615000,None,None,None,None,38000,None,None,None,1162000
MNDO,2017-12-31,USD,2746000,None,None,None,None,104000,71000,None,1000,None,-777000,-6120000,None,None,None,None,-6173000,-6173000,None,None,None,None,53000,None,None,None,1574000
MNDO,2017-09-30,USD,1984000,None,None,None,None,26000,24000,None,1000,None,277000,-4577000,None,None,None,None,-6173000,-6173000,None,None,None,None,38000,None,None,None,1241000
MNDO,2017-06-30,USD,267000,None,None,None,None,24000,12000,None,1000,None,2883000,-4577000,None,None,None,None,-6173000,-6173000,None,None,None,None,38000,None,None,None,1884000
MNDO,2017-03-31,USD,538000,None,None,None,None,28000,12000,None,1000,None,3593000,-6120000,None,None,None,None,-6173000,-6173000,None,None,None,None,53000,None,None,None,913000
MNDO,2016-12-31,USD,5244000,None,None,None,None,161000,68000,None,4000,None,-2447000,-5107000,None,None,None,None,-5192000,-5192000,None,None,None,None,85000,None,None,None,877000
MNDO,2016-09-30,USD,4392000,None,None,None,None,None,24000,None,None,None,None,None,None,None,None,None,-5192000,-5192000,None,None,None,None,None,None,None,None,1117000
MNDO,2016-06-30,USD,2261000,None,None,None,None,None,22000,None,None,None,None,None,None,None,None,None,-5192000,-5192000,None,None,None,None,None,None,None,None,1035000
MNDO,2016-03-31,USD,738000,None,None,None,None,None,11000,None,None,None,None,None,None,None,None,None,-5192000,-5192000,None,None,None,None,None,None,None,None,1174000
MNDO,2015-12-31,USD,6297000,None,None,None,None,173000,146000,None,1000,None,2665000,-5587000,None,None,None,None,-5758000,-5758000,None,None,None,None,171000,None,None,None,1079000
