SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MNPR,2020-12-31,USD,-1240696,None,None,636970,-150290,None,None,None,None,-2279111,None,-7140,None,None,None,None,None,None,None,1,None,None,1,None,-1245563,None,-2128448
MNPR,2020-09-30,USD,-1300534,None,None,-21418,-57700,None,None,None,None,-1647979,None,6734812,None,None,None,None,None,None,None,6753721,None,None,6753721,None,5436483,None,-1639438
MNPR,2020-06-30,USD,-995474,None,None,163152,151595,None,None,None,None,-1464132,None,946404,None,None,None,None,None,None,None,879141,None,None,None,None,-46173,None,-1445810
MNPR,2020-03-31,USD,-1125570,None,None,-331106,60184,None,None,None,None,-1136014,None,508044,None,None,None,None,None,None,None,542428,None,None,542428,None,-621567,None,-1090877
MNPR,2019-12-31,USD,-668705,None,None,304229,-109878,None,None,None,None,-1224895,None,9386869,None,None,None,None,None,None,None,None,None,None,10332220,None,8719389,None,-1206859
MNPR,2019-09-30,USD,-613268,None,None,-129416,4009,None,None,None,None,-759448,None,-13281,None,None,None,None,None,None,None,None,None,None,None,None,-635288,None,-736080
MNPR,2019-06-30,USD,-739735,None,None,-99131,4859,None,None,None,None,-932109,None,-12322,None,None,None,None,None,None,None,None,None,None,None,None,-751236,None,-905700
MNPR,2019-03-31,USD,-995972,None,None,167852,35220,None,None,None,None,-1407309,None,-13855,None,None,None,None,None,None,None,None,None,None,None,None,-1011708,None,-1376235
MNPR,2018-12-31,USD,-519212,None,None,87658,-182061,None,None,None,None,-926358,None,-13855,None,None,None,None,None,None,None,None,None,None,None,None,-725493,None,-890461
MNPR,2018-09-30,USD,-63861,None,None,-11248,41375,None,None,None,None,-93244,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-63861,None,-640184
MNPR,2018-06-30,USD,-667532,None,None,None,None,None,None,None,None,-667532,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-667532,None,-640184
MNPR,2018-03-31,USD,-808849,None,None,-21270,25758,None,None,None,None,-897260,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-808849,None,-876347
