SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MOMO,2020-12-31,CNY,1039089000,None,None,None,None,93116000,16095000,None,None,None,None,-198560000,None,None,None,None,0,0,None,None,None,None,-197799000,None,None,None,651450000
MOMO,2020-09-30,CNY,691054000,None,None,None,None,88371000,24078000,None,None,None,-289843000,-157253000,None,None,None,None,0,0,None,None,None,None,-132407000,None,None,None,456728000
MOMO,2020-06-30,CNY,807250000,None,None,None,None,92498000,45803000,None,None,None,518788000,-1142337000,None,None,None,None,-1123983000,-1123983000,None,None,None,None,None,None,None,None,456400000
MOMO,2020-03-31,CNY,543496000,None,None,None,None,92263000,38167000,None,None,None,-364318000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,538906000
MOMO,2019-12-31,CNY,1675083000,None,None,None,None,91624000,32109000,0,0,None,-1548098000,-379633000,None,None,None,None,0,0,None,None,None,None,187000,None,0,0,1055899000
MOMO,2019-09-30,CNY,1175930000,None,None,None,None,90316000,59933000,0,0,None,-30128000,-16822000,None,None,None,None,0,0,None,None,None,None,186000,None,0,0,893897000
MOMO,2019-06-30,CNY,1421964000,None,None,None,None,87256000,41682000,0,0,None,-1491833000,-877314000,None,None,None,None,-877346000,-877346000,None,None,None,None,115000,None,0,0,731777000
MOMO,2019-03-31,CNY,1175909000,None,None,None,None,48400000,52798000,0,0,None,-959860000,-11000,None,None,None,None,0,0,None,None,None,None,83000,None,0,0,286558000
MOMO,2018-12-31,CNY,65789.81,None,None,None,None,4842.10,4750.54,0,0,None,-22680.61,-11687.20,None,None,None,None,-56977.34,-56977.34,None,None,None,None,2378.73,None,0,0,34208.37
MOMO,2018-09-30,USD,7409774.49,None,None,None,None,1673193.67,1527318.78,0,0,None,-117874332.13,59501666.93,None,None,None,None,-127727292.58,-127727292.58,None,None,None,None,0,None,0,0,12397327.08
MOMO,2018-06-30,USD,23353179.36,None,None,None,None,1134673.07,609928.01,0,0,None,-23220155.97,44967006.60,None,None,None,None,0,0,None,None,None,None,0,None,0,0,17663317.34
MOMO,2018-03-31,USD,20688161.77,None,None,None,None,824775.10,1610540.56,None,0,None,-70637847.31,-122442.48,None,None,None,None,0,0,None,None,None,None,0.16,None,None,None,20680519.07
MOMO,2017-12-31,USD,65717952.26,None,None,None,None,1911260.70,4966265.54,0,0,None,-4197212.10,64548.85,None,None,None,None,0,0,None,None,None,None,86679.88,None,0,0,14985630.20
MOMO,2017-09-30,USD,308021000,None,None,None,None,3489000,19281000,None,None,None,-38166000,317000,None,None,None,None,None,None,None,None,None,None,51000,None,None,None,79089000
MOMO,2017-06-30,USD,203445000,None,None,None,None,2646000,11344000,None,None,None,-59117000,206000,None,None,None,None,None,None,None,None,None,None,111000,None,None,None,60762000
MOMO,2017-03-31,USD,95362000,None,None,None,None,2122000,7204000,None,None,None,33527000,125000,None,None,None,None,None,None,None,None,None,None,299000,None,None,None,81208000
MOMO,2016-12-31,USD,31434269.26,None,None,None,None,1210079.19,1011663.07,0,0,None,-17040748.74,2015.84,None,None,None,None,0,0,None,None,None,None,47948.16,None,0,0,12063786.90
MOMO,2016-09-30,USD,111068000,None,None,None,None,2137000,4986000,None,None,None,-15972000,144000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,39004000
MOMO,2016-06-30,USD,48190000,None,None,None,None,2000000,2515000,None,None,None,-36000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15412000
MOMO,2016-03-31,USD,5558000,None,None,None,None,2000000,802000,None,None,None,21385000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7051000
MOMO,2015-12-31,USD,57252000,None,None,None,None,6646000,13521000,None,None,None,-333380000,-2233000,None,None,None,None,None,None,None,None,None,None,401000,None,None,None,6131000
