SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MRH,2015-03-31,USD,43500000,None,None,None,None,2800000,1800000,None,0,None,139700000,-13200000,None,None,None,None,-12200000,-12200000,None,None,None,None,0,None,None,None,55400000
MRH,2014-12-31,USD,200900000,None,None,None,None,12200000,5400000,None,0,None,14200000,-238400000,None,None,None,None,-40500000,-40500000,None,None,None,None,0,None,None,None,52100000
MRH,2014-09-30,USD,167900000,None,None,None,None,8800000,900000,None,0,None,-9300000,-196100000,None,None,None,None,-28200000,-28200000,None,None,None,None,0,None,None,None,38100000
MRH,2014-06-30,USD,106500000,None,None,None,None,6800000,700000,None,0,None,19000000,-53900000,None,None,None,None,-18700000,-18700000,None,None,None,None,0,None,None,None,40500000
MRH,2014-03-31,USD,55100000,None,None,None,None,0,300000,None,0,None,0,321700000,None,None,None,None,-9500000,-9500000,None,None,None,None,0,None,None,None,93200000
MRH,2013-12-31,USD,120200000,None,None,None,None,8100000,1200000,None,0,None,70000000,29900000,None,None,None,None,-37500000,-37500000,None,None,None,None,0,None,None,None,76700000
MRH,2013-09-30,USD,123900000,None,None,None,None,5600000,800000,None,0,None,155300000,-77700000,None,None,None,None,-28500000,-28500000,None,None,None,None,0,None,None,None,56300000
MRH,2013-06-30,USD,58400000,None,None,None,None,5300000,600000,None,0,None,91600000,-36500000,None,None,None,None,-19200000,-19200000,None,None,None,None,0,None,None,None,71500000
MRH,2013-03-31,USD,48000000,None,None,None,None,0,400000,None,0,None,188600000,0,None,None,None,None,-9600000,-9600000,None,None,None,None,0,None,None,None,95400000
MRH,2012-12-31,USD,200800000,None,None,None,None,14700000,400000,None,0,None,-128900000,-86800000,None,None,None,None,-37700000,-37700000,None,None,None,None,0,None,None,None,227600000
MRH,2012-09-30,USD,178700000,None,None,None,None,10900000,400000,None,0,None,25400000,-136200000,None,None,None,None,-28600000,-28600000,None,None,None,None,0,None,None,None,75000000
MRH,2012-06-30,USD,114600000,None,None,None,None,6800000,200000,None,0,None,213500000,-103100000,None,None,None,None,-19200000,-19200000,None,None,None,None,0,None,None,None,65500000
MRH,2012-03-31,USD,48700000,None,None,None,None,0,100000,None,0,None,86600000,0,None,None,None,None,-9700000,-9700000,None,None,None,None,0,None,None,None,110400000
MRH,2011-12-31,USD,166800000,None,None,None,None,20000000,700000,None,0,None,-84200000,26700000,None,None,None,None,-30800000,-30800000,None,None,None,None,0,None,None,None,28400000
MRH,2011-09-30,USD,135500000,None,None,None,None,14800000,500000,None,0,None,4200000,61700000,None,None,None,None,-21200000,-21200000,None,None,None,None,0,None,None,None,-143600000
MRH,2011-06-30,USD,118700000,None,None,None,None,10000000,300000,None,0,None,-2800000,70200000,None,None,None,None,-12700000,-12700000,None,None,None,None,0,None,None,None,23600000
MRH,2011-03-31,USD,66300000,None,None,None,None,0,200000,None,0,None,73900000,0,None,None,None,None,-6500000,-6500000,None,None,None,None,0,None,None,None,0
MRH,2010-12-31,USD,317700000,None,None,None,None,19000000,600000,None,0,None,30300000,-315800000,None,None,None,None,-26200000,-26200000,None,None,None,None,0,None,None,None,42200000
MRH,2010-09-30,USD,257000000,None,None,None,None,13300000,300000,None,0,None,9200000,-235700000,None,None,None,None,-20000000,-20000000,None,None,None,None,0,None,None,None,90000000
MRH,2010-06-30,USD,150800000,None,None,None,None,7700000,100000,None,0,None,60600000,-186100000,None,None,None,None,-13600000,-13600000,None,None,None,None,0,None,None,None,69900000
MRH,2010-03-31,USD,53800000,None,None,None,None,None,0,None,None,None,170300000,None,None,None,None,None,-7200000,-7200000,None,None,None,None,None,None,None,None,9900000
