SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MRLN,2020-12-31,USD,-45439000,1748000,None,5496000,-2476000,1167000,707000,None,None,15302000,29574000,-105019000,None,4000,4000,None,1677000,1677000,None,None,None,None,-4000,None,-71276000,None,14560000
MRLN,2020-09-30,USD,19617000,6540000,None,962000,-4293000,200000,476000,None,None,2743000,54961000,-91453000,None,149000,149000,None,1672000,1672000,None,None,None,None,-149000,None,-16875000,None,2743000
MRLN,2020-06-30,USD,15231000,5948000,None,-2454000,-397000,200000,994000,None,None,-5882000,37794000,-52791000,None,12000,12000,None,1664000,1664000,None,None,None,None,108000,None,-5939000,None,-5882000
MRLN,2020-03-31,USD,10191000,5420000,None,1005000,14109000,200000,796000,None,None,-11821000,-5175000,82501000,None,4538000,4538000,None,1685000,1685000,None,None,None,None,-4538000,None,87517000,None,-11821000
MRLN,2019-12-31,USD,17876000,6249000,None,-1646000,-3241000,1200000,2165000,None,None,8414000,20726000,-48612000,None,1066000,1066000,None,1696000,1696000,None,None,None,None,-896000,None,-10010000,None,8414000
MRLN,2019-09-30,USD,17525000,6206000,None,-2295000,-3825000,200000,2676000,None,None,7446000,17223000,-42594000,None,3393000,3393000,None,1713000,1713000,None,None,None,None,-3393000,None,-7846000,None,7446000
MRLN,2019-06-30,USD,6115000,6300000,None,-3130000,-3211000,300000,440000,None,None,6115000,-46157000,25359000,None,1719000,1719000,None,1729000,1729000,None,None,None,None,-1479000,None,6115000,None,6115000
MRLN,2019-03-31,USD,5141000,5204000,None,2483000,3618000,200000,376000,None,None,5141000,-29833000,60294000,None,1145000,1145000,None,1727000,1727000,None,None,None,None,-1145000,None,5141000,None,5141000
MRLN,2018-12-31,USD,6422000,-11266000,None,2285000,-6303000,1100000,857000,None,None,6422000,-40740000,30046000,None,809000,809000,None,1716000,1716000,None,None,None,None,-619000,None,6422000,None,6422000
MRLN,2018-09-30,USD,5906000,4461000,None,-3727000,-7165000,199900,436000,None,None,5906000,-23918000,6584000,None,1067000,1067000,None,1741000,1741000,None,None,None,None,-1067000,None,5906000,None,5906000
MRLN,2018-06-30,USD,6467000,3760000,None,855000,-6354000,0,297000,None,None,6467000,-37228000,28887000,None,32000,32000,None,1738000,1738000,None,None,None,None,202000,None,6467000,None,6467000
MRLN,2018-03-31,USD,6185000,3045000,None,4029000,-2941000,100,246000,None,None,6185000,-25046000,21089000,None,1000000,1000000,None,1741000,1741000,None,None,None,None,-1000000,None,6185000,None,6185000
MRLN,2017-12-31,USD,20799000,3187000,None,-450000,9612000,900000,328000,None,None,15894000,-28383000,-668000,None,1519000,1519000,None,1698000,1698000,None,None,None,None,-1331000,None,-15791000,None,15894000
MRLN,2017-09-30,USD,24791000,2589000,None,1135000,-1170000,100000,288000,None,None,3305000,-34467000,24265000,None,98000,98000,None,1753000,1753000,None,None,None,None,-98000,None,5621000,None,3305000
MRLN,2017-06-30,USD,4553000,2391000,None,-1421000,1349000,0,984000,None,None,4553000,-41967000,37484000,None,2094000,2094000,None,1748000,1748000,None,None,None,None,-1813000,None,1588000,None,4553000
MRLN,2017-03-31,USD,26512000,2162000,None,11572000,7637000,100000,254000,None,None,1540000,-44008000,40262000,None,790000,790000,None,1759000,1759000,None,None,None,None,-415000,None,13971000,None,1540000
MRLN,2016-12-31,USD,21673000,2006000,None,-1651000,959000,300000,219000,None,None,4815000,-51738000,18969000,None,15000,15000,None,1658000,1658000,None,None,None,None,128000,None,-15868000,None,4815000
MRLN,2016-09-30,USD,12847000,1956000,None,-1906000,732000,2640000,234000,None,None,4345000,-34643000,24760000,None,13000,13000,None,1754000,1754000,None,None,None,None,19000,None,-1142000,None,4345000
MRLN,2016-06-30,USD,4468000,1709000,None,816000,-722000,2517000,392000,None,None,4468000,-33741000,36103000,None,8000,8000,None,1748000,1748000,None,None,None,None,153000,None,13674000,None,4468000
MRLN,2016-03-31,USD,10296000,1450000,None,1439000,3434000,2478000,174000,None,None,3651000,-23548000,22645000,None,309000,309000,None,1747000,1747000,None,None,None,None,-309000,None,4964000,None,3651000
