SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MWA,2020-12-31,USD,34100000,1100000,None,-19600000,-17900000,14700000,15600000,-24000000,4800000,16700000,-15500000,-5800000,None,None,None,None,8700000,-8700000,None,600000,None,None,4500000,None,14100000,1300000,16700000
MWA,2020-09-30,USD,62500000,100000,None,16900000,4800000,15000000,16500000,24900000,-19900000,26700000,-16600000,-8800000,None,None,None,None,8200000,-8200000,None,900000,None,None,900000,None,38200000,1100000,26700000
MWA,2020-06-30,USD,80800000,400000,None,8700000,-39000000,14500000,13900000,-25600000,-18400000,11200000,-13700000,-7800000,None,None,None,None,8300000,-8300000,None,400000,None,None,400000,None,59400000,100000,11200000
MWA,2020-03-31,USD,9400000,3700000,None,6200000,39500000,14300000,22100000,49200000,-7600000,23800000,-22100000,-12000000,None,None,None,None,8300000,-8300000,None,800000,None,None,-4200000,None,16000000,-800000,23800000
MWA,2019-12-31,USD,-12400000,1900000,None,-62900000,-23600000,14000000,15200000,-41000000,21000000,10300000,-15100000,-12800000,None,None,None,None,8300000,-8300000,None,1400000,None,None,1400000,None,-39900000,400000,10300000
MWA,2019-09-30,USD,142400000,-3900000,None,-1900000,-10700000,14200000,86600000,4300000,-5900000,40900000,-31400000,-7000000,None,None,None,None,8300000,-32000000,None,1100000,None,None,1100000,None,36000000,-300000,40200000
MWA,2019-06-30,USD,118700000,2000000,None,22200000,-1700000,13300000,22400000,800000,-8900000,33700000,-22400000,-17200000,None,None,None,None,7900000,-7900000,None,500000,None,None,-9500000,None,6400000,-900000,33700000
MWA,2019-03-31,USD,23300000,1000000,None,5200000,70900000,13400000,14600000,54000000,10300000,10700000,-14600000,-7900000,None,None,None,None,7900000,-7900000,None,500000,None,None,500000,None,-64500000,1500000,10900000
MWA,2018-12-31,USD,21900000,None,None,-14500000,-32300000,12100000,15900000,-57700000,21900000,-20800000,-138900000,-18800000,None,None,None,None,7900000,-7900000,None,3100000,None,None,3100000,None,-148300000,-500000,-21000000
MWA,2018-09-30,USD,131600000,None,None,46600000,17200000,11400000,28800000,18300000,400000,25200000,-28400000,-18200000,None,None,None,None,7900000,-7900000,None,400000,None,None,-9600000,None,15600000,-800000,25000000
MWA,2018-06-30,USD,131400000,None,None,29300000,-4200000,10800000,12500000,-6200000,500000,15400000,-12500000,-47600000,None,None,None,None,7900000,-7900000,None,500000,None,None,500000,None,7600000,-800000,15300000
MWA,2018-03-31,USD,21100000,None,None,22800000,47600000,10900000,8000000,45200000,1200000,10400000,-8000000,-17500000,None,None,None,None,8000000,-8000000,None,2100000,None,None,-7900000,None,-24400000,0,10200000
MWA,2017-12-31,USD,47500000,None,None,-41200000,-21300000,10600000,6400000,-38400000,16300000,55000000,1000000,-15000000,None,None,None,None,6300000,-6300000,None,4300000,None,None,-5700000,None,-13400000,100000,55100000
MWA,2017-09-30,USD,91900000,None,None,27200000,800000,10800000,19000000,4100000,-2700000,19300000,-18900000,-6800000,None,None,None,None,6400000,-6400000,None,600000,None,None,600000,None,8500000,1000000,19300000
MWA,2017-06-30,USD,83700000,None,None,1800000,-4400000,10200000,7500000,600000,-6600000,24000000,-7300000,-11100000,None,None,None,None,6400000,-6400000,None,1300000,None,None,-3700000,None,24900000,500000,24000000
MWA,2017-03-31,USD,84600000,None,None,30400000,33200000,10600000,9900000,32600000,-1000000,73200000,-9900000,-55400000,None,None,None,None,6400000,-6400000,None,3500000,None,None,-46500000,None,156000000,400000,73300000
MWA,2016-12-31,USD,-24800000,None,None,-50800000,-14400000,10300000,4200000,-27400000,12200000,6700000,-6300000,-8200000,None,None,None,None,4800000,-4800000,None,400000,None,None,400000,None,-22700000,-700000,6700000
MWA,2016-09-30,USD,141900000,None,None,27200000,-1300000,13400000,16800000,1300000,-1300000,26500000,-16700000,-7900000,None,None,None,None,4800000,-4800000,None,400000,None,None,400000,None,46700000,-200000,26500000
MWA,2016-06-30,USD,123200000,None,None,24300000,-300000,13100000,7300000,200000,-6200000,15400000,-7200000,-4500000,None,None,None,None,4900000,-4900000,None,1300000,None,None,1300000,None,54700000,-300000,15500000
MWA,2016-03-31,USD,28800000,None,None,4500000,31800000,13100000,9000000,41900000,-8500000,15600000,-9000000,-7200000,None,None,None,None,3200000,-3200000,None,1200000,None,None,1200000,None,-10900000,800000,15700000
