SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
NVCR,2020-12-31,USD,53481000,None,None,None,None,2473000,5759000,None,-489000,None,-613638000,570854000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4917000
NVCR,2020-09-30,USD,30969000,None,None,None,None,2612000,2782000,-7678000,-55000,None,147218000,-140493000,None,None,None,None,None,None,None,None,None,None,9514000,None,37694000,None,9284000
NVCR,2020-06-30,USD,12741000,None,None,None,None,2601000,3315000,None,-3539000,None,-3315000,5345000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1655000
NVCR,2020-03-31,USD,1957000,None,None,None,None,1888000,3112000,None,1147000,None,-3112000,4503000,None,None,None,None,None,None,None,None,None,None,4511000,None,None,None,3952000
NVCR,2019-12-31,USD,6962000,None,None,None,None,2003000,3055000,-19476000,673000,None,-46756000,8586000,None,None,None,None,None,None,None,None,None,None,8594000,None,-31208000,None,4260000
NVCR,2019-09-30,USD,14907000,None,None,None,None,1385000,5678000,-11010000,1067000,None,-2174000,15468000,None,None,None,None,None,None,None,None,None,None,15475000,None,28201000,None,1930000
NVCR,2019-06-30,USD,9066000,None,None,None,None,1545000,892000,-3313000,-1316000,None,-1748000,20657000,None,None,None,None,None,None,None,None,None,None,20665000,None,27975000,None,-1270000
NVCR,2019-03-31,USD,-4315000,None,None,None,None,1351000,860000,-2697000,-1583000,None,-989000,16970000,None,None,None,None,None,None,None,None,None,None,16978000,None,11666000,None,-12150000
NVCR,2018-12-31,USD,16814000,None,None,None,None,1725000,752000,-1135000,-914000,None,-1789000,2565000,None,None,None,None,None,None,None,None,None,None,2586000,None,17590000,None,-15631000
NVCR,2018-09-30,USD,5638000,None,None,None,None,1756000,573000,2255000,-1735000,None,-1005000,3902000,None,None,None,None,0,0,None,None,None,None,3924000,None,8535000,None,-11694000
NVCR,2018-06-30,USD,-7493000,None,None,None,None,1917000,854000,-3599000,482000,None,-842000,11188000,None,None,None,None,0,0,None,None,None,None,11212000,None,2843000,None,-15510000
NVCR,2018-03-31,USD,-16824000,None,None,None,None,4630000,737000,-1672000,1638000,None,-1857000,51714000,None,None,None,None,0,0,None,None,None,None,2581000,None,33043000,10000,-20724000
NVCR,2017-12-31,USD,-33134000,None,None,None,None,6451000,7366000,None,3524000,None,6770000,5168000,None,None,None,None,0,0,None,None,None,None,1540000,None,None,None,-61662000
NVCR,2017-09-30,USD,2547000,None,None,None,None,2070000,544000,-9111000,504000,None,-2344000,1713000,None,None,None,None,0,0,None,None,None,None,1732000,None,1914000,-2000,-11498000
NVCR,2017-06-30,USD,-5875000,None,None,None,None,1914000,376000,-2064000,803000,None,-588000,2067000,None,None,None,None,0,0,None,None,None,None,2067000,None,-4397000,-1000,-21174000
NVCR,2017-03-31,USD,-26908000,None,None,None,None,1766000,1031000,-5486000,-400000,None,11645000,59000,None,None,None,None,0,0,None,None,None,None,77000,None,-15193000,11000,-18045000
NVCR,2016-12-31,USD,-107592000,None,None,None,None,4921000,17664000,None,-11955000,None,12815000,75124000,None,None,None,None,0,0,None,None,None,None,616000,None,None,None,-131845000
NVCR,2016-09-30,USD,-33496000,None,None,None,None,1634000,1715000,None,-2757000,None,-4414000,72853000,None,None,None,None,0,0,None,None,None,None,0,None,34951000,8000,-33628000
NVCR,2016-06-30,USD,-29394000,None,None,None,None,1368000,2338000,None,-4769000,None,-6625000,902000,None,None,None,None,0,0,None,None,None,None,904000,None,-35061000,56000,-40612000
NVCR,2016-03-31,USD,-30977000,None,None,None,None,1086000,1002000,None,-2852000,None,27445000,41000,None,None,None,None,0,0,None,None,None,None,57000,None,-3491000,None,-35437000
NVCR,2015-12-31,USD,-99884000,None,None,None,None,2903000,10271000,None,-10148000,None,-115295000,276989000,None,None,None,None,0,0,None,None,None,None,252133000,None,None,None,-111581000
