SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
OBLN,2020-12-31,USD,-1555000,0,None,7000,407000,40000,54000,0,1000,-1325000,-54000,None,None,None,None,None,None,None,None,None,0,None,None,None,-1609000,None,-1325000
OBLN,2020-09-30,USD,-1290000,0,None,-554000,-447000,113000,0,0,0,-1559000,0,None,None,None,None,None,None,None,None,None,0,None,None,None,-1290000,None,-1560000
OBLN,2020-06-30,USD,-2750000,100000,None,-1478000,-1246000,87000,-209000,-461000,198000,-4183000,209000,430000,None,None,None,None,None,None,None,None,430000,None,None,None,-3991000,None,-4188000
OBLN,2020-03-31,USD,-4814000,100000,None,3096000,3330000,100000,326000,176000,326000,-5296000,-326000,None,None,None,None,None,None,None,None,None,0,None,None,None,-5140000,None,-5261000
OBLN,2019-12-31,USD,-4879000,1338000,None,274000,1111000,232000,150000,47000,-129000,-4990000,-150000,-296000,None,None,None,None,None,None,None,14718000,0,None,14718000,None,-5325000,None,-4913000
OBLN,2019-09-30,USD,-3989000,137000,None,-1176000,-93000,144000,24000,-209000,-40000,-3743000,-24000,9880000,None,None,None,None,None,None,None,-134000,0,None,-134000,None,5867000,None,-3706000
OBLN,2019-06-30,USD,-4356000,100000,None,-334000,-1960000,104000,1000,-1382000,259000,-1100000,-1000,-6814000,None,None,None,None,None,None,None,8186000,0,None,8186000,None,-1100000,None,-6767000
OBLN,2019-03-31,USD,-9642000,305000,None,-2743000,-66000,220000,19000,959000,-102000,-8100000,2531000,10608000,None,None,None,None,None,None,None,607000,10000000,None,608000,None,3497000,None,-8290000
OBLN,2018-12-31,USD,-5415000,176000,None,712000,-1573000,131000,415000,-1905000,-375000,-8705000,5185000,-135000,None,None,None,None,None,None,None,-150000,None,None,-135000,None,-365000,None,-8756000
OBLN,2018-09-30,USD,-5293000,166000,None,608000,-109000,122000,210000,-274000,113000,-6675000,-7317000,9950000,None,None,None,None,None,None,None,None,None,None,9980000,None,-2660000,None,-6745000
OBLN,2018-06-30,USD,-8122000,158000,None,-16000,141000,180000,299000,496000,-25000,-9696000,-1295000,151000,None,None,None,None,None,None,None,None,None,None,151000,None,-9266000,None,-9753000
OBLN,2018-03-31,USD,-10602000,149000,None,-1855000,-1748000,135000,358000,-1670000,449000,-12089000,22944000,28000,None,None,None,None,None,None,None,None,None,None,28000,None,12370000,None,-12126000
OBLN,2017-12-31,USD,-9197000,148000,None,2600000,2925000,330000,139000,1708000,507000,-10105000,17865000,613000,None,None,None,None,None,None,None,None,None,None,357000,None,9025000,None,-10120000
OBLN,2017-09-30,USD,-7019000,146000,None,604000,1221000,145000,345000,758000,164000,-9149000,13266000,9000,None,None,None,None,None,None,None,None,None,None,9000,None,6256000,None,-9170000
OBLN,2017-06-30,USD,-6055000,140000,None,317000,242000,52000,178000,-722000,-181000,-7695000,-30077000,247000,None,None,None,None,None,None,None,None,None,None,247000,None,-35885000,None,-7730000
OBLN,2017-03-31,USD,-8353000,130000,None,152000,896000,79000,381000,-520000,101000,-7691000,-22910000,None,None,None,None,None,None,None,None,None,None,None,None,None,-31263000,None,-7745000
OBLN,2016-12-31,USD,5839000,122000,None,-1646000,-1223000,192000,93000,None,389000,-7529000,9207000,82786000,None,None,None,None,None,None,None,None,None,None,None,None,70651000,None,-7495000
