SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
OEC,2020-12-31,USD,32926000,13477000,None,13030000,19444000,26805000,24596000,9819000,9625000,8900000,-24596000,-47315000,None,None,None,None,0,-12045000,None,None,None,None,None,None,-38985000,None,8906000
OEC,2020-09-30,USD,1738000,7846000,None,21754000,51778000,23999000,120343000,66153000,-14375000,9003000,-30942000,-20866000,None,None,None,None,0,-12045000,None,None,None,None,None,None,-50070000,None,8997000
OEC,2020-06-30,USD,85709000,7969000,None,-53525000,-127451000,21876000,89401000,-90568000,-36883000,-17780000,-38550000,-12836000,None,None,None,None,0,-12045000,None,None,None,None,None,None,34323000,None,-17780000
OEC,2020-03-31,USD,4905000,7977000,None,16407000,42778000,23845000,50851000,31097000,11681000,18032000,-50851000,94560000,None,None,None,None,12045000,-12045000,None,None,None,None,None,None,48614000,None,18032000
OEC,2019-12-31,USD,88840000,12504000,None,-16066000,-54786000,25223000,155848000,-43262000,-11524000,18951000,-60539000,-22303000,None,None,None,None,12044000,-48033000,None,None,None,None,None,None,5998000,None,18965000
OEC,2019-09-30,USD,68538000,8927000,None,-7752000,-19113000,21991000,95309000,-21323000,2210000,24268000,-34452000,-29475000,None,None,None,None,12043000,-35989000,None,None,None,None,None,None,4611000,None,24253000
OEC,2019-06-30,USD,33904000,5742000,None,-1088000,7397000,25404000,60857000,6550000,847000,33904000,-38370000,-17171000,None,None,None,None,12042000,-23946000,None,None,None,None,None,None,33904000,None,24748000
OEC,2019-03-31,USD,28256000,8724000,None,5616000,4677000,24095000,22487000,12623000,-7946000,28256000,-22487000,337000,None,None,None,None,11904000,-11904000,None,None,None,None,None,None,28256000,None,18954000
OEC,2018-12-31,USD,21379000,79593000,None,-29780000,-46237000,26323000,33904000,-27205000,-19032000,21379000,-70475000,15121000,None,None,None,None,11912000,-11912000,None,None,None,None,-4926000,None,21379000,None,15658000
OEC,2018-09-30,USD,35653000,5235000,None,12503000,42766000,22804000,22383000,14102000,28664000,35653000,-22383000,-20684000,None,None,None,None,11945000,-11945000,None,None,None,None,None,None,35653000,None,25817000
OEC,2018-06-30,USD,73680000,8327000,None,8844000,26698000,24239000,33940000,4935000,21763000,73680000,30732000,-29280000,None,None,None,None,11944000,-11944000,None,None,None,None,None,None,73680000,None,53081000
OEC,2018-03-31,USD,36951000,9489000,None,18720000,47859000,24790000,25930000,47848000,11000,36951000,-25930000,-8925000,None,None,None,None,11864000,-11864000,None,None,None,None,None,None,36951000,None,26754000
