SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
PAC,2020-12-31,MXN,777268000,None,None,None,None,506148000,898602000,None,None,None,-895252000,-517215000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,340411000
PAC,2020-09-30,MXN,163759000,None,None,None,None,1494213000,2261509000,None,None,None,-1023335000,6805641000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1578295000
PAC,2020-06-30,MXN,-946426000,None,None,None,None,987231000,1244295000,None,None,None,-646847000,6534640000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1225850000
PAC,2020-03-31,MXN,3571970000,None,None,None,None,482057000,638038000,None,None,None,-652257000,444300000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1808063000
PAC,2019-12-31,MXN,1751170000,None,None,None,None,1776137000,2478988000,0,0,None,-813012000,-4231529000,None,None,None,None,-4572061000,-4572061000,None,None,None,None,-1592494000,None,0,0,5454742000
PAC,2019-09-30,MXN,6412887000,None,None,None,None,1287131000,1774842000,0,0,None,-1773083000,-1647268000,None,None,None,None,-2212673000,-2212673000,None,None,None,None,0,None,0,0,4023841000
PAC,2019-06-30,MXN,4024279000,None,None,None,None,847440000,844627000,0,0,None,-859908000,947105000,None,None,None,None,-1592494000,-1592494000,None,None,None,None,-1988000,None,0,0,2661122000
PAC,2019-03-31,MXN,2268499000,None,None,None,None,421601000,448891000,0,0,None,-446924000,2696490000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,1397549000
PAC,2018-12-31,MXN,244488.32,None,None,None,None,53513.50,106530.08,0,0,None,-111905.07,-264397.85,None,None,None,None,-228168.36,-228168.36,None,None,None,None,0,None,0,0,154903.93
PAC,2018-09-30,USD,120875646.45,None,None,None,None,20963264.52,28433880.41,0,0,None,-28957825.79,-125860259.86,None,None,None,None,-114751944.69,-114751944.69,None,None,None,None,0,None,0,0,69430535.97
PAC,2018-06-30,USD,51559915.80,None,None,None,None,19395579.61,25249787,0,0,None,-24743547.34,-67516213.10,None,None,None,None,-6335037.34,-6335037.34,None,None,None,None,0,None,0,0,58343607.48
PAC,2018-03-31,USD,115038000,None,None,None,None,384368000,36198000,None,None,None,-665909000,-458347000,None,None,None,None,-126403000,-126403000,None,None,None,None,None,None,None,None,76992000
PAC,2017-12-31,USD,314097000,None,None,None,None,1443562000,97960000,None,None,None,-1938575000,-1687316000,None,None,None,None,-153074000,-153074000,None,None,None,None,None,None,None,None,32937000
PAC,2017-09-30,USD,269174000,None,None,None,None,349345000,76713000,None,None,None,-433212000,-1792849000,None,None,None,None,-82827000,-82827000,None,None,None,None,None,None,None,None,58054000
PAC,2017-06-30,USD,175521000,None,None,None,None,350621000,53244000,None,None,None,-363128000,-326244000,None,None,None,None,-1503146000,-1503146000,None,None,None,None,None,None,None,None,64864000
PAC,2017-03-31,USD,99201000,None,None,None,None,357221000,32423000,None,None,None,-607664000,-259547000,None,None,None,None,-1503146000,-1503146000,None,None,None,None,None,None,None,None,80868000
PAC,2016-12-31,USD,273619000,None,None,None,None,1348387000,90071000,None,None,None,-1816557000,-1771185000,None,None,None,None,-103754000,-103754000,None,None,None,None,None,None,None,None,43163000
PAC,2016-09-30,USD,223166000,None,None,None,None,None,63002000,None,None,None,None,None,None,None,None,None,-61975000,-61975000,None,None,None,None,None,None,None,None,35045000
PAC,2016-06-30,USD,149630000,None,None,None,None,None,45364000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26770000
PAC,2016-03-31,USD,87797000,None,None,None,None,None,29457000,None,None,None,None,52153000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54205000
PAC,2015-12-31,USD,285243000,None,None,None,None,1156435000,65623000,None,None,None,-3669927000,9664000,None,None,None,None,-101478000,-101478000,None,None,None,None,None,None,None,None,55143000
