SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
PAHC,2020-12-31,USD,26913000,None,None,None,None,8088000,7318000,1631000,1013000,12801000,-7624000,-16542000,None,None,None,None,4855000,-4855000,None,None,None,None,None,None,20889000,818000,12801000
PAHC,2020-09-30,USD,1698000,831000,None,-1188000,9336000,8036000,7420000,-1002000,9501000,12302000,-13635000,6458000,None,None,None,None,4854000,-4854000,None,None,36000000,None,None,None,-5374000,105000,12302000
PAHC,2020-06-30,USD,3877000,14298000,None,-3513000,4858000,8164000,10076000,-24704000,19514000,5642000,-9533000,14985000,None,None,None,None,4855000,-4855000,None,None,49000000,None,None,None,9595000,266000,5642000
PAHC,2020-03-31,USD,26950000,2638000,None,9949000,5240000,8248000,7854000,8897000,-3172000,13501000,-14148000,-10979000,None,None,None,None,4854000,-4854000,None,None,39000000,None,None,None,568000,-1255000,13501000
PAHC,2019-12-31,USD,32091000,1968000,None,-2274000,-9528000,8148000,8440000,1159000,-12498000,11894000,-34178000,-27001000,None,None,None,None,4855000,-4855000,None,None,36000000,None,None,None,18074000,375000,11894000
PAHC,2019-09-30,USD,-3570000,3037000,None,-11834000,-3095000,7781000,7675000,-14065000,9086000,2515000,-62531000,63931000,None,None,None,None,4854000,-4854000,None,None,119000000,None,None,None,-2680000,-510000,2515000
PAHC,2019-06-30,USD,14879000,None,None,7717000,16480000,7157000,10117000,5755000,7511000,8802000,14743000,-7999000,None,None,None,None,4854000,-4854000,None,0,56000000,None,0,None,21697000,74000,8802000
PAHC,2019-03-31,USD,15654000,None,None,-794000,7719000,6875000,7657000,9018000,-2807000,14849000,-7948000,-2982000,None,None,None,None,4855000,-4855000,None,793000,54000000,None,793000,None,4540000,-184000,14849000
PAHC,2018-12-31,USD,15356000,None,None,2375000,15062000,6841000,6068000,8821000,6774000,14748000,-4779000,-4860000,None,None,None,None,4846000,-4846000,None,130000,32000000,None,130000,None,5476000,-241000,14748000
PAHC,2018-09-30,USD,1280000,None,None,2794000,12872000,6691000,6049000,85000,9504000,16314000,-16149000,11734000,None,None,None,None,4037000,4037000,None,211000,71000000,None,211000,None,-3308000,-173000,16314000
PAHC,2018-06-30,USD,-37059000,None,None,-4338000,13083000,6917000,5529000,12196000,2563000,22119000,-10021000,-711000,None,None,None,None,4036000,-4036000,None,407000,59130000,None,407000,None,-1385000,-762000,22119000
PAHC,2018-03-31,USD,45891000,None,None,-689000,3120000,6751000,4168000,-5371000,10884000,19840000,-23024000,-9520000,None,None,None,None,4029000,-4029000,None,1592000,56000000,None,1592000,None,-9632000,106000,19840000
PAHC,2017-12-31,USD,13663000,None,None,3821000,2299000,6631000,3853000,-3311000,5649000,7032000,-34735000,-19389000,None,None,None,None,4019000,-4019000,None,214000,48000000,None,214000,None,-21912000,-78000,7032000
PAHC,2017-09-30,USD,13496000,None,None,3652000,17708000,6644000,4998000,8386000,5196000,15892000,-16832000,17845000,None,None,None,None,3989000,-3989000,None,3486000,61870000,None,3486000,None,6014000,198000,15892000
PAHC,2017-06-30,USD,27855000,None,None,3269000,12685000,6397000,5503000,12785000,-1561000,15378000,-4774000,-1975000,None,None,None,None,3986000,-3986000,None,2961000,131500000,None,2961000,None,6773000,-53000,15378000
PAHC,2017-03-31,USD,71072000,None,None,-1721000,-4995000,6842000,4813000,-11603000,3146000,23643000,-6403000,-20715000,None,None,None,None,3959000,-3959000,None,2470000,45500000,None,2470000,None,10090000,131000,23643000
PAHC,2016-12-31,USD,19861000,None,None,337000,525000,6444000,4653000,5489000,-2473000,13417000,-4879000,-19378000,None,None,None,None,3941000,-3941000,None,None,39000000,None,110000,None,1805000,-215000,13417000
PAHC,2016-09-30,USD,41400000,None,None,-5004000,-6366000,6318000,5911000,-3906000,-4544000,12177000,-5886000,-11670000,None,None,None,None,3941000,-3941000,None,None,34000000,None,None,None,3810000,-90000,12177000
PAHC,2016-06-30,USD,50710000,None,None,8532000,6476000,6774000,7704000,6530000,-3383000,15220000,-7739000,-17620000,None,None,None,None,3941000,-3941000,None,None,33000000,None,52000,None,1380000,147000,15220000
PAHC,2016-03-31,USD,16911000,None,None,-6873000,5808000,5856000,10995000,-329000,7028000,18577000,-57662000,59215000,None,None,None,None,3940000,-3940000,None,None,122000000,None,1887000,None,6853000,278000,18577000
