SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
PPO,2015-06-30,USD,47566000,None,None,None,None,None,24472000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5649000
PPO,2015-03-31,USD,20768000,None,None,None,None,None,10279000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14385000
PPO,2014-12-31,USD,112129000,None,None,None,None,None,30825000,None,5959000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17707000
PPO,2014-09-30,USD,83038000,None,None,None,None,None,17520000,None,4780000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12689000
PPO,2014-06-30,USD,44502000,None,None,None,None,None,8937000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PPO,2014-03-31,USD,24283000,None,None,None,None,None,3748000,None,399000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8397000
PPO,2013-12-31,USD,154460000,None,None,None,None,None,28235000,None,2117000,None,88378000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50131000
PPO,2013-09-30,USD,127012000,None,None,None,None,None,19778000,None,1867000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7019000
PPO,2013-06-30,USD,69331000,None,None,None,None,None,13574000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15440000
PPO,2013-03-31,USD,36186000,None,None,None,None,None,6228000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9021000
PPO,2012-12-31,USD,104786000,None,None,None,None,None,137111000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17465000
PPO,2012-09-30,USD,86597000,None,None,None,None,None,123682000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14232000
PPO,2012-06-30,USD,46805000,None,None,None,None,None,95277000,None,None,None,None,1185000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20481000
PPO,2012-03-31,USD,30216000,None,None,None,None,None,45350000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18773000
PPO,2011-12-31,USD,144833000,None,None,None,None,None,156330000,None,None,None,None,17584000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26447000
PPO,2011-09-30,USD,122176000,None,None,None,None,None,111319000,None,None,None,None,2954000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23605000
PPO,2011-06-30,USD,69902000,None,None,None,None,None,70944000,None,None,None,None,2314000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29507000
PPO,2011-03-31,USD,38080000,None,None,None,None,None,29677000,None,None,None,None,268000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25681000
PPO,2010-12-31,USD,127207000,None,None,None,None,None,68787000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17713000
PPO,2010-09-30,USD,112512000,None,None,None,None,None,41467000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12372000
PPO,2010-06-30,USD,73161000,None,None,None,None,None,24501000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15942000
