SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
QIWI,2020-09-30,RUB,11138000000,None,None,None,None,317000000,204000000,None,None,None,36000000,-1606000000,None,None,None,None,-1571000000,-1571000000,None,None,None,None,None,None,None,None,3014000000
QIWI,2020-06-30,RUB,11138000000,None,None,None,None,331000000,80000000,None,None,None,36000000,-2070000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1816000000
QIWI,2020-03-31,RUB,-9776000000,None,None,None,None,319000000,121000000,None,None,None,-1388000000,238000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1587000000
QIWI,2019-12-31,RUB,7459000000,None,None,None,None,245000000,472000000,0,0,None,-1433000000,411000000,None,None,None,None,-1114000000,-1114000000,None,None,None,None,0,None,0,0,672000000
QIWI,2019-09-30,RUB,48000000,None,None,None,None,389000000,422000000,0,0,None,-1602000000,-1385000000,None,None,None,None,-1156000000,-1156000000,None,None,None,None,0,None,0,0,1173000000
QIWI,2019-06-30,RUB,3584000000,None,None,None,None,344000000,266000000,0,0,None,405000000,-1234000000,None,None,None,None,-1053000000,-1053000000,None,None,None,None,0,None,0,0,1672000000
QIWI,2019-03-31,RUB,-1852000000,None,None,None,None,346000000,141000000,0,0,None,-2253000000,-69000000,None,None,None,None,-69000000,-69000000,None,None,None,None,0,None,0,0,1688000000
QIWI,2018-12-31,RUB,35740.90,None,None,None,None,-11.81,507.63,0,0,None,-1348.77,-5.90,None,None,None,None,-203.64,-203.64,None,None,None,None,0,None,0,0,2603.09
QIWI,2018-09-30,USD,125196894,None,None,None,None,3399497.92,1876645.91,0,0,None,-323029.21,-30764.69,None,None,None,None,-1061381.70,-1061381.70,None,None,None,None,0,None,0,0,12951933.25
QIWI,2018-06-30,USD,40257026.85,None,None,None,None,3279851.78,2396814.76,0,0,None,-5282453.58,-331138.88,None,None,None,None,-1088027.75,-1088027.75,None,None,None,None,0,None,0,0,14648953.36
QIWI,2018-03-31,USD,-2729604.03,None,None,None,None,3372886.51,5041943.76,None,0,None,-8901638.63,-69544.05,None,None,None,None,-1217.02,-1217.02,None,None,None,None,0,None,None,None,16186378.06
QIWI,2017-12-31,USD,61837000,None,None,None,None,576000000,6253000,None,None,None,-1653000000,-2160000000,None,None,None,None,-37311000,-37311000,None,None,None,None,None,None,None,None,8130000
QIWI,2017-09-30,USD,20733000,None,None,None,None,189000000,2411000,None,None,None,-986000000,-749000000,None,None,None,None,-36989000,-36989000,None,None,None,None,None,None,None,None,14156000
QIWI,2017-06-30,USD,5422000,None,None,None,None,200000000,1385000,None,None,None,1408000000,-1410000000,None,None,None,None,-23646000,-23646000,None,None,None,None,None,None,None,None,17373000
QIWI,2017-03-31,USD,-818000000,None,None,None,None,209000000,710000,None,None,None,-2183000000,-1410000000,None,None,None,None,-1400000000,-1400000000,None,None,None,None,None,None,None,None,14431000
QIWI,2016-12-31,USD,91737000,None,None,None,None,563000000,6421000,None,None,None,2979000,-4637000000,None,None,None,None,-76593000,-76593000,None,None,None,None,None,None,None,None,2474000000
QIWI,2016-09-30,USD,29687000,None,None,None,None,195000000,4105000,None,None,None,6546000,-868000000,None,None,None,None,-59850000,-59850000,None,None,None,None,None,None,None,None,15925000
QIWI,2016-06-30,USD,1484000000,None,None,None,None,191000000,2407000,None,None,None,-150000000,-870000000,None,None,None,None,-45467000,-45467000,None,None,None,None,None,None,None,None,15143000
QIWI,2016-03-31,USD,None,None,None,None,None,None,1322000,None,None,None,None,None,None,None,None,None,-29997000,-29997000,None,None,None,None,None,None,None,None,10459000
QIWI,2015-12-31,USD,-1007000000,None,None,None,None,689000000,1199000,None,None,None,48615000,-1893000000,None,None,None,None,-9554000,-9554000,None,None,None,None,None,None,None,None,11366000
QIWI,2015-09-30,USD,None,None,None,None,None,None,1246000,None,None,None,59729000,None,None,None,None,None,-10616000,-10616000,None,None,None,None,None,None,None,None,24522000
