SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
RARE,2020-12-31,USD,-62452000,None,None,None,-21212000,3133000,21946000,-4714000,-1289000,-24011000,97901000,489711000,None,None,None,None,None,None,None,None,None,None,489798000,None,525160000,None,-24011000
RARE,2020-09-30,USD,-61967000,None,None,None,13837000,3092000,3780000,4356000,3156000,-68845000,-95758000,19135000,None,None,None,None,None,None,None,None,None,None,19193000,None,-138590000,None,-68845000
RARE,2020-06-30,USD,87351000,None,None,None,-15314000,3184000,4083000,-5982000,-372000,25315000,-86139000,35811000,None,None,None,None,None,None,None,None,None,None,15478000,None,25315000,None,25315000
RARE,2020-03-31,USD,-95152000,None,None,None,11447000,2852000,14096000,-3500000,-149000,-119025000,-95125000,55615000,None,None,None,None,None,None,None,None,None,None,380000,None,-134662000,None,-119025000
RARE,2019-12-31,USD,-72039000,None,None,1874000,11991000,2169000,11500000,9702000,-2153000,-93805000,67266000,315443000,None,None,None,None,None,None,None,None,None,None,1209000,None,310670000,None,-93805000
RARE,2019-09-30,USD,-88506000,None,None,3910000,5424000,2145000,5033000,2241000,564000,-112994000,79314000,904000,None,None,None,None,None,None,None,None,None,None,904000,None,-8288000,None,-112994000
RARE,2019-06-30,USD,-136623000,None,None,-3493000,9496000,2106000,5240000,5262000,2393000,-136623000,-58426000,9342000,None,None,None,None,None,None,None,None,None,None,3819000,None,-136623000,None,-99172000
RARE,2019-03-31,USD,-117386000,None,None,-151000,7960000,2119000,3059000,2899000,3647000,-117386000,-101193000,353617000,None,None,None,None,None,None,None,None,None,None,334312000,None,-117386000,None,-96756000
RARE,2018-12-31,USD,-106601000,None,None,3965000,-2073000,2943000,1192000,-1572000,484000,-106601000,73561000,12242000,None,None,None,None,None,None,None,None,None,None,1812000,None,-106601000,None,-87826000
RARE,2018-09-30,USD,-101409000,None,None,-1969000,6740000,4355000,1032000,-3098000,2214000,-101409000,16205000,25024000,None,None,None,None,None,None,None,None,None,None,9187000,None,-101409000,None,-87310000
RARE,2018-06-30,USD,-107694000,None,None,2693000,17162000,6080000,1377000,None,1274000,-107694000,-52069000,13168000,None,None,None,None,None,None,None,None,None,None,13187000,None,-107694000,None,-52728000
RARE,2018-03-31,USD,-107164000,None,None,-1317000,5322000,6160000,475000,-1501000,1311000,-107164000,-71028000,286419000,None,None,None,None,None,None,None,None,None,None,274611000,None,-107164000,249000,30253000
RARE,2017-12-31,USD,-129787000,None,None,-420000,-12132000,2514000,899000,None,-757000,-81731000,57104000,64439000,None,None,None,None,None,None,None,None,None,None,5039000,None,40081000,None,-81731000
RARE,2017-09-30,USD,-124737000,None,None,-2474000,-682000,1095000,1033000,None,None,-79227000,29788000,1333000,None,None,None,None,None,None,None,None,None,None,1333000,None,-30344000,528000,-79227000
RARE,2017-06-30,USD,-72891000,None,None,3364000,435000,1055000,376000,None,None,-72891000,-21076000,1526000,None,None,None,None,None,None,None,None,None,None,1501000,None,-68750000,-378000,-72891000
RARE,2017-03-31,USD,-109841000,None,None,2989000,-1005000,1161000,485000,None,None,-68290000,-9400000,68969000,None,None,None,None,None,None,None,None,None,None,1378000,None,-1619000,17000,-68290000
RARE,2016-12-31,USD,-106895000,None,None,-1340000,1283000,1157000,666000,None,-757000,-71287000,-8355000,74940000,None,None,None,None,None,None,None,None,None,None,-4546000,None,18840000,None,-71287000
RARE,2016-09-30,USD,-79611000,None,None,1017000,1701000,1031000,3001000,None,None,-64907000,52509000,63447000,None,None,None,None,None,None,None,None,None,None,63447000,None,87211000,None,-64907000
RARE,2016-06-30,USD,-56923000,None,None,187000,-91000,692000,5044000,None,None,-56923000,23986000,-25000,None,None,None,None,None,None,None,None,None,None,-25000,None,-15694000,None,-56923000
RARE,2016-03-31,USD,-89749000,None,None,2638000,5496000,544000,1477000,None,None,-52757000,21775000,314000,None,None,None,None,None,None,None,None,None,None,314000,None,-22806000,None,-52757000
