SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
RLOC,2016-06-30,USD,3983000,None,None,None,None,4432000,2665000,-389000,None,None,-2364000,966000,None,None,None,None,None,None,None,None,None,None,4000,None,2170000,-415000,-10389000
RLOC,2016-03-31,USD,-3399000,None,None,None,None,4533000,2592000,-714000,None,None,-2040000,-684000,None,None,None,None,None,None,None,None,None,None,-491000,None,-5832000,291000,None
RLOC,2015-12-31,USD,-312000,None,None,None,None,4686000,2723000,-86000,None,None,-3181000,6902000,None,None,None,None,None,None,None,None,None,None,-2000,None,1020000,-2389000,None
RLOC,2015-09-30,USD,-6721000,None,None,None,None,4712000,3423000,-1070000,None,None,-3687000,-155000,None,None,None,None,None,None,None,None,None,None,1000,None,-10811000,-248000,None
RLOC,2015-06-30,USD,-8461000,None,None,None,None,5149000,3614000,3928000,None,None,-3426000,6130000,None,None,None,None,None,None,None,None,None,None,-1000,None,-5061000,457000,None
RLOC,2015-03-31,USD,-4589000,None,None,None,None,5134000,4134000,-2069000,None,None,-3476000,-239000,None,None,None,None,None,None,None,None,None,None,2000,None,-10035000,-1731000,None
RLOC,2014-12-31,USD,4851000,None,None,None,None,4799000,6748000,268000,None,None,-12437000,988000,None,None,None,None,None,None,None,None,None,None,-3000,None,-7997000,-1399000,None
RLOC,2014-09-30,USD,-1689000,None,None,None,None,4355000,8045000,-655000,None,None,-8086000,-727000,None,None,None,None,None,None,None,None,None,None,-45000,None,-12557000,-2055000,None
RLOC,2014-06-30,USD,-3025000,None,None,None,None,4018000,6844000,-203000,None,None,-6843000,-209000,None,None,None,None,None,None,None,None,None,None,183000,None,-9389000,688000,None
RLOC,2014-03-31,USD,-2455000,None,None,None,None,4222000,4098000,130000,None,None,-7932000,6058000,None,None,None,None,None,None,None,None,None,None,6234000,None,-3851000,478000,None
RLOC,2013-12-31,USD,952000,None,None,None,None,3090000,3600000,-1409000,None,None,-6583000,1347000,None,None,None,None,None,None,None,None,None,None,1289000,None,-5241000,-957000,None
RLOC,2013-09-30,USD,13924000,None,None,None,None,3987000,4876000,-1878000,None,None,-6433000,-4914000,None,None,None,None,None,None,None,None,None,None,-4951000,None,3552000,975000,-1122000
RLOC,2013-06-30,USD,7113000,None,None,None,None,3988000,6119000,-2908000,None,None,-6329000,-4150000,None,None,None,None,None,None,None,None,None,None,-4664000,None,-6212000,-2846000,-776000
RLOC,2013-03-31,USD,4698000,None,None,None,None,4031000,5153000,-122000,None,None,-5467000,-3380000,None,None,None,None,None,None,None,None,None,None,-3956000,None,-4687000,-538000,None
RLOC,2012-12-31,USD,10957000,None,None,None,None,4083000,4745000,-717000,None,None,957000,-5424000,None,None,None,None,None,None,None,None,None,None,-5424000,None,5626000,-864000,None
RLOC,2012-09-30,USD,9023000,None,None,None,None,3509000,3396000,-433000,None,None,-16987000,-67000,None,None,None,None,None,None,None,None,None,None,-67000,None,-7629000,402000,836000
RLOC,2012-06-30,USD,9161000,None,None,None,None,3196000,3705000,-24000,None,None,-3426000,-914000,None,None,None,None,None,None,None,None,None,None,-914000,None,4003000,-818000,332000
RLOC,2012-03-31,USD,13218000,None,None,None,None,2964000,4490000,-222000,None,None,-5142000,-2775000,None,None,None,None,None,None,None,None,None,None,-2775000,None,5811000,510000,None
RLOC,2011-12-31,USD,18989000,None,None,None,None,None,12441000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
RLOC,2011-09-30,USD,18587000,None,None,None,None,None,9547000,None,None,None,None,5515000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
RLOC,2011-06-30,USD,12864000,None,None,None,None,None,6812000,None,None,None,None,4909000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
