SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
RUBY,2020-12-31,USD,-30548000,3746000,None,-3761000,-2361000,515000,1030000,None,None,-40539000,46468000,72000,None,None,None,None,None,None,None,None,None,None,72000,None,15992000,None,-40539000
RUBY,2020-09-30,USD,-28533000,2903000,None,-702000,-1096000,1611000,521000,None,None,-40852000,-26127000,670000,None,None,None,None,None,None,None,None,None,None,670000,None,-53990000,None,-40852000
RUBY,2020-06-30,USD,-28552000,2617000,None,2472000,3333000,1776000,1095000,None,None,-37854000,-12057000,25256000,None,None,None,None,None,None,None,None,None,None,256000,None,-37854000,None,-37854000
RUBY,2020-03-31,USD,-40015000,3042000,None,905000,-914000,1789000,2851000,None,None,-48486000,92148000,486000,None,None,None,None,None,None,None,None,None,None,486000,None,52619000,None,-48486000
RUBY,2019-12-31,USD,-28985000,3436000,None,-4616000,-5079000,701000,13276000,None,None,-44472000,10702000,570000,None,None,None,None,None,None,None,None,None,None,570000,None,-17713000,None,-44472000
RUBY,2019-09-30,USD,-28748000,2783000,None,7922000,1280000,848000,9966000,None,None,-47015000,-3197000,350000,None,None,None,None,None,None,None,None,None,None,350000,None,-31595000,None,-47015000
RUBY,2019-06-30,USD,-41285000,None,None,-3775000,3837000,785000,13251000,None,None,-41285000,-47148000,25572000,None,None,None,None,None,None,None,None,None,None,572000,None,-41285000,None,-41285000
RUBY,2019-03-31,USD,-34406000,513000,None,-966000,-2695000,661000,4164000,None,None,-34406000,-92992000,799000,None,None,None,None,None,None,None,None,None,None,799000,None,-34406000,None,-34406000
RUBY,2018-12-31,USD,-29122000,None,None,2536000,6319000,384000,3281000,None,None,-29122000,-46059000,19163000,None,None,None,None,None,None,None,None,None,None,46000,None,-29122000,None,-29122000
RUBY,2018-09-30,USD,-27554000,None,None,-631000,2527000,377000,10213000,None,None,-27554000,593000,255132000,None,None,None,None,None,None,None,None,None,None,257866000,None,-27554000,None,-27554000
RUBY,2018-06-30,USD,-9898000,None,None,None,None,275000,628000,None,None,-29943000,-9195000,-456000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-29099000
RUBY,2018-03-31,USD,-10889000,None,None,None,None,227000,830000,None,None,-14411000,-56978000,100990000,None,None,None,None,None,None,None,None,None,None,4000,None,None,None,-14411000
RUBY,2017-12-31,USD,-9040000,None,None,None,None,196000,994000,None,None,-17517000,-994000,-42000,None,None,None,None,None,None,None,None,None,None,137000,None,None,None,-17517000
RUBY,2017-09-30,USD,-4934000,None,None,None,None,142000,541000,None,None,-11919000,-541000,-261000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-11919000
