SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
RYB,2020-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-7131000
RYB,2020-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-12847000
RYB,2020-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-26617000
RYB,2019-12-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,231000
RYB,2019-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3259000
RYB,2019-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2943000
RYB,2019-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2349000
RYB,2018-12-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,558000
RYB,2018-09-30,USD,9400000,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4344000
RYB,2018-06-30,USD,5300000,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4717000
RYB,2018-03-31,USD,5300000,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2720000
RYB,2017-12-31,USD,25099000,None,None,None,None,6099000,11917000,None,-290000,None,-8655000,92496000,None,None,None,None,None,None,None,None,None,None,95222000,None,None,None,200000
RYB,2017-09-30,USD,40100000,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1588000
RYB,2017-06-30,USD,20738000,None,None,None,None,1452000,6331000,None,-465500,None,-1815500,372000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4284000
RYB,2017-03-31,USD,10369000,None,None,None,None,1452000,3165500,None,-465500,None,-1815500,186000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1043000
RYB,2016-12-31,USD,35053000,None,None,None,None,4831000,11305000,None,-1451000,None,-12122000,1422000,None,None,None,None,None,None,None,None,None,None,95222000,None,None,None,91000
RYB,2016-09-30,USD,10369000,None,None,None,None,1452000,3165500,None,-465500,None,-1815500,186000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2202000
RYB,2016-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4212000
RYB,2015-12-31,USD,23808000,None,None,None,None,4230000,12080000,None,256000,None,-14950000,695000,None,None,None,None,None,None,None,None,None,None,50224000,None,None,None,-632000
