SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SE,2020-12-31,USD,185444000,None,None,None,None,None,0,None,None,None,-366936000,3733132000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-523592000
SE,2020-09-30,USD,295978000,None,None,None,None,None,0,None,None,None,-209164000,1534550000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-425262000
SE,2020-06-30,USD,298125000,None,None,None,None,None,0,None,None,None,-163746000,786837000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-392961000
SE,2020-03-31,USD,-223679000,None,None,None,None,35645000,50782000,None,-10486000,None,-147066000,-24757000,None,None,None,None,None,None,None,None,None,None,3904000,None,None,None,-280791000
SE,2019-12-31,USD,-27798000,None,None,None,None,116783000,247098000,None,-5155000,None,-143681000,2579595000,None,None,None,None,None,None,None,None,None,None,1538802000,None,None,None,-1457722000
SE,2019-09-30,USD,97663000,None,None,None,None,83718000,203250000,None,16917000,None,-219538000,1534550000,None,None,None,None,None,None,None,None,None,None,1535408000,None,None,None,-1175802000
SE,2019-06-30,USD,-283113000,None,None,None,None,-25543000,197493000,None,16917000,None,-61851000,544791000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-280096000
SE,2019-03-31,USD,-17815000,None,None,None,None,25543000,197493000,None,16917000,None,-91250000,1527875000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-690355000
SE,2018-12-31,USD,-138191000,None,None,None,None,78728000,177343000,None,-28465000,None,-65590000,1522000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-276623000
SE,2018-09-30,USD,-73916000,None,None,None,None,78728000,177343000,None,-28465000,None,-97087000,315000,None,None,None,None,None,None,None,None,None,None,4391000,None,None,None,-218019000
SE,2018-06-30,USD,-188753000,None,None,None,None,-14554000,177343000,None,-28465000,None,-40014000,545336000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-250703000
SE,2018-03-31,USD,-94360000,None,None,None,None,14554000,177343000,None,-28465000,None,-21837000,-545000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-215613000
SE,2017-12-31,USD,-259228000,None,None,None,None,40922000,67361000,None,-5970000,None,-118614000,1623843000,None,None,None,None,None,None,None,None,None,None,960924000,None,None,None,-560485000
SE,2017-09-30,USD,-89814000,None,None,None,None,40922000,67361000,None,-5970000,None,-50081000,199624000,None,None,None,None,None,None,None,None,None,None,960924000,None,None,None,-132681000
SE,2017-06-30,USD,-65391000,None,None,None,None,8881000,15640000,None,213000,None,-10696000,626976000,None,None,None,None,None,None,None,None,None,None,23000,None,None,None,-92058000
SE,2017-03-31,USD,-65781000,None,None,None,None,8714000,6950000,None,-1913000,None,-6697000,356953000,None,None,None,None,None,None,None,None,None,None,1953000,None,None,None,-73086000
SE,2016-12-31,USD,-101821000,None,None,None,None,39554000,16977000,None,93000,None,-29931000,199622000,None,None,None,None,None,None,None,None,None,None,3210000,None,None,None,-222867000
SE,2016-09-30,USD,-36477000,None,None,None,None,8714000,6950000,None,-1913000,None,-13401000,31541000,None,None,None,None,None,None,None,None,None,None,1953000,None,None,None,-64928000
SE,2015-12-31,USD,-25097000,None,None,None,None,29261000,25838000,None,-2918000,None,-129442000,187816000,None,None,None,None,None,None,None,None,None,None,185044000,None,None,None,-103366000
