SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SFIX,2021-01-30,USD,-51693000,None,None,None,None,7245000,7909000,None,31359000,-21039000,-8485000,-1681000,None,None,None,None,None,None,None,None,None,None,None,None,-21039000,None,-21039000
SFIX,2020-10-31,USD,57359000,2758000,None,81193000,58964000,6961000,5985000,None,30665000,9541000,1701000,-1896000,None,None,None,None,None,None,None,None,None,None,5106000,None,57164000,None,9541000
SFIX,2020-08-01,USD,63365000,6393000,None,8029000,-47776000,6336000,11556000,None,-49978000,-44467000,-18284000,213000,None,None,None,None,None,None,None,None,None,None,5842000,None,45294000,None,-44467000
SFIX,2020-05-02,USD,-58730000,8558000,None,-17317000,43262000,5917000,7205000,None,33614000,-33903000,-6576000,-2050000,None,None,None,None,None,None,None,None,None,None,578000,None,-67356000,None,-33903000
SFIX,2020-02-01,USD,10718000,None,None,-22660000,-2445000,5695000,3944000,None,-251000,11431000,920000,2096000,None,None,None,None,None,None,None,None,None,None,5140000,None,11431000,None,11431000
SFIX,2019-11-02,USD,27524000,6960000,None,39662000,28864000,4652000,7502000,None,31837000,-178000,-46521000,-1694000,None,None,None,None,None,None,None,None,None,None,518000,None,-20691000,None,-178000
SFIX,2019-08-03,USD,3386000,None,None,656000,24277000,5909000,6308000,None,13415000,7179000,8570000,2011000,None,None,None,None,None,None,None,None,None,None,4409000,None,13967000,None,7179000
SFIX,2019-04-27,USD,17541000,None,None,13663000,12405000,3735000,12614000,None,4890000,7048000,-46520000,5284000,None,None,None,None,None,None,None,None,None,None,7353000,None,-23695000,None,7048000
SFIX,2019-01-26,USD,6701000,None,None,-19267000,-538000,3281000,4918000,None,-244000,11976000,-11456000,-987000,None,None,None,None,None,None,None,None,None,None,1294000,None,11976000,None,11976000
SFIX,2018-10-27,USD,50966000,None,None,51894000,21920000,3175000,6985000,None,23172000,10678000,-175778000,637000,None,None,None,None,None,None,None,None,None,None,637000,None,-124175000,None,10678000
SFIX,2018-07-28,USD,10682000,None,None,1496000,17758000,2962000,4539000,None,858000,18284000,-4539000,4116000,None,0,None,None,None,None,None,None,None,None,4116000,None,10259000,None,18284000
SFIX,2018-04-28,USD,11570000,None,None,17803000,4514000,2650000,3794000,None,-971000,9487000,-3794000,666000,None,0,None,None,None,None,None,None,None,None,666000,None,8442000,None,9487000
