SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SLCA,2020-12-31,USD,23909000,26881000,None,-4171000,13533000,39964000,6710000,32793000,-27000,4317000,-2031000,-5881000,None,None,None,None,16000,16000,None,None,-25000000,None,-38000,None,15997000,None,4567000
SLCA,2020-09-30,USD,-17303000,37366000,None,2875000,13962000,40069000,4522000,15044000,-5277000,-14216000,-4283000,-2167000,None,None,None,None,91000,91000,None,None,0,None,1266000,None,-23753000,None,-13962000
SLCA,2020-06-30,USD,23663000,33558000,None,-68410000,-100404000,37086000,7113000,-109749000,-7024000,-32618000,-4864000,-4824000,None,None,None,None,1474000,1474000,None,None,0,None,-28000,None,4468000,None,-32354000
SLCA,2020-03-31,USD,-40803000,38042000,None,-43292000,15374000,38449000,16116000,13471000,-2917000,-72605000,-16386000,16150000,None,None,None,None,4604000,4604000,None,None,25000000,None,-4000,None,-41039000,None,-72345000
SLCA,2019-12-31,USD,27665000,38074000,None,-54022000,-41349000,42819000,20455000,-30045000,-11217000,-293425000,-20541000,-8673000,None,None,None,None,4712000,4712000,None,None,None,None,0,None,-1549000,None,-292871000
SLCA,2019-09-30,USD,33893000,44051000,None,-2151000,-20751000,47126000,19451000,-32119000,13725000,-23065000,-19489000,-16503000,None,None,None,None,4508000,4508000,None,None,None,None,0,None,-2099000,None,-23037000
SLCA,2019-06-30,USD,50960000,58344000,None,3687000,-12960000,44899000,34075000,-15256000,5248000,6061000,-34680000,-9134000,None,None,None,None,4682000,4682000,None,None,None,None,0,None,50960000,None,6150000
SLCA,2019-03-31,USD,25272000,24141000,None,6206000,21494000,44600000,44376000,43583000,-18938000,-19328000,-45683000,-6101000,None,None,None,None,4690000,4690000,None,None,None,None,128000,None,25272000,None,-19324000
SLCA,2018-12-31,USD,-209548000,22664000,None,-20342000,-59370000,46527000,119028000,-48638000,-10353000,-256075000,-122027000,-64074000,None,57970000,None,None,4844000,4844000,None,None,None,None,-57970000,None,-209548000,None,-256062000
SLCA,2018-09-30,USD,43466000,21416000,None,21543000,-24951000,37150000,61591000,-32649000,3308000,6316000,-65131000,-6390000,None,0,None,None,4936000,4936000,None,None,None,None,-1000,None,43466000,None,6316000
SLCA,2018-06-30,USD,54207000,16097000,None,10718000,-5487000,36563000,86869000,-14605000,9757000,17644000,-832343000,729854000,None,15499000,None,None,5063000,5063000,None,None,None,None,62000,None,54207000,None,17644000
SLCA,2018-03-31,USD,59886000,6592000,None,-25815000,22586000,28592000,72327000,39077000,-15797000,31294000,-47378000,-85286000,None,75000000,None,None,5069000,5069000,None,None,None,None,-75000000,None,59886000,None,31294000
SLCA,2017-12-31,USD,49003000,5992000,None,-18004000,7767000,27335000,95087000,4801000,4304000,71952000,-95830000,-32256000,None,None,None,None,5092000,5092000,None,None,None,None,-25022000,None,-79083000,None,71952000
SLCA,2017-09-30,USD,104912000,5732000,None,59783000,37067000,24673000,130668000,36719000,5728000,41273000,-232378000,-7419000,None,None,None,None,5098000,5098000,None,None,None,None,251000,None,-134885000,None,41273000
SLCA,2017-06-30,USD,100008000,6609000,None,55064000,19550000,23626000,135220000,17653000,4044000,29459000,-154584000,-7792000,None,None,None,None,5095000,5095000,None,None,None,None,30000,None,-62368000,None,29459000
SLCA,2017-03-31,USD,-15767000,6157000,None,-7167000,42574000,21599000,23647000,51747000,-9251000,2522000,-24880000,-9675000,None,None,None,None,5092000,5092000,None,None,None,None,517000,None,-50322000,None,2522000
SLCA,2016-12-31,USD,311000,6041000,None,5377000,15505000,21194000,13694000,15975000,1280000,-6943000,-14151000,461005000,None,None,None,None,4419000,4419000,None,478791000,None,None,479283000,None,447165000,None,-6942000
SLCA,2016-09-30,USD,-1251000,5382000,None,10636000,11391000,17175000,9368000,1333000,6777000,-11462000,-186056000,-2841000,None,None,None,None,3974000,3974000,None,0,None,None,3034000,None,-190148000,None,-11339000
SLCA,2016-06-30,USD,5075000,5273000,None,-356000,-6243000,15209000,17320000,-4834000,67000,-11991000,-10460000,-3802000,None,None,None,None,3344000,3344000,None,0,None,None,1277000,None,-9187000,None,-11991000
SLCA,2016-03-31,USD,-3754000,5298000,None,-4000,3063000,14556000,6068000,522000,2087000,-10660000,9010000,181062000,None,None,None,None,3388000,3388000,None,200000000,None,None,200022000,None,186318000,None,-10660000
