SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SLRC,2020-12-31,USD,-337722000,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,-17327000,-17327000,None,None,None,None,None,None,None,None,18257000
SLRC,2020-09-30,USD,36407000,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,-17327000,-17327000,None,None,None,None,None,None,None,None,18617000
SLRC,2020-06-30,USD,99490000,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,-17327000,-17327000,None,None,None,None,None,None,None,None,54046000
SLRC,2020-03-31,USD,139221000,None,None,None,None,None,0,None,None,None,None,-90042000,None,None,None,None,-17327000,-17327000,None,None,None,None,None,None,None,None,-75469000
SLRC,2019-12-31,USD,263031000,None,None,None,None,None,0,None,None,None,None,42419000,None,None,None,None,-17326000,-17326000,None,None,None,None,None,None,None,None,-2164000
SLRC,2019-09-30,USD,-28999000,None,None,None,None,None,0,None,None,None,None,38552000,None,None,None,None,-17327000,-17327000,None,None,None,None,None,None,None,None,13717000
SLRC,2019-06-30,USD,3544000,None,None,None,None,None,0,None,None,None,None,50651000,None,None,None,None,-17327000,-17327000,None,None,None,None,None,None,None,None,19631000
SLRC,2019-03-31,USD,-50857000,None,None,None,None,None,0,None,None,None,None,102406000,None,None,None,None,-17327000,-17327000,None,None,None,None,None,None,None,None,24832000
SLRC,2018-12-31,USD,27708000,None,None,None,None,None,0,None,None,None,None,-30480000,None,None,None,None,-17792000,-17792000,None,None,None,None,None,None,None,None,8906000
SLRC,2018-09-30,USD,-11846000,None,None,None,None,None,0,None,None,None,None,-2079000,None,None,None,None,-16647000,-16647000,None,None,None,None,None,None,None,None,18130000
SLRC,2018-06-30,USD,168345000,None,None,None,None,None,0,None,None,None,None,-89132000,None,None,None,None,-17327000,-17327000,None,None,None,None,None,None,None,None,19790000
SLRC,2018-03-31,USD,6823000,None,None,None,None,None,0,None,None,None,None,-12912000,None,None,None,None,-16904000,-16904000,None,None,None,None,None,None,None,None,20048000
SLRC,2017-12-31,USD,-246087000,None,None,None,None,None,0,None,None,None,None,84830000,None,None,None,None,-67327000,-67327000,None,None,None,None,None,None,None,None,17326000
SLRC,2017-09-30,USD,-355659000,None,None,None,None,None,0,None,None,None,None,34459000,None,None,None,None,-50423000,-50423000,None,None,None,None,None,None,None,None,17163000
SLRC,2017-06-30,USD,214598000,None,None,None,None,None,0,None,None,None,None,-91592000,None,None,None,None,-33519000,-33519000,None,None,None,None,None,None,None,None,18783000
SLRC,2017-03-31,USD,143966000,None,None,None,None,None,0,None,None,None,None,-32072000,None,None,None,None,-16899000,-16899000,None,None,None,None,None,None,None,None,17158000
SLRC,2016-12-31,USD,148159000,None,None,None,None,None,0,None,None,None,None,-113683000,None,None,None,None,-67685000,-67685000,None,None,None,None,-3408000,None,None,None,17844000
SLRC,2016-09-30,USD,60435000,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,-50785000,-50785000,None,None,None,None,None,None,None,None,25619000
SLRC,2016-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,102761000,None,None,None,None,-33886000,-33886000,None,None,None,None,None,None,None,None,35175000
SLRC,2016-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,-16986000,-16986000,None,None,None,None,None,None,None,None,28177000
SLRC,2015-12-31,USD,-497987000,None,None,None,None,None,0,None,None,None,None,140217000,None,None,None,None,-67944000,-67944000,None,None,None,None,-6000,None,None,None,14080000
