SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SNDR,2020-12-31,USD,149100000,6900000,15800000,14000000,43400000,74200000,143100000,48200000,None,76900000,-155700000,-366400000,None,None,None,None,366300000,-366300000,None,None,None,None,None,None,-373000000,None,76900000
SNDR,2020-09-30,USD,149300000,9400000,17500000,54600000,40300000,74200000,48400000,51900000,None,44500000,-52900000,-41700000,None,None,None,None,11500000,-11500000,None,None,None,None,None,None,54700000,None,44500000
SNDR,2020-06-30,USD,195300000,9000000,17700000,26100000,-32300000,72300000,61100000,-41900000,None,46500000,-70400000,-11700000,None,None,None,None,11500000,-11500000,None,None,None,None,None,None,46500000,None,46500000
SNDR,2020-03-31,USD,124500000,9500000,18000000,12700000,25500000,69800000,22200000,7200000,None,43800000,-39700000,-35800000,None,None,None,None,10700000,-10700000,None,None,None,None,None,None,49000000,None,43800000
SNDR,2019-12-31,USD,166000000,19700000,19100000,-4000000,-65500000,70500000,26700000,-37700000,None,55900000,5400000,-56900000,None,None,None,None,10600000,-10600000,None,None,None,None,None,None,114500000,None,55900000
SNDR,2019-09-30,USD,168300000,-23000000,19500000,-17700000,-23600000,74100000,77200000,-16000000,None,19700000,-96200000,-12700000,None,None,None,None,10600000,-10600000,None,None,None,None,None,None,59400000,None,19700000
SNDR,2019-06-30,USD,168800000,None,None,-67400000,-90400000,74900000,181300000,-19300000,None,34500000,-200200000,-31900000,None,None,None,None,10700000,-10700000,None,None,None,None,None,None,-63300000,None,34500000
SNDR,2019-03-31,USD,133200000,8900000,20000000,42900000,62900000,73400000,50100000,-46900000,None,36900000,-59200000,-11700000,None,None,None,None,10600000,-10600000,None,None,None,None,None,None,62300000,None,36900000
SNDR,2018-12-31,USD,156400000,None,None,-1000000,2200000,74400000,117000000,9100000,None,84800000,-115500000,-22000000,None,None,None,None,10600000,-70800000,None,None,None,None,None,None,18900000,None,84800000
SNDR,2018-09-30,USD,155100000,None,None,29600000,62200000,73300000,125000000,28400000,None,70700000,-116200000,-12800000,None,None,None,None,10600000,10600000,None,None,None,None,None,None,26100000,None,70700000
SNDR,2018-06-30,USD,155000000,None,None,12000000,-3100000,71900000,98300000,39000000,None,65800000,-83300000,-38100000,None,None,None,None,10700000,28300000,None,None,None,None,None,None,33600000,None,65800000
SNDR,2018-03-31,USD,100000000,None,None,-28900000,22500000,71700000,44800000,-1700000,None,47600000,-22600000,-15800000,None,None,None,None,8800000,-8800000,None,None,None,None,None,None,61600000,None,47600000
SNDR,2017-12-31,USD,145600000,None,None,1200000,14500000,279000000,114400000,25400000,None,283900000,-95200000,-14100000,None,None,None,None,8900000,-25500000,None,None,None,None,0,None,36300000,None,283900000
SNDR,2017-09-30,USD,89007000,None,None,-281000,51677000,70494000,111071000,54026000,None,36958000,-133728000,-13023000,None,None,None,None,8784000,-8784000,None,None,None,None,-459000,None,-57744000,None,36900000
SNDR,2017-06-30,USD,46473000,None,None,21132000,None,68636000,155016000,6402000,None,46473000,-123596000,166731000,None,None,None,None,0,-7816000,None,None,None,None,341059000,None,180672000,None,46473000
