SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SODA,2018-06-30,USD,44751000,None,None,None,None,6198000,11140000,None,-10890000,None,-6732000,8024000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26110000
SODA,2018-03-31,USD,13617000,None,None,None,None,6303000,4806000,None,-7690000,None,-33385000,7677000,None,None,None,None,None,None,None,None,None,None,7677000,None,None,None,18568000
SODA,2017-12-31,USD,94816000,None,None,None,None,2418000,21165000,None,5764000,None,-55248000,14710000,None,None,None,None,None,None,None,None,None,None,14710000,None,None,None,25530000
SODA,2017-09-30,USD,75300000,None,None,None,None,7350000,14103000,None,-5411000,None,-10912000,10750000,None,None,None,None,None,None,None,None,None,None,1001000,None,None,None,19755000
SODA,2017-06-30,USD,44041000,None,None,None,None,5687000,9885000,None,-3533000,None,-1706000,9749000,None,None,None,None,None,None,None,None,None,None,2223000,None,None,None,14370000
SODA,2017-03-31,USD,31532000,None,None,None,None,4176000,5215000,None,-3464000,None,-9201000,7526000,None,None,None,None,None,None,None,None,None,None,7526000,None,None,None,14734000
SODA,2016-12-31,USD,81932000,None,None,None,None,3017000,25987000,None,22352000,None,-4573000,-14145000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15648000
SODA,2016-09-30,USD,65792000,None,None,None,None,4705000,21828000,None,11825000,None,-10929000,-6330000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14910000
SODA,2016-06-30,USD,35793000,None,None,None,None,4000000,15779000,None,8788000,None,-9000000,-7000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7815000
SODA,2016-03-31,USD,13037000,None,None,None,None,None,7568000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6093000
SODA,2015-12-31,USD,40008000,None,None,None,None,None,49466000,None,19860000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2828000
SODA,2015-09-30,USD,28481000,None,None,None,None,None,40793000,None,10117000,None,None,8140000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2242000
SODA,2015-06-30,USD,14079000,None,None,None,None,None,28585000,None,5056000,None,None,141000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,960000
SODA,2015-03-31,USD,69000,None,None,None,None,None,13741000,None,1484000,None,None,6756000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6047000
SODA,2014-12-31,USD,35585000,None,None,None,None,None,55174000,None,None,None,None,32278000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SODA,2014-09-30,USD,26215000,None,None,None,None,None,43710000,None,None,None,None,22200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9464000
SODA,2014-06-30,USD,3498000,None,None,None,None,None,28211000,None,None,None,None,23908000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9243000
SODA,2014-03-31,USD,2860000,None,None,None,None,None,15684000,None,None,None,None,9009000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1778000
SODA,2013-12-31,USD,4408000,None,None,None,None,None,39799000,None,None,None,None,19636000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,681000
SODA,2013-09-30,USD,None,None,None,None,None,None,26296000,None,None,None,None,24024000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16399000
SODA,2013-06-30,USD,None,None,None,None,None,None,19328000,None,None,None,None,17975000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12863000
