SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SOI,2020-12-31,USD,5843000,1324000,None,1430000,-441000,853000,1760000,230000,-124000,-2842000,-1651000,-4770000,None,0,0,None,12241000,-4759000,None,None,None,None,0,None,-578000,None,-1437000
SOI,2020-09-30,USD,3687000,-605000,None,7092000,5863000,-353000,1343000,8130000,-174000,-5603000,-1279000,-5096000,None,0,0,None,-150000,-150000,None,None,None,None,0,None,-2688000,None,-3283000
SOI,2020-06-30,USD,22619000,395000,None,-11844000,-35595000,6679000,859000,-36001000,-354000,-9496000,-172000,-4842000,None,-6000,-6000,None,-9507000,-9507000,None,None,None,None,15000,None,-3420000,None,-5540000
SOI,2020-03-31,USD,11704000,276000,None,3928000,10585000,7166000,699000,10241000,887000,-33152000,-673000,-31886000,None,26723000,27177000,None,-4755000,-4755000,None,None,None,None,-27122000,None,-20855000,None,-19081000
SOI,2019-12-31,USD,26322000,1195000,None,-17864000,-5277000,26998000,1938000,-5222000,189000,25334000,-1836000,-9290000,None,None,2141000,None,-19260000,-19260000,None,None,None,None,-2141000,None,15196000,None,15017000
SOI,2019-09-30,USD,31110000,-616000,None,-724000,-1067000,-361000,4197000,-228000,-741000,19082000,-3487000,-5656000,None,None,378000,None,-14274000,-14274000,None,None,None,None,-378000,None,21967000,None,11398000
SOI,2019-06-30,USD,22509000,394000,None,2651000,2905000,6631000,8347000,4013000,-249000,22509000,-8333000,-5728000,None,None,299000,None,-9515000,-9515000,None,None,None,None,-271000,None,22509000,None,13275000
SOI,2019-03-31,USD,23435000,360000,None,-8920000,2998000,6432000,20370000,584000,3545000,23435000,-20346000,-18370000,None,None,431000,None,-4757000,-4757000,None,None,None,None,-165000,None,23435000,None,12317000
SOI,2018-12-31,USD,24652000,163000,None,28206000,4081000,5986000,36066000,5167000,1895000,24652000,-35686000,-160000,None,None,6000,None,-4713000,-4713000,None,None,5000000,None,-6000,None,24652000,None,12885000
SOI,2018-09-30,USD,26437000,57000,None,267000,8122000,5407000,38858000,7474000,1602000,26437000,-38757000,6451000,None,None,None,None,-4713000,-4713000,None,None,None,None,-1044000,None,26437000,None,13019000
SOI,2018-06-30,USD,21448000,50000,None,2938000,8939000,3984000,44995000,7038000,-151000,21448000,-44936000,-190000,None,None,None,None,-4713000,-4713000,None,None,None,None,160000,None,21448000,None,10597000
SOI,2018-03-31,USD,13415000,11000,None,1130000,16780000,3265000,41160000,7087000,7124000,13415000,-41166000,-285000,None,None,None,None,-4713000,-4713000,None,None,None,None,676000,None,13415000,None,5930000
SOI,2017-12-31,USD,13730000,8000,None,2846000,3062000,6650000,44897000,3436000,857000,9237000,-49935000,45630000,None,None,None,None,-25818000,-25818000,None,None,None,None,44684000,None,9425000,None,2100000
SOI,2017-09-30,USD,11454000,6000,None,3632000,3792000,11000,27533000,2412000,2327000,7406000,-27539000,-7000,None,None,None,None,-25818000,-25818000,None,None,None,None,None,None,-16092000,None,1379000
SOI,2017-06-30,USD,1062000,None,None,None,None,1370000,13864000,-1610000,3897000,1062000,-13894000,83500000,None,None,None,None,-25818000,-25818000,None,None,None,None,None,None,68310000,None,157000
SOI,2017-03-31,USD,4481000,None,None,None,None,1176000,7618000,-1011000,451000,4782000,-7616000,2985000,None,None,None,None,None,None,None,None,None,None,None,None,-1790000,None,4782000
SOI,2016-12-31,USD,3753000,None,None,None,None,3792000,4973000,None,180000,3023000,-4984000,3220000,None,None,None,None,-25818000,-25818000,None,None,None,None,948000,None,1989000,None,3023000
SOI,2016-09-30,USD,1317000,None,None,None,None,None,2457000,None,86000,711000,-2482000,-245000,None,None,None,None,None,None,None,None,None,None,None,None,-1410000,None,711000
SOI,2016-06-30,USD,None,None,None,None,None,None,1151000,None,-507000,-804000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-396000,None,None
SOI,2016-03-31,USD,None,None,None,None,None,None,2318000,None,-86000,-127000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3538000,None,None
