SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SONA,2020-12-31,USD,19394000,7622000,None,2493000,-4976000,1680000,117000,None,None,8963000,97934000,-70415000,None,None,None,None,2437000,2437000,None,None,-86000,None,133000,None,46913000,None,8963000
SONA,2020-09-30,USD,-1490000,7225000,None,825000,10612000,1678000,96000,None,None,9588000,-3169000,71345000,-231000,None,None,None,2437000,2437000,None,None,None,None,50000,None,66686000,None,9588000
SONA,2020-06-30,USD,1468000,9114000,None,-1142000,8388000,341000,486000,None,None,4709000,-280486000,305739000,-101907000,None,None,None,2435000,2435000,None,None,None,None,332000,None,-291000,None,4709000
SONA,2020-03-31,USD,10291000,9089000,None,3687000,-464000,1705000,383000,None,None,27000,-18552000,32198000,83796000,None,None,None,2428000,2428000,None,None,None,None,194000,None,23937000,None,27000
SONA,2019-12-31,USD,9232000,10106000,None,-4152000,-3922000,1447000,597000,None,None,8964000,-44274000,18398000,74528000,None,None,None,2176000,2176000,None,None,None,None,66000,None,-16644000,None,8964000
SONA,2019-09-30,USD,12041000,9653000,None,2348000,-568000,1467000,431000,None,None,8864000,41794000,-38351000,-64965000,None,None,None,2173000,2173000,None,None,None,None,475000,None,15484000,None,8864000
SONA,2019-06-30,USD,10263000,9654000,None,-5279000,987000,362000,66000,None,None,10263000,-15460000,12906000,-24303000,None,None,None,2171000,2171000,None,None,None,None,7000,None,10263000,None,9319000
SONA,2019-03-31,USD,7524000,10251000,None,8641000,4420000,2104000,7000,None,None,7524000,12922000,-21382000,-32798000,None,None,None,2170000,2170000,None,None,None,None,122000,None,7524000,None,6020000
SONA,2018-12-31,USD,10824000,7989000,None,-2502000,-2355000,2865000,-72000,None,None,10824000,-7346000,-8184000,-79485000,None,None,None,1924000,1924000,None,None,None,None,118000,None,10824000,None,7704000
SONA,2018-09-30,USD,11061000,6477000,None,762000,-563000,574000,240000,None,None,11061000,4096000,-33507000,-74958000,None,None,None,1925000,1925000,None,None,None,None,-35000,None,11061000,None,8861000
SONA,2018-06-30,USD,11060000,6294000,None,-3233000,1287000,361000,182000,None,None,11060000,-52144000,70033000,-13889000,None,None,None,1922000,1922000,None,None,None,None,6000,None,11060000,None,8867000
SONA,2018-03-31,USD,10360000,5369000,None,2064000,-1353000,668000,1623000,None,None,10360000,-38302000,27062000,-690000,None,None,None,1917000,1917000,None,None,None,None,354000,None,10360000,None,8259000
SONA,2017-12-31,USD,7029000,6621000,None,-2836000,-13518000,748000,675000,None,None,-1161000,-32002000,21959000,71370000,None,None,None,1913000,1913000,None,None,None,0,184000,None,2143000,None,-1161000
SONA,2017-09-30,USD,18707000,4598000,None,-361000,-2575000,266000,411000,None,None,4374000,6299000,-39614000,70640000,None,None,None,1913000,1913000,None,None,None,0,36000,None,-21280000,None,4374000
SONA,2017-06-30,USD,-2842000,4733000,None,-3126000,1058000,74000,304000,None,None,-2842000,12108000,3220000,28000000,None,None,None,987000,987000,None,None,None,0,184000,None,9181000,None,-2842000
SONA,2017-03-31,USD,11983000,2290000,None,2636000,-720000,-67000,35000,None,None,2054000,-48411000,29925000,21000000,None,None,None,985000,985000,None,None,None,449000,600000,None,-11973000,None,2054000
SONA,2016-12-31,USD,11310000,3220000,None,-2003000,-4647000,-148000,23000,None,None,2192000,-15744000,6747000,5000000,None,None,None,981000,981000,None,None,None,None,17000,None,-3014000,None,2192000
SONA,2016-09-30,USD,12084000,2926000,None,2634000,-26000,-194000,27000,None,None,2765000,-7051000,9155000,-2500000,None,None,None,981000,981000,None,None,None,None,115000,None,8701000,None,2765000
SONA,2016-06-30,USD,2789000,4144000,None,-44000,171000,62000,23000,None,None,2789000,-29274000,33716000,4836000,None,None,None,980000,980000,None,None,None,None,29000,None,7581000,None,2789000
SONA,2016-03-31,USD,4133000,2603000,None,734000,1549000,-232000,70000,None,None,2565000,-43520000,45004000,13664000,None,None,None,979000,979000,None,None,None,None,75000,None,3788000,None,2565000
