SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SPRT,2020-09-30,USD,-2000,108000,None,14000,-646000,82000,0,-441000,None,-554000,-4656000,75000,None,None,None,None,None,None,None,None,None,None,75000,None,-4613000,-30000,-554000
SPRT,2020-06-30,USD,2005000,None,None,None,None,84000,829000,822000,None,617000,4011000,17000,None,None,None,None,None,None,None,None,None,None,17000,None,6092000,59000,617000
SPRT,2020-03-31,USD,2067000,0,None,157000,-1001000,95000,1000,-1327000,None,364000,3028000,None,None,None,None,None,None,None,None,None,None,None,None,None,5054000,-41000,364000
SPRT,2019-12-31,USD,680000,1000,None,-1701000,-709000,19000,38000,-980000,None,157000,6343000,-19033000,None,None,None,None,-19054000,-19054000,None,None,None,None,21000,None,-11958000,1000,157000
SPRT,2019-09-30,USD,1693000,25000,None,-325000,-1329000,132000,48000,-1192000,None,1593000,-981000,None,None,None,None,None,-19054000,-19054000,None,None,None,None,27000,None,632000,-80000,1593000
SPRT,2019-06-30,USD,-4753000,72000,None,148000,-3634000,114000,29000,-3300000,None,653000,-3414000,27000,None,None,None,None,-19054000,-19054000,None,None,None,None,27000,None,-8120000,20000,653000
SPRT,2019-03-31,USD,-1672000,0,None,26000,2457000,112000,9000,2579000,None,1443000,6066000,27000,None,None,None,None,-19054000,-19054000,None,None,None,None,None,None,4402000,8000,1443000
SPRT,2018-12-31,USD,1593000,-17000,None,776000,-207000,207000,17000,-247000,None,418000,7277000,101000,None,None,None,None,None,None,None,None,None,None,101000,None,9338000,99000,418000
SPRT,2018-09-30,USD,-583000,27000,None,-1083000,519000,271000,0,239000,None,-9148000,-1883000,20000,None,None,None,None,None,None,None,None,None,None,20000,None,-2592000,-146000,-9148000
SPRT,2018-06-30,USD,1135000,15000,None,1350000,309000,159000,17000,585000,None,396000,-2086000,136000,None,None,None,None,None,None,None,None,None,None,136000,None,-971000,-156000,396000
SPRT,2018-03-31,USD,-1349000,47000,None,-1365000,-229000,177000,174000,-236000,None,-766000,3039000,136000,None,None,None,None,None,None,None,None,None,None,None,None,1625000,-65000,-766000
SPRT,2017-12-31,USD,-124000,447000,None,-353000,342000,149000,31000,196000,None,-306000,-3137000,25000,None,None,None,None,None,None,None,None,None,None,1000,None,-3377000,57000,-306000
SPRT,2017-09-30,USD,-2255000,17919,None,-601000,2079000,166000,-2000,2194000,None,231000,4184000,25000,None,None,None,None,None,None,None,None,None,None,None,None,1918000,-11000,231000
SPRT,2017-06-30,USD,-165000,31000,None,-287000,-998000,6000,3000,-663000,None,-165000,-3411000,25000,None,None,None,None,None,None,None,None,None,None,25000,None,-2487000,9000,-165000
SPRT,2017-03-31,USD,-5438081,36081,None,-1333000,412000,227000,31000,657000,None,-1286000,7529000,-31000,None,None,None,None,None,None,None,None,None,None,None,None,4933000,118000,-1286000
SPRT,2016-12-31,USD,11327000,1103000,None,1140000,-692000,377000,80000,-628000,None,-3489000,2095000,-15000,None,None,None,None,None,None,None,None,None,None,-15000,None,1197000,-73000,-3489000
SPRT,2016-09-30,USD,-7402000,38000,None,-1926000,544000,31000,24000,756000,None,-2129000,-1857000,-4000,None,None,None,None,None,None,None,None,None,None,-4000,None,-5262000,18000,-2129000
SPRT,2016-06-30,USD,-6394000,368000,None,764000,-1250000,267000,157000,-1027000,None,-6026000,1388000,8000,None,None,None,None,None,None,None,None,None,None,8000,None,-1661000,-44000,-6026000
SPRT,2016-03-31,USD,-8994000,66000,None,-265000,765000,511000,300000,447000,None,-4596000,-804000,-31000,None,None,None,None,None,None,None,None,None,None,-31000,None,-4944000,61000,-4312000
SPRT,2015-12-31,USD,17178000,44000,None,1856000,-1449000,442000,626000,-1189000,None,-5126000,2875000,39000,None,None,None,None,None,None,None,None,None,None,39000,None,17037000,-38000,-5130000
