SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
SQNS,2020-12-31,USD,-1448000,None,None,None,None,2614000,3926000,None,-424000,None,28000,-1396000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,-11262000
SQNS,2020-09-30,USD,-8770000,None,None,None,None,2601000,3956000,None,61000,None,-990000,2561000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,-8991000
SQNS,2020-06-30,USD,-1443000,None,None,None,None,2363000,3519000,None,284000,None,-21417000,35305000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,-18955000
SQNS,2020-03-31,USD,-7725000,None,None,None,None,2195000,2374000,None,518000,None,-2383000,1149000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,-10601000
SQNS,2019-12-31,USD,16426000,None,None,None,None,2195000,2721000,None,732000,None,-2713000,-5875000,None,None,None,None,0,0,None,None,None,None,8269000,None,None,None,-9152000
SQNS,2019-09-30,USD,-969000,None,None,None,None,1884000,3416000,None,-515000,None,-3390000,4764000,None,None,None,None,0,0,None,None,None,None,8269000,None,None,None,-8705000
SQNS,2019-06-30,USD,-5740000,None,None,None,None,1986000,1344000,None,758000,None,-2998000,5388000,None,None,None,None,0,0,None,None,None,None,8269000,None,None,None,-8889000
SQNS,2019-03-31,USD,-4624000,None,None,None,None,1262000,1665000,None,604000,None,-1650000,1742000,None,None,None,None,0,0,None,None,None,None,8350000,None,None,None,-9056000
SQNS,2018-12-31,USD,-22838000,None,None,None,None,3060000,9208000,None,-956000,None,-8766000,40744000,None,None,None,None,None,None,None,None,None,None,20871000,None,None,None,-37192000
SQNS,2018-09-30,USD,-1341000,None,None,None,None,1575000,2319000,None,368000,None,-2861000,2706000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-9912000
SQNS,2018-06-30,USD,-7970000,None,None,None,None,1595000,1808000,None,-287000,None,-2599000,2610000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8090000
SQNS,2018-03-31,USD,-6009000,None,None,None,None,1536000,329000,None,8000,None,-777000,18474000,None,None,None,None,None,None,None,None,None,None,20890000,None,None,None,-8749000
SQNS,2017-12-31,USD,-28626000,None,None,None,None,5575000,6422000,None,1317000,None,-6477000,17838000,None,None,None,None,None,None,None,None,None,None,17353000,None,None,None,-26160000
SQNS,2017-09-30,USD,-5281000,None,None,None,None,1235000,4096000,None,-320000,None,-1834000,16515000,None,None,None,None,None,None,None,None,None,None,535000,None,None,None,-6920000
SQNS,2017-06-30,USD,-4402000,None,None,None,None,1288000,2289000,None,165000,None,-1909000,15544000,None,None,None,None,None,None,None,None,None,None,15107000,None,None,None,-5990000
SQNS,2017-03-31,USD,-9911000,None,None,None,None,1260000,419000,None,509000,None,-407000,4275000,None,None,None,None,None,None,None,None,None,None,206000,None,None,None,-5604000
SQNS,2016-12-31,USD,-15589000,None,None,None,None,5295000,5390000,None,-4628000,None,-5270000,32778000,None,None,None,None,None,None,None,None,None,None,26144000,None,None,None,-24787000
SQNS,2016-09-30,USD,-9494000,None,None,None,None,1302000,3724000,None,-3139000,None,-983000,29630000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5126000
SQNS,2016-06-30,USD,-4000000,None,None,None,None,1000000,2738000,None,236000,None,-1000000,1944000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5000000
SQNS,2016-03-31,USD,3864000,None,None,None,None,1000000,1234000,None,482000,None,-1000000,-5000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-9000000
SQNS,2015-12-31,USD,-16401000,None,None,None,None,5275000,5483000,None,5134000,None,-5345000,17710000,None,None,None,None,None,None,None,None,None,None,29000,None,None,None,-27402000
