SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
STAR,2020-12-31,USD,28064000,143553000,None,8781000,-728000,14685000,4137000,-2663000,None,-10060000,36847000,-50602000,None,7293000,7293000,None,14141000,8267000,5874000,None,None,None,-7293000,None,14309000,None,-13213000
STAR,2020-09-30,USD,3614000,1100000,None,574000,4387000,14621000,5179000,1281000,None,6451000,22769000,-17386000,None,13625000,13625000,None,14123000,8249000,5874000,None,None,None,-13625000,None,8997000,None,3805000
STAR,2020-06-30,USD,11205000,1100000,None,1106000,-1347000,14300000,2474000,-1008000,None,-14363000,34324000,-336469000,None,15494000,15494000,None,14225000,8351000,5874000,None,None,None,-15494000,None,-16763000,None,-17461000
STAR,2020-03-31,USD,-20997000,1100000,None,-12324000,3039000,14486000,4008000,79000,None,-12885000,-62761000,149479000,None,18153000,18153000,None,13671000,7797000,5874000,None,None,None,-18153000,None,65721000,None,-15576000
STAR,2019-12-31,USD,30171000,182620000,None,2664000,-23646000,14673000,18865000,-1593000,None,-36022000,-156839000,-499971000,None,9502000,9502000,None,14418000,6295000,8123000,None,None,None,-9502000,None,-626639000,None,-38137000
STAR,2019-09-30,USD,-36292000,1000000,12756000,-16162000,25726000,14200000,119691000,314000,None,3626000,-117269000,738141000,None,1419000,1419000,None,14323000,6199000,8124000,None,None,None,-1419000,None,584580000,None,781000
STAR,2019-06-30,USD,373691000,1000000,None,10712000,2256000,13718000,20193000,2650000,None,373691000,89244000,-65826000,None,42040000,42040000,None,14589000,6438000,8124000,None,None,None,-42040000,None,373691000,None,370839000
STAR,2019-03-31,USD,-6970000,1100000,58529000,-44869000,1512000,15668000,114847000,-954000,None,-6970000,-213232000,-350973000,None,15328000,15328000,None,14251000,6127000,8124000,None,None,None,-15328000,None,-6970000,8000,-9441000
STAR,2018-12-31,USD,-105028000,None,140428000,18892000,-1842000,16842000,16064000,-1625000,None,-105028000,199644000,-29936000,None,0,0,None,14248000,6124000,8124000,None,None,None,0,None,-105028000,None,-107332000
STAR,2018-09-30,USD,-8832000,None,32524000,-19744000,1341000,19979000,0,1044000,None,-8832000,12736000,-271887000,None,0,0,None,14227000,-14227000,8124000,None,None,None,0,None,-8832000,None,-10860000
STAR,2018-06-30,USD,60506000,None,190365000,17661000,410000,10768000,13355000,913000,None,60506000,440350000,214058000,None,0,0,None,8124000,-8124000,8124000,None,None,None,0,None,60506000,8000,50997000
STAR,2018-03-31,USD,35028000,None,48469000,-45144000,2016000,11110000,7840000,617000,None,35028000,126129000,-370174000,None,8304000,8304000,None,8124000,-8124000,8124000,None,None,None,-8304000,None,35028000,22000,34933000
STAR,2017-12-31,USD,-6595000,None,112074000,13091000,7535000,11736000,18776000,-1109000,None,3290000,-176934000,-1071184000,None,None,0,None,9954000,-9954000,9954000,None,None,None,-253324000,None,-1254760000,-47000,3214000
STAR,2017-09-30,USD,-16109000,None,47648000,-9733000,1450000,11846000,8545000,-348000,None,-3716000,100118000,874148000,None,None,45928000,None,12830000,-12830000,12830000,None,None,None,-58817000,None,958169000,12000,-3556000
STAR,2017-06-30,USD,140407000,None,124076000,28928000,-1905000,13285000,8565000,667000,None,196007000,216106000,-299727000,None,None,0,None,12830000,-12830000,12830000,None,None,None,None,None,56792000,6000,190297000
STAR,2017-03-31,USD,-37491000,None,30215000,-24987000,8726000,13067000,7781000,2214000,None,-15372000,130195000,476038000,None,None,0,None,12830000,-12830000,12830000,None,None,None,None,None,568743000,1000,-14272000
STAR,2016-12-31,USD,35769000,None,23225000,11320000,-7797000,12145000,None,None,None,-8461000,115195000,-369721000,None,None,0,None,12830000,-51320000,12830000,None,None,None,None,None,-218766000,None,-6421000
STAR,2016-09-30,USD,-14712000,None,164379000,1279000,15871000,13002000,20536000,10151000,None,58155000,86828000,-45963000,None,None,8854000,None,12830000,-12830000,12830000,None,None,None,-8854000,None,26147000,-6000,59122000
STAR,2016-06-30,USD,15747000,None,212276000,9971000,-643000,24581000,21854000,-2021000,None,59787000,277633000,-363196000,None,None,31721000,None,12830000,-12830000,12830000,None,None,None,-31721000,None,-69818000,-2000,50962000
STAR,2016-03-31,USD,-16800000,None,35680000,-23023000,-1034000,4601000,17735000,-2415000,None,-9299000,-13113000,-90031000,None,None,58760000,None,12830000,-12830000,12830000,None,None,None,-58760000,None,-119920000,24000,-8357000
