SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
STXB,2020-12-31,USD,23655000,6720000,None,4399000,-3445000,323000,949000,-414000,None,12455000,-31145000,119440000,0,3225000,3225000,None,None,None,None,None,-784000,None,-3225000,None,111950000,None,12455000
STXB,2020-09-30,USD,17600000,6571000,None,1603000,-4963000,1588000,5166000,-576000,None,7088000,-57212000,-44648000,0,756000,756000,None,-1212000,-1212000,None,None,115905000,None,-756000,None,-84260000,None,7088000
STXB,2020-06-30,USD,7876000,6696000,None,577000,4383000,1128000,1690000,4874000,None,7694000,-411014000,410829000,0,6684000,6684000,None,None,None,None,None,94830000,None,-6684000,None,7778000,None,7694000
STXB,2020-03-31,USD,4401000,5016000,None,-326000,3395000,1104000,2353000,94000,None,4074000,-115945000,13240000,10000000,4805000,4805000,None,None,None,None,None,10950000,None,-4805000,None,-98304000,None,4074000
STXB,2019-12-31,USD,4923000,6233000,None,196000,704000,317000,-181000,-270000,None,6169000,104549000,64942000,0,91000,91000,None,None,None,None,None,0,None,-98000,None,174414000,None,6169000
STXB,2019-09-30,USD,11943000,5956000,None,231000,-1915000,1129000,3186000,-720000,None,5330000,-69049000,45491000,0,None,None,None,None,None,None,None,2424000,None,46519000,None,-11615000,None,5330000
STXB,2019-06-30,USD,9446000,4849000,None,-1152000,-5285000,1006000,2282000,882000,None,5827000,48319000,-17269000,0,None,None,None,None,None,None,None,None,None,185000,None,6149000,None,5827000
STXB,2019-03-31,USD,1922000,3415000,None,-1062000,1781000,648000,1942000,73000,None,3810000,24680000,7045000,-12500000,None,None,None,None,None,None,None,1818000,None,1103000,None,33647000,None,3810000
STXB,2018-12-31,USD,4003000,4343000,None,-2157000,-2309000,2662000,1261000,-247000,None,2513000,24430000,16444000,2500000,None,None,None,None,None,None,None,None,None,1540000,None,44877000,None,2513000
STXB,2018-09-30,USD,7321000,2954000,None,931000,-3412000,248000,1655000,520000,2189000,2771000,-37882000,21713000,-5000000,None,None,None,None,None,None,None,None,None,16000,None,-8848000,None,2771000
STXB,2018-06-30,USD,510000,None,None,None,None,175000,2101000,-80000,None,2681000,-36746000,36927000,None,None,None,None,None,None,None,None,None,None,42219000,None,2928000,None,2681000
STXB,2018-03-31,USD,2261000,None,None,None,None,284000,1600000,351000,789000,2013000,-14487000,6572000,None,None,None,None,None,None,None,None,None,None,2185000,None,-5654000,None,2013000
STXB,2017-12-31,USD,5682000,None,None,None,None,2465000,6455000,None,5984000,523000,-11729000,814000,None,None,None,None,None,None,None,None,None,None,471000,None,None,None,523000
STXB,2017-09-30,USD,1831000,None,None,None,None,614000,4719000,None,None,2002000,-31342000,14211000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2002000
