SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
THI,2014-09-30,CAD,447635000,None,None,None,None,0,144187000,None,0,None,-135571000,-257116000,None,None,None,None,-129367000,-129367000,None,None,None,None,0,None,None,None,98131000
THI,2014-06-30,CAD,227723000,None,None,None,None,0,98880000,None,0,None,-95842000,-206695000,None,None,None,None,-86910000,-86910000,None,None,None,None,0,None,None,None,123750000
THI,2014-03-31,CAD,80417000,None,None,None,None,0,60048000,None,0,None,-57390000,104264000,None,None,None,None,-44117000,-44117000,None,None,None,None,0,None,None,None,90909000
THI,2013-12-31,CAD,598735000,None,None,None,None,None,242970000,None,None,None,None,None,None,None,None,None,-156141000,-156141000,None,None,None,None,None,None,None,None,100599000
THI,2013-09-30,CAD,438152000,None,None,None,None,0,142280000,None,0,None,-135571000,-379303000,None,None,None,None,-118579000,-118579000,None,None,None,None,0,None,None,None,113863000
THI,2013-06-30,CAD,258329000,None,None,None,None,0,93496000,None,0,None,-106168000,-178725000,None,None,None,None,-79348000,-79348000,None,None,None,None,0,None,None,None,123736000
THI,2013-03-31,CAD,48204000,None,None,None,None,0,50240000,None,0,None,-47323000,-86771000,None,None,None,None,-39885000,-39885000,None,None,None,None,0,None,None,None,86171000
THI,2012-12-31,CAD,559287000,None,None,None,None,None,235808000,None,None,None,None,None,None,None,None,None,-130509000,-130509000,None,None,None,None,None,None,None,None,100341000
THI,2012-09-30,CAD,416131000,None,None,None,None,0,159002000,None,0,None,-78137000,-626367000,None,None,None,None,-98172000,-98172000,None,None,None,None,0,None,None,None,105698000
THI,2012-06-30,CAD,216351000,None,None,None,None,0,97458000,None,0,None,-106168000,-178725000,None,None,None,None,-65661000,-65661000,None,None,None,None,0,None,None,None,108067000
THI,2012-03-31,CAD,66378000,None,None,None,None,0,48283000,None,0,None,4326000,-224974000,None,None,None,None,-33046000,-33046000,None,None,None,None,0,None,None,None,88779000
THI,2011-12-31,CAD,391467000,None,None,None,None,None,181267000,None,None,None,None,None,None,None,None,None,-110187000,-110187000,None,None,None,None,None,None,None,None,102953000
THI,2011-09-30,CAD,218769000,None,None,None,None,0,106031000,None,0,None,-95504000,-228242000,None,None,None,None,-83318000,-83318000,None,None,None,None,0,None,None,None,103631000
THI,2011-06-30,CAD,26268000,None,None,None,None,0,63414000,None,0,None,-39028000,-160375000,None,None,None,None,-56122000,-56122000,None,None,None,None,0,None,None,None,95549000
THI,2011-03-31,CAD,94009000,None,None,None,None,0,34627000,None,0,None,4326000,-90673000,None,None,None,None,-28366000,-28366000,None,None,None,None,0,None,None,None,80679000
THI,2010-12-31,CAD,525544000,None,None,None,None,None,132912000,None,None,None,296019000,None,None,None,None,None,-90304000,-90304000,None,None,None,None,None,None,None,None,377121000
THI,2010-09-30,CAD,436860000,None,None,None,None,0,78988000,None,0,None,-145892000,-96869000,None,None,None,None,-68004000,-68004000,None,None,None,None,0,None,None,None,73828000
THI,2010-06-30,CAD,235069000,None,None,None,None,0,48494000,None,0,None,-80432000,-69447000,None,None,None,None,-45413000,-45413000,None,None,None,None,0,None,None,None,94121000
THI,2010-03-31,CAD,94009000,None,None,None,None,None,24289000,None,None,None,None,None,None,None,None,None,-22698000,-22698000,None,None,None,None,None,None,None,None,78889000
THI,2009-12-31,CAD,415651000,None,None,None,None,None,157971000,None,None,None,None,None,None,None,None,None,-72506000,-72506000,None,None,None,None,None,None,None,None,90989000
THI,2009-09-30,CAD,334885000,None,None,None,None,0,111382000,None,0,None,-130435000,-206415000,None,None,None,None,-54583000,-54583000,None,None,None,None,0,None,None,None,61179000
