SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
THRM,2020-12-31,USD,37394000,8969000,None,24267000,32536000,10337000,5606000,13492000,5459000,33993000,-4534000,5668000,None,0,0,None,None,None,None,None,1000,None,9724000,None,39306000,778000,33993000
THRM,2020-09-30,USD,23074000,2600000,None,59599000,79245000,10289000,4113000,71055000,647000,24146000,-4106000,-6166000,None,0,0,None,None,None,None,None,0,None,650000,None,17364000,4562000,24146000
THRM,2020-06-30,USD,20808000,1459000,None,-32842000,-53685000,10082000,4269000,-40296000,-5696000,-10322000,-3242000,-33863000,None,0,0,None,None,None,None,None,31647000,None,276000,None,-10247000,2528000,-10322000
THRM,2020-03-31,USD,29419000,4292000,None,9871000,7700000,10406000,3231000,2491000,404000,11873000,-6338000,149841000,None,9092000,9092000,None,None,None,None,None,169546000,None,-3190000,None,172496000,-426000,11873000
THRM,2019-12-31,USD,34811000,9299000,None,-9311000,-12817000,10965000,5389000,-12762000,-1653000,10454000,-8634000,-22362000,None,5243000,5243000,None,None,None,None,None,8342000,None,-2565000,None,5244000,1429000,10454000
THRM,2019-09-30,USD,43584000,2298000,None,10346000,-216000,11064000,5316000,1940000,7162000,15887000,-4608000,-23009000,None,25000000,25000000,None,None,None,None,None,1099000,None,-15892000,None,11523000,-4444000,15887000
THRM,2019-06-30,USD,2751000,3207000,None,-6751000,-11980000,11165000,7874000,-4272000,-1879000,2751000,-23296000,-15821000,None,25000000,25000000,None,None,None,None,None,17943000,None,-20443000,None,2751000,502000,2751000
THRM,2019-03-31,USD,8414000,1252000,None,-8864000,14075000,11052000,5150000,8293000,229000,8414000,42378000,-47401000,None,8040000,8040000,None,None,None,None,None,10428000,None,-7826000,None,8414000,-209000,8414000
THRM,2018-12-31,USD,12629000,2826000,None,-2579000,-16139000,11917000,9726000,-16879000,4179000,12629000,-9630000,-45085000,None,83923000,83923000,None,None,None,None,None,76679000,None,-83208000,None,12629000,-710000,12629000
THRM,2018-09-30,USD,-355000,11818000,None,7158000,-2700000,12898000,9677000,-3614000,5141000,-355000,-9672000,-46282000,None,43910000,43910000,None,None,None,None,None,3000000,None,-34814000,None,-355000,-249000,-355000
THRM,2018-06-30,USD,16659000,1627000,None,10024000,15263000,12931000,13760000,7778000,272000,16659000,-13062000,-12499000,None,None,None,None,None,None,None,None,None,None,-16026000,None,16659000,-6517000,16659000
THRM,2018-03-31,USD,12966000,981000,None,-9518000,12669000,12892000,8378000,9691000,-1903000,12966000,-8393000,-35400000,None,None,None,None,None,None,None,None,None,None,751000,None,12966000,5513000,12966000
THRM,2017-12-31,USD,74800000,1369000,None,9467000,106000,12309000,13604000,-11614000,-59000,-5242000,-78548000,-1666000,None,None,None,None,None,None,None,None,None,None,321000,None,-44454000,1251000,-5242000
THRM,2017-09-30,USD,13559000,981000,None,-6453000,-404000,11472000,11431000,-1368000,5556000,6554000,-11424000,-22378000,None,None,None,None,None,None,None,None,None,None,-4900000,None,-16551000,7995000,6554000
THRM,2017-06-30,USD,8513000,1332000,None,-3733000,-11852000,10999000,12188000,-6951000,-3556000,8513000,-12164000,952000,None,None,None,None,None,None,None,None,None,None,1127000,None,30270000,14031000,8513000
THRM,2017-03-31,USD,-53573000,858000,None,-37143000,22799000,10192000,13562000,13900000,2407000,25402000,-15552000,-8472000,None,None,None,None,None,None,None,None,None,None,881000,None,-43280000,2080000,25402000
THRM,2016-12-31,USD,96588000,1066000,None,-4898000,-10858000,10040000,15574000,-4864000,286000,26036000,-20048000,38311000,None,None,None,None,None,None,None,None,None,None,400000,None,44374000,-11278000,26036000
THRM,2016-09-30,USD,27543000,437000,None,-2147000,12722000,10177000,19914000,10167000,12271000,20223000,-19823000,-273000,None,None,None,None,None,None,None,None,None,None,472000,None,806000,1064000,20223000
THRM,2016-06-30,USD,18446000,1068000,None,567000,-11823000,9383000,13818000,-9238000,-7847000,18446000,-87475000,-31110000,None,None,None,None,None,None,None,None,None,None,362000,None,18446000,-4789000,18446000
THRM,2016-03-31,USD,-30000000,458000,None,14211000,24757000,8164000,17010000,21906000,1223000,-30000000,-16992000,72930000,None,None,None,None,None,None,None,None,None,None,204000,None,-30000000,3791000,-30000000
