SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
TRW,2015-03-31,USD,0,None,None,None,None,0,95000000,None,0,None,213000000,28000000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,366000000
TRW,2014-12-31,USD,944000000,None,None,None,None,0,694000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,293000000
TRW,2014-09-30,USD,268000000,None,None,None,None,0,354000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,189000000
TRW,2014-06-30,USD,74000000,None,None,None,None,0,236000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,265000000
TRW,2014-03-31,USD,0,None,None,None,None,0,105000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,199000000
TRW,2013-12-31,USD,1126000000,None,None,None,None,0,735000000,None,0,None,0,110000000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,363000000
TRW,2013-09-30,USD,240000000,None,None,None,None,0,411000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,197000000
TRW,2013-06-30,USD,93000000,None,None,None,None,0,271000000,None,0,None,0,186000000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,248000000
TRW,2013-03-31,USD,0,None,None,None,None,0,104000000,None,0,None,0,422000000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,162000000
TRW,2012-12-31,USD,956000000,None,None,None,None,0,623000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,419000000
TRW,2012-09-30,USD,245000000,None,None,None,None,0,325000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,163000000
TRW,2012-06-30,USD,89000000,None,None,None,None,0,200000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,220000000
TRW,2012-03-31,USD,0,None,None,None,None,0,96000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,206000000
TRW,2011-12-31,USD,1120000000,None,None,None,None,0,571000000,None,105000000,None,-509000000,-405000000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,425000000
TRW,2011-09-30,USD,512000000,None,None,None,None,0,304000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,158000000
TRW,2011-06-30,USD,352000000,None,None,None,None,0,167000000,None,137000000,None,-139000000,-199000000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,293000000
TRW,2011-03-31,USD,81000000,None,None,None,None,0,67000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,281000000
TRW,2010-12-31,USD,1052000000,None,None,None,None,0,294000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,204000000
TRW,2010-09-30,USD,690000000,None,None,None,None,0,168000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,199000000
TRW,2010-06-30,USD,423000000,None,None,None,None,0,107000000,None,0,None,0,0,None,None,None,None,0,0,None,None,None,None,0,None,None,None,227000000
TRW,2010-03-31,USD,21000000,None,None,None,None,None,45000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,204000000
