SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
TWOU,2020-12-31,USD,36462000,-1700000,None,-20720000,-36104000,25063000,1001000,-47218000,None,-37657000,-17035000,-1429000,None,None,None,None,None,None,None,4000,None,None,3247000,None,17998000,None,-37657000
TWOU,2020-09-30,USD,-214000,4500000,None,13589000,33953000,23936000,1262000,25574000,None,-52554000,-14865000,300991000,None,None,None,None,None,None,None,None,None,None,301094000,None,285912000,None,-52554000
TWOU,2020-06-30,USD,3219000,5482000,None,-1970000,278000,23985000,1818000,-3223000,None,-66167000,-18323000,70418000,None,None,None,None,None,None,None,None,None,None,3212000,None,-21091000,None,-66167000
TWOU,2020-03-31,USD,-9863000,9018000,None,41120000,48017000,23485000,2436000,42744000,None,-60106000,-19102000,-2474000,None,None,None,None,None,None,None,None,None,None,384000,None,-31439000,None,-60106000
TWOU,2019-12-31,USD,33687000,-1400000,None,-10111000,-51607000,23204000,2115000,-51692000,None,-44584000,-16388000,1764000,None,None,None,None,None,None,None,None,None,None,-1718000,None,19063000,None,-44584000
TWOU,2019-09-30,USD,-37712000,7100000,None,-2263000,12159000,22288000,3171000,14195000,None,-141112000,-26730000,2442000,None,None,None,None,None,None,None,None,None,None,2457000,None,-62000000,None,-141112000
TWOU,2019-06-30,USD,-27972000,None,None,-21237000,-13667000,14653000,4971000,-11974000,None,-27972000,-414246000,239667000,None,None,None,None,None,None,None,None,None,None,452000,None,-27972000,None,-27972000
TWOU,2019-03-31,USD,-21554000,None,None,32111000,48011000,9698000,3164000,37522000,None,-21554000,5966000,645000,None,None,None,None,None,None,None,None,None,None,1928000,None,-21554000,None,-21554000
TWOU,2018-12-31,USD,4832000,None,None,-6812000,-17540000,9403000,3969000,-17046000,None,4832000,-17446000,2215000,None,None,None,None,None,None,None,None,None,None,372000,None,4832000,None,4832000
TWOU,2018-09-30,USD,-9944000,None,None,-533000,1332000,8599000,2903000,-389000,None,-9944000,-39752000,-1426000,None,None,None,None,None,None,None,None,None,None,2239000,None,-9944000,None,-9944000
TWOU,2018-06-30,USD,-18347000,None,None,1012000,9222000,7408000,3268000,9823000,None,-18347000,-21602000,331130000,None,None,None,None,None,None,None,None,None,None,333535000,None,-18347000,None,-18347000
TWOU,2018-03-31,USD,-14871000,None,None,6341000,30415000,7375000,1856000,26109000,None,-14871000,-23661000,1118000,None,None,None,None,None,None,None,None,None,None,2120000,None,-14871000,None,-14871000
TWOU,2017-12-31,USD,34185000,None,None,-13245000,-31468000,6306000,6392000,-28281000,None,509000,-14965000,1511000,None,None,None,None,None,None,None,None,None,None,2043000,None,20731000,None,509000
TWOU,2017-09-30,USD,-17942000,None,None,16790000,19987000,5887000,5475000,18349000,None,-14739000,-108152000,190124000,None,None,None,None,None,None,None,None,None,None,191127000,None,64030000,None,-14739000
TWOU,2017-06-30,USD,-11754000,None,None,-10535000,-5246000,3783000,6065000,-5246000,None,-11754000,-11964000,5066000,None,None,None,None,None,None,None,None,None,None,2390000,None,-3436000,None,-11754000
TWOU,2017-03-31,USD,-11389000,None,None,16918000,20812000,3648000,9384000,20812000,None,-3439000,-14293000,51000,None,None,None,None,None,None,None,None,None,None,518000,None,-25841000,None,-3439000
TWOU,2016-12-31,USD,47182000,None,None,-86000,-13114000,2690000,3983000,-13114000,None,5391000,-8360000,531000,None,None,None,None,None,None,None,None,None,None,535000,None,11803000,None,-2209000
TWOU,2016-09-30,USD,-55007000,None,None,-13195000,15732000,2534000,2636000,15732000,None,-6758000,-7550000,2155000,None,None,None,None,None,None,None,None,None,None,2168000,None,-31324000,None,-6758000
TWOU,2016-06-30,USD,-7937000,None,None,3451000,3980000,2377000,684000,3980000,None,-8337000,-4641000,953000,None,None,None,None,None,None,None,None,None,None,1135000,None,1541000,None,-8337000
TWOU,2016-03-31,USD,17847000,None,None,9543000,287000,2149000,345000,287000,None,-3380000,-3967000,670000,None,None,None,None,None,None,None,None,None,None,1021000,None,2981000,None,-3380000
