SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
USFD,2021-12-31,USD,-120000000,119000000,None,None,-132000000,106000000,35000000,-152000000,-40000000,-10000000,-23000000,-48000000,None,None,None,None,None,None,None,None,None,None,4000000,None,-191000000,None,-10000000
USFD,2020-09-30,USD,-237000000,65000000,None,None,14000000,109000000,23000000,75000000,-19000000,8000000,9000000,-429000000,None,None,None,None,None,None,None,None,None,None,5000000,None,-657000000,None,8000000
USFD,2020-06-30,USD,832000000,88000000,None,None,-250000000,106000000,52000000,-100000000,-136000000,-92000000,-1022000000,781000000,None,None,None,None,None,None,None,None,None,None,496000000,None,11000000,None,-92000000
USFD,2020-03-31,USD,-62000000,41000000,None,None,-137000000,101000000,79000000,-157000000,-6000000,-132000000,-74000000,1123000000,None,None,None,None,None,None,None,None,None,None,7000000,None,987000000,None,-132000000
USFD,2019-12-31,USD,763000000,28000000,None,None,-176000000,102000000,101000000,-143000000,-38000000,388000000,-10000000,-191000000,None,None,None,None,None,None,None,None,None,None,10000000,None,-4000000,None,92000000
USFD,2019-09-30,USD,-397000000,46000000,None,None,55000000,87000000,47000000,44000000,24000000,-190000000,-1875000000,1711000000,None,None,None,None,None,None,None,None,None,None,7000000,None,5000000,None,106000000
USFD,2019-06-30,USD,116000000,54000000,None,None,-17000000,92000000,49000000,-13000000,5000000,116000000,-41000000,-194000000,None,None,None,None,None,None,None,None,None,None,10000000,None,116000000,None,116000000
USFD,2019-03-31,USD,71000000,36000000,None,None,132000000,81000000,61000000,131000000,-7000000,71000000,-61000000,-106000000,None,None,None,None,None,None,None,None,None,None,11000000,None,71000000,None,71000000
USFD,2018-12-31,USD,100000000,41819000,None,None,-107190000,90000000,67269000,-103144000,-20755000,100000000,-66897000,-81321000,None,None,None,None,None,None,None,None,None,None,4754000,None,100000000,None,100000000
USFD,2018-09-30,USD,114000000,30480000,None,None,177916000,85000000,50335000,75953000,92335000,114000000,-49532000,-95961000,None,None,None,None,None,None,None,None,None,None,7525000,None,114000000,None,114000000
USFD,2018-06-30,USD,126000000,52849000,None,None,-28626000,84000000,60217000,-36612000,1170000,126000000,-58397000,-45766000,None,None,None,None,None,None,None,None,None,None,14448000,None,126000000,None,126000000
USFD,2018-03-31,USD,67000000,34852000,None,None,145900000,82030000,57179000,134803000,-750000,67000000,-57174000,-167952000,None,None,None,None,None,None,None,None,None,None,11273000,None,67000000,None,67000000
USFD,2017-12-31,USD,447413000,25178000,None,None,-153979000,-194275000,58286000,-175228000,15518000,256469000,-34523000,-236054000,None,None,None,None,None,None,None,None,None,None,-272785000,None,-28513000,None,256469000
USFD,2017-09-30,USD,311582000,33997000,None,None,-587000,81000000,55028000,53664000,-51742000,95551000,-102351000,-38196000,None,None,None,None,None,None,None,None,None,None,8308000,None,-2610000,None,95551000
USFD,2017-06-30,USD,121458000,14000000,None,None,22377000,106000000,37842000,-4166000,31535000,65458000,-87055000,-161677000,None,None,None,None,None,None,None,None,None,None,8327000,None,-1845000,None,65458000
USFD,2017-03-31,USD,38048000,35590000,None,None,182669000,108000000,70125000,192731000,-35714000,26816000,-131902000,31070000,None,None,None,None,None,None,None,None,None,None,10346000,None,20727000,None,26816000
USFD,2016-12-31,USD,185761000,136670000,None,None,-170345000,-157923000,59302000,-171344000,1703000,76864000,-80719000,-54127000,None,None,None,None,-666332000,-666332000,None,0,None,None,11062000,None,-18886000,None,76864000
USFD,2016-09-30,USD,265915000,63598000,None,None,109531000,107309000,38350000,72453000,36270000,133011000,-520751000,417052000,None,None,None,None,-666332000,-666332000,None,0,None,None,-291000,None,34570000,None,133011000
