SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
VASC,2016-09-30,USD,7555000,None,None,None,None,1792000,4096000,-1137000,-100000,None,-4089000,434000,None,None,None,None,None,None,None,None,None,None,434000,None,3900000,-197000,5440000
VASC,2016-06-30,USD,7234000,None,None,None,None,1691000,4148000,-367000,-1457000,None,-4648000,1623000,None,None,None,None,None,None,None,None,None,None,1623000,None,4209000,159000,5402000
VASC,2016-03-31,USD,-4335000,None,None,None,None,1590000,2914000,-2311000,-524000,None,-2914000,-3265000,None,None,None,None,None,None,None,None,None,None,-3265000,None,-10514000,19000,-255000
VASC,2015-12-31,USD,2580000,None,None,None,None,1519000,2573000,-92000,371000,None,-2573000,1181000,None,None,None,None,None,None,None,None,None,None,1181000,None,1142000,-83000,1557000
VASC,2015-09-30,USD,6882000,None,None,None,None,1547000,2770000,908000,-2463000,None,-2770000,369000,None,None,None,None,None,None,None,None,None,None,369000,None,4481000,8000,2973000
VASC,2015-06-30,USD,3392000,None,None,None,None,1477000,2601000,-1806000,-2075000,None,-2601000,666000,None,None,None,None,None,None,None,None,None,None,666000,None,1457000,-215000,3727000
VASC,2015-03-31,USD,4900000,None,None,None,None,1453000,2661000,-1102000,-2089000,None,-5409000,-1541000,None,None,None,None,None,None,None,None,None,None,-1541000,None,-2050000,244000,2207000
VASC,2014-12-31,USD,3225000,None,None,None,None,1284000,1852000,-1033000,-171000,None,-8975000,619000,None,None,None,None,None,None,None,None,None,None,619000,None,-5256000,-193000,4160000
VASC,2014-09-30,USD,6779000,None,None,None,None,1228000,1527000,-376000,-142000,None,-1509000,394000,None,None,None,None,None,None,None,None,None,None,394000,None,5664000,75000,2571000
VASC,2014-06-30,USD,3513000,None,None,None,None,1203000,979000,111000,-363000,None,-978000,598000,None,None,None,None,None,None,None,None,None,None,598000,None,3133000,151000,3204000
VASC,2014-03-31,USD,3962000,None,None,None,None,1184000,1323000,-1443000,-1233000,None,-1314000,-513000,None,None,None,None,None,None,None,None,None,None,-513000,None,2135000,-158000,2799000
VASC,2013-12-31,USD,5750000,None,None,None,None,1162000,748000,-22000,250000,None,-1068000,1970000,None,None,None,None,None,None,None,None,None,None,1970000,None,6680000,31000,3537000
VASC,2013-09-30,USD,4715000,None,None,None,None,1138000,666000,-177000,-618000,None,-1144000,825000,None,None,None,None,None,None,None,None,None,None,825000,None,4396000,1000,2672000
VASC,2013-06-30,USD,3996000,None,None,None,None,1108000,978000,195000,-204000,None,-978000,2620000,None,None,None,None,None,None,None,None,None,None,2620000,None,5638000,14000,2808000
VASC,2013-03-31,USD,4925000,None,None,None,None,1025000,1842000,-709000,137000,None,-1842000,-566000,None,None,None,None,None,None,None,None,None,None,-566000,None,2517000,-18000,2125000
VASC,2012-12-31,USD,5211000,None,None,None,None,941000,775000,84000,-30000,None,-9261000,1674000,None,None,None,None,None,None,None,None,None,None,1674000,None,-2353000,17000,3051000
VASC,2012-09-30,USD,5725000,None,None,None,None,898000,588000,-555000,823000,None,-2836000,54000,None,None,None,None,None,None,None,None,None,None,54000,None,2943000,14000,2566000
VASC,2012-06-30,USD,5204000,None,None,None,None,862000,892000,-472000,589000,None,-2384000,-2064000,None,None,None,None,None,None,None,None,None,None,-1961000,None,756000,-13000,2383000
VASC,2012-03-31,USD,3071000,None,None,None,None,850000,890000,-1141000,-350000,None,-4140000,-2449000,None,None,None,None,None,None,None,None,None,None,-2552000,None,-3518000,5000,1909000
VASC,2011-12-31,USD,14580000,None,None,None,None,None,2389000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2159000
VASC,2011-09-30,USD,9850000,None,None,None,None,None,1742000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3710000
