SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
VITC,2014-06-30,USD,4052000,None,None,None,None,None,869000,None,None,None,None,24000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2014-03-31,USD,4792000,None,None,None,None,None,523000,None,1490000,None,None,24000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2013-12-31,USD,None,None,None,None,None,None,3649000,None,None,None,None,1714000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2013-09-30,USD,None,None,None,None,None,None,3508000,None,None,None,None,793000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2013-06-30,USD,1262000,None,None,None,None,None,3433000,None,None,None,None,671000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2013-03-31,USD,None,None,None,None,None,None,1469000,None,None,None,None,538000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2012-12-31,USD,None,None,None,None,None,None,6457000,None,1503000,None,None,35023000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2012-09-30,USD,None,None,None,None,None,None,4909000,None,3608000,None,None,34952000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2012-06-30,USD,None,None,None,None,None,None,4053000,None,None,None,None,34935000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2012-03-31,USD,None,None,None,None,None,None,2422000,None,None,None,None,34883000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2011-12-31,USD,None,None,None,None,None,None,3040000,None,None,None,7586000,365000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2011-09-30,USD,None,None,None,None,None,None,2608000,None,None,None,8032000,27000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2011-06-30,USD,None,None,None,None,None,None,1967000,None,None,None,8738000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2011-03-31,USD,None,None,None,None,None,None,1308000,None,1291000,None,474000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2010-12-31,USD,6701000,None,None,None,None,None,16965000,None,None,None,7145000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2010-09-30,USD,3891000,None,None,None,None,None,12773000,None,None,None,None,5062000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2010-06-30,USD,7427000,None,None,None,None,None,14310000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2010-03-31,USD,5450000,None,None,None,None,None,2053000,None,191000,None,None,833000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2505000
VITC,2009-12-31,USD,14149000,None,None,None,None,None,7424000,None,None,None,None,40982000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2555000
VITC,2009-09-30,USD,14339000,None,None,None,None,None,4406000,None,None,None,None,39046000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VITC,2009-06-30,USD,5836000,None,None,None,None,None,3451000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3539000
