SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
VNOM,2020-12-31,USD,53350000,13925000,None,-2471000,-12786000,26567000,1170000,-12811000,None,-52691000,40865000,-82468000,-42500000,None,None,None,15841000,6731000,None,None,None,None,-24026000,None,11747000,None,-27619000
VNOM,2020-09-30,USD,27343000,1278000,None,8476000,13874000,25358000,None,13984000,None,16184000,8124000,-37756000,-27000000,None,None,None,4799000,2015000,20000,None,None,None,-1000,None,-2289000,None,-764000
VNOM,2020-06-30,USD,19752000,16301000,None,-4497000,-4777000,22782000,646000,-4925000,None,-33056000,-646000,-49714000,-20000000,None,None,None,15909000,6714000,20000,None,None,None,None,None,-33056000,None,-21752000
VNOM,2020-03-31,USD,96111000,1617000,None,3515000,-30768000,25216000,64626000,-30705000,None,-123850000,-64626000,5184000,77000000,None,None,None,71407000,30214000,20000,None,None,None,-383000,None,36669000,None,-142169000
VNOM,2019-12-31,USD,72463000,2921000,None,8062000,3836000,27072000,210876000,11344000,None,48528000,-203376000,114563000,-313000000,None,None,None,62173000,28484000,None,None,None,None,250000,None,-16350000,None,2291000
VNOM,2019-09-30,USD,62508000,8500000,None,1478000,-4144000,18932000,194465000,1464000,None,51097000,-188750000,133390000,197000000,None,None,None,63519000,29099000,None,None,None,None,None,None,7148000,None,7946000
VNOM,2019-06-30,USD,49390000,-2526000,None,1112000,23610000,16512000,43308000,10398000,None,49390000,-56523000,3925000,55500000,None,None,None,51358000,23521000,None,None,None,None,-9000,None,49390000,None,2265000
VNOM,2019-03-31,USD,74612000,4908000,None,-3242000,3191000,16415000,81923000,3147000,None,74612000,-81923000,22929000,-254000000,None,None,None,63316000,25970000,None,None,None,None,340648000,None,74612000,None,33779000
VNOM,2018-12-31,USD,50763000,4291000,None,1312000,-3353000,17729000,104289000,-3464000,None,50763000,-104289000,42057000,114500000,None,None,None,72011000,-72011000,None,None,None,None,-16000,None,50763000,None,-688000
VNOM,2018-09-30,USD,54082000,3119000,None,1653000,6484000,16731000,4687000,6556000,None,54082000,-257474000,177215000,-53500000,None,None,None,74413000,-74413000,None,None,None,None,305171000,None,54082000,None,2346000
VNOM,2018-06-30,USD,126804000,2956000,None,996000,3825000,13260000,103062000,3842000,None,126804000,-102621000,54356000,109500000,None,None,None,54673000,-54673000,None,None,None,None,-34000,None,126804000,None,99404000
VNOM,2018-03-31,USD,43703000,2072000,None,-1265000,4488000,11680000,149994000,4482000,None,43703000,-149869000,94611000,147000000,None,None,None,52386000,-52386000,None,None,None,None,None,None,43703000,None,42896000
VNOM,2017-12-31,USD,78237000,808000,None,931000,10282000,12087000,344079000,10051000,None,42070000,-42946000,17543000,58000000,None,None,None,38378000,-38378000,None,None,None,None,None,None,19759000,None,42070000
VNOM,2017-09-30,USD,53998000,722000,None,702000,6423000,11222000,301133000,6523000,None,26607000,-178454000,148668000,-46000000,None,None,None,37803000,-37803000,None,None,None,None,232471000,None,2824000,None,26607000
VNOM,2017-06-30,USD,22149000,477000,None,852000,-1844000,9672000,122679000,-1846000,None,22149000,-114100000,51769000,81500000,None,None,None,29521000,-29521000,None,None,None,None,-31000,None,-26949000,None,22149000
VNOM,2017-03-31,USD,43650000,582000,None,-1187000,2699000,7980000,8579000,2655000,None,20652000,-8579000,1864000,-120500000,None,None,None,25174000,-25174000,None,None,None,None,147539000,None,19350000,None,20652000
VNOM,2016-12-31,USD,35690000,702000,None,238000,3716000,8456000,205721000,3595000,None,16254000,-67935000,47317000,66000000,None,None,None,18174000,-18174000,None,None,None,None,-102000,None,1455000,None,16254000
VNOM,2016-09-30,USD,27679000,543000,None,398000,518000,6845000,137786000,1967000,None,10202000,-126467000,111528000,3000000,None,None,None,16593000,-16593000,None,None,None,None,125136000,None,1614000,None,10202000
VNOM,2016-06-30,USD,-14020000,369000,None,482000,2858000,6584000,11319000,1497000,None,-14020000,-9237000,-3397000,8500000,None,None,None,11879000,-11879000,None,None,None,None,None,None,1481000,None,-14020000
VNOM,2016-03-31,USD,-2481000,339000,None,823000,-3172000,8242000,2082000,-2915000,None,-23335000,-2082000,-9680000,8500000,None,None,None,18178000,-18178000,None,None,None,None,None,None,4124000,None,-23335000
