SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
VTTI,2017-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12200000
VTTI,2017-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9100000
VTTI,2016-12-31,USD,155900000,None,None,None,None,None,66500000,None,None,None,None,None,None,None,None,None,-54000000,-54000000,None,None,None,None,None,None,None,None,6900000
VTTI,2016-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7200000
VTTI,2016-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5600000
VTTI,2016-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5500000
VTTI,2015-12-31,USD,220600000,None,None,None,None,None,81000000,None,None,None,None,None,None,None,None,None,-46000000,-46000000,None,None,None,None,None,None,None,None,600000
VTTI,2015-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12000000
VTTI,2015-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5400000
VTTI,2015-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4500000
VTTI,2014-12-31,USD,134000000,None,None,None,None,None,121200000,None,None,None,None,None,None,None,None,None,-54900000,-54900000,None,None,None,None,None,None,None,None,3800000
VTTI,2014-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16900000
VTTI,2014-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5900000
VTTI,2014-03-31,USD,27700000,None,None,None,None,None,11900000,None,None,None,None,None,None,None,None,None,-12200000,-12200000,None,None,None,None,None,None,None,None,17500000
VTTI,2013-12-31,USD,149900000,None,None,None,None,None,84700000,None,None,None,None,None,None,None,None,None,-24200000,-24200000,None,None,None,None,None,None,None,None,20500000
VTTI,2013-09-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15200000
VTTI,2013-06-30,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14100000
VTTI,2013-03-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14700000
VTTI,2012-12-31,USD,121100000,None,None,None,None,None,146100000,None,None,None,None,54500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,60900000
