SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
WD,2020-12-31,USD,885498000,6925855000,None,None,-797778000,45013000,2983000,None,None,83099000,-32445000,-823631000,-779900000,3249000,3249000,None,11366000,11366000,None,1434000,29508000,None,-1815000,None,29422000,None,83099000
WD,2020-09-30,USD,-1474225000,5671121000,None,None,1506264000,41919000,2050000,None,None,53190000,73653000,1437284000,1487580000,15383000,15383000,None,11343000,11343000,None,6022000,901000,None,-9361000,None,36712000,None,53190000
WD,2020-06-30,USD,-530017000,7127782000,None,None,578613000,42317000,1539000,None,None,62059000,38061000,539227000,588794000,405000,405000,None,11294000,11294000,None,196000,3229000,None,-209000,None,104376000,None,62059000
WD,2020-03-31,USD,-292626000,3179496000,None,None,321537000,39762000,778000,None,None,47605000,35910000,364747000,419019000,26737000,26737000,None,11347000,11347000,None,6369000,29898000,None,-20368000,None,108031000,None,47829000
WD,2019-12-31,USD,520589000,3667491000,None,None,-430754000,39552000,545000,-2298000,None,42955000,-96500000,-367663000,-421236000,826000,826000,None,9336000,9336000,None,1058000,94087000,None,232000,None,56426000,None,42916000
WD,2019-09-30,USD,66176000,4208080000,None,None,-29784000,37636000,774000,None,None,44069000,-13912000,-65844000,-76790000,3935000,3935000,None,9306000,9306000,None,265000,30921000,None,-3670000,None,-13580000,None,44043000
WD,2019-06-30,USD,94359000,4183250000,None,None,66909000,37381000,1931000,None,None,56978000,18322000,-34606000,-23152000,1756000,1756000,None,9311000,9311000,None,1000,32781000,None,-1755000,None,94359000,None,42196000
WD,2019-03-31,USD,93987000,3791600000,None,None,151039000,37903000,1461000,None,None,56084000,12385000,136475000,151064000,24159000,24159000,None,9319000,9319000,None,4187000,21976000,None,-19972000,None,93987000,None,44218000
WD,2018-12-31,USD,101601000,15182678000,None,None,-1085549000,36271000,2757000,-4532000,None,65330000,-346222000,-916577000,-956447000,42120000,42120000,None,7845000,7845000,None,10000,94588000,None,-42110000,None,101601000,None,45750000
WD,2018-09-30,USD,87398000,19846000,None,None,890150000,36739000,814000,None,None,50659000,-67426000,962520000,905421000,5255000,5255000,None,7901000,7901000,None,872000,70052000,None,-4383000,None,87398000,None,37716000
WD,2018-06-30,USD,88459000,41332000,None,None,None,35489000,635000,None,None,52970000,-126202000,442085000,447582000,57000,57000,None,-7861000,7861000,None,3216000,None,None,3159000,None,88459000,None,41112000
WD,2018-03-31,USD,77526000,11305000,None,None,-163260000,33635000,516000,None,None,43891000,-12388000,-166198000,-124981000,21400000,21400000,None,-7838000,7838000,None,4851000,None,None,-16549000,None,77526000,None,36861000
WD,2017-12-31,USD,2396074000,17047222000,None,None,None,33705000,569000,-12234000,919491000,99554000,76730000,-2374694000,-2316285000,6036000,6036000,None,-31445000,-31445000,None,126000,None,None,-5910000,None,98110000,None,98961000
WD,2017-09-30,USD,-1748536000,22732000,None,None,None,32343000,2589000,None,None,34708000,121939000,1662734000,1774959000,11273000,11273000,None,None,None,None,2000,None,None,-11271000,None,36137000,None,34378000
WD,2017-06-30,USD,67372000,25890000,None,None,None,32860000,1205000,None,None,34512000,16405000,222142000,235950000,49000,49000,None,None,None,None,1000,None,None,-48000,None,67372000,None,34567000
WD,2017-03-31,USD,1329993000,24371000,None,None,None,32338000,844000,None,None,43060000,-110938000,-599673000,-650768000,17541000,17541000,None,None,None,None,2884000,None,None,-14657000,None,619382000,None,43221000
WD,2016-12-31,USD,-988386000,12062649000,None,None,None,30603000,657000,-5744000,656650000,37006000,9961000,548669000,589557000,519000,519000,None,-31445000,-31445000,None,326000,None,None,-193000,None,-376655000,None,36790000
WD,2016-09-30,USD,1942553000,17219000,None,None,None,29244000,1044000,None,None,29861000,-22791000,-898732000,-906339000,395000,395000,None,None,None,None,148000,None,None,-247000,None,1043924000,None,29628000
WD,2016-06-30,USD,58536000,11239000,None,None,None,26425000,293000,None,None,32111000,-93937000,1691442000,1665311000,3634000,3634000,None,-5000,-5000,None,0,None,None,-3634000,None,58536000,None,32021000
WD,2016-03-31,USD,3936851000,23195000,None,None,None,25155000,484000,None,None,15333000,40006000,-2035001000,-1999478000,8345000,8345000,None,None,None,None,3291000,None,None,-5054000,None,1903092000,None,15458000
