SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
WMS,2020-12-31,USD,162608000,4837000,None,-7848000,-60132000,16432000,28716000,-72608000,13854000,54041000,-28655000,-115323000,None,None,None,None,9105000,-9105000,None,None,None,None,714000,None,18630000,None,53774000
WMS,2020-09-30,USD,152435000,None,None,None,None,16463000,18664000,18013000,-16523000,80605000,-18644000,-164845000,None,None,None,None,7665000,-7665000,None,None,None,None,1036000,None,84629000,None,80236000
WMS,2020-06-30,USD,133733000,6934000,None,17893000,1473000,16423000,10295000,42093000,-44140000,70668000,-9860000,-62948000,None,None,None,None,7737000,-7737000,None,None,None,None,2239000,None,60925000,None,70466000
WMS,2020-03-31,USD,9871000,11235000,None,24234000,70438000,16808000,21384000,45695000,24231000,3533000,-14608000,83156000,None,None,None,None,8281000,-8281000,None,None,100000000,None,1883000,None,78419000,None,2305000
WMS,2019-12-31,USD,124607000,11282000,None,-24116000,-83249000,16025000,20671000,-95748000,13999000,23659000,-21507000,-59721000,None,None,None,None,7522000,-7522000,None,None,0,None,3850000,None,43379000,None,23288000
WMS,2019-09-30,USD,108871000,25565000,None,3817000,-22296000,15708000,15899000,389000,-22513000,8462000,-1104619000,1040770000,None,None,None,None,6683000,-6683000,None,None,390500000,None,294565000,None,45027000,None,7589000
WMS,2019-06-30,USD,62840000,4455000,None,30653000,12780000,1716000,9723000,44494000,-34803000,-227451000,-9736000,-52633000,None,None,None,None,69641000,-69641000,None,None,137400000,None,1513000,None,466000,-5000,-226356000
WMS,2019-03-31,USD,3656000,-23286000,None,19531000,50902000,61978000,12282000,34721000,17739000,1893000,-12523000,-2276000,None,None,None,None,5064000,-5064000,None,None,74100000,None,1971000,None,-10867000,276000,1010000
WMS,2018-12-31,USD,89861000,12602000,None,-28591000,-80298000,2150000,11831000,-81417000,673000,16550000,-11151000,-76289000,None,None,None,None,9466000,-9466000,None,None,81500000,None,464000,None,2146000,-275000,15812000
WMS,2018-09-30,USD,48330000,21411000,None,-13888000,-7148000,1985000,12425000,9739000,-15338000,29372000,-11887000,-37492000,None,None,None,None,5477000,-5477000,None,None,148700000,None,258000,None,-782000,267000,28670000
WMS,2018-06-30,USD,9831000,4952000,None,8806000,57535000,2175000,6874000,54910000,-1040000,33651000,-6983000,-1598000,None,None,None,None,6141000,-6141000,None,None,101400000,None,3215000,None,807000,-443000,32280000
WMS,2018-03-31,USD,39202000,-21422000,None,25949000,39368000,65229000,6585000,-10490000,49401000,-4856000,1280000,-424000,None,0,None,None,4967000,-4967000,None,None,90400000,None,1481000,None,-820000,113000,-5703000
WMS,2017-12-31,USD,203234000,7719000,None,-29759000,-96850000,2208000,8089000,-96646000,1645000,33215000,-2289000,-100703000,None,0,None,None,4838000,-4838000,None,None,61500000,None,7506000,None,7224000,-304000,32105000
WMS,2017-09-30,USD,17959000,21196000,None,-2888000,12541000,2015000,9086000,63994000,-48650000,17959000,-9086000,-31021000,None,0,None,None,4320000,-4320000,None,None,123000000,None,94000,None,2466000,-206000,17863000
WMS,2017-06-30,USD,-55014000,10397000,None,-6857000,52461000,2397000,17949000,47469000,2445000,18474000,-18203000,37195000,None,7947000,None,None,4353000,-4353000,None,None,287950000,None,-7941000,None,2267000,-188000,17742000
WMS,2017-03-31,USD,22722000,-159000,None,36789000,48468000,62217000,10172000,14058000,33215000,-18052000,-19838000,26245000,None,None,None,None,5809000,-5809000,None,None,97000000,None,1324000,None,-5647000,338000,-18110000
WMS,2016-12-31,USD,81313000,4898000,None,-15383000,-61960000,2116000,12708000,-60226000,483000,10258000,-17003000,-50259000,None,None,None,None,3673000,-3673000,None,None,79800000,None,0,None,3293000,-500000,9053000
WMS,2016-09-30,USD,24281000,5309000,None,None,None,2128000,11201000,6255000,-15057000,24281000,-11201000,-35013000,None,None,None,None,3673000,-3673000,None,None,121600000,None,39000,None,-364000,564000,23734000
WMS,2016-06-30,USD,19289000,7225000,None,-6200000,38451000,2187000,12595000,24858000,9276000,19421000,-12795000,16202000,None,None,None,None,3665000,-3665000,None,None,114000000,None,2648000,None,2613000,-662000,18273000
WMS,2016-03-31,USD,-82543000,-20907000,None,None,None,59237000,14972000,None,28330000,-11085000,-13615000,26632000,None,None,None,None,3569000,-16240000,None,None,86400000,None,917000,None,143000,1005000,-12119000
