SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
WW,2021-12-31,USD,8516000,141000000,None,-2663000,19664000,15506000,1021000,-2002000,9470000,12603000,-17839000,-34577000,0,None,None,None,None,None,None,None,None,None,None,None,-43900000,None,12611000
WW,2020-09-30,USD,79906000,16548000,None,-4264000,-4654000,14651000,1120000,-1404000,2272000,54514000,-8503000,-20012000,0,None,None,None,None,None,None,None,None,None,None,None,51391000,None,54525000
WW,2020-06-30,USD,39102000,15108000,None,-41200000,-11641000,14971000,5816000,-5269000,4508000,13982000,-13335000,-169156000,-148000000,None,None,None,None,None,None,None,None,None,None,None,28953000,None,14006000
WW,2020-03-31,USD,8416000,13562000,None,6101000,31252000,14395000,13533000,12275000,9690000,-6057000,-25914000,128206000,148000000,None,None,None,None,None,None,None,None,None,None,None,110708000,None,-6063000
WW,2019-12-31,USD,30702000,147823000,None,6149000,22356000,13916000,6680000,-387000,3063000,29428000,-18306000,-70572000,0,None,None,None,None,None,None,None,None,None,None,None,-58176000,None,29383000
WW,2019-09-30,USD,71887000,12930000,None,-4452000,-9206000,13046000,2878000,38000,-2544000,47027000,-10628000,-552000,0,None,None,None,None,None,None,None,None,None,None,None,60707000,None,47086000
WW,2019-06-30,USD,105473000,None,None,-27047000,-29243000,13759000,3542000,-4298000,549000,105473000,-12466000,-73035000,0,None,None,None,None,None,None,None,None,None,None,None,105473000,None,53834000
WW,2019-03-31,USD,21897000,12750000,None,7830000,10270000,13613000,4059000,3316000,8059000,21897000,-11223000,-38834000,0,None,None,None,None,None,None,None,None,None,None,None,21897000,None,-10687000
WW,2018-12-31,USD,80347000,None,None,6146000,14798000,13676000,7118000,-4764000,13036000,80347000,-19005000,-3649000,0,None,None,None,None,None,None,None,None,None,None,None,80347000,None,43785000
WW,2018-09-30,USD,118860000,None,None,-2442000,-9334000,13028000,4199000,3113000,-6889000,118860000,-14433000,-19327000,0,None,None,None,None,None,None,None,None,None,None,None,118860000,-277000,70132000
WW,2018-06-30,USD,127708000,None,None,-11890000,-11735000,12828000,5980000,4088000,-3758000,127708000,-22777000,-19678000,0,None,None,None,None,None,None,None,None,None,None,None,127708000,-2533000,70720000
WW,2018-03-31,USD,62073000,None,None,37135000,19409000,13068000,1753000,5562000,-1241000,62073000,-7743000,-31699000,-25000000,None,None,None,None,None,None,None,None,None,None,None,62073000,544000,39112000
WW,2017-12-31,USD,103628000,None,None,8248000,24719000,14369000,2977000,1324000,9325000,62969000,-9664000,-123126000,25000000,None,None,None,None,None,None,None,None,None,None,None,-95193000,128000,62970000
WW,2017-09-30,USD,175338000,None,None,11870000,-7585000,14208000,5141000,-3278000,1066000,44667000,-12008000,-2632000,None,None,None,None,None,None,None,None,None,None,None,None,73762000,1712000,44719000
WW,2017-06-30,USD,59232000,None,None,-32043000,-20220000,14068000,2203000,-4501000,-1250000,45164000,-8634000,-79970000,None,None,None,None,None,None,None,None,None,None,None,None,-30708000,2120000,45173000
WW,2017-03-31,USD,77467000,None,None,14411000,6505000,14347000,3411000,1011000,-4637000,10579000,-10485000,-5754000,None,None,None,None,None,None,None,None,None,None,None,None,26537000,437000,10653000
WW,2016-12-31,USD,45130000,None,None,4623000,13708000,14973000,1000000,2583000,4683000,13300000,-8014000,-5137000,None,None,None,None,0,None,None,None,None,None,None,None,9612000,-2364000,13299000
WW,2016-09-30,USD,131257000,None,None,1496000,-1773000,14852000,2863000,-2701000,1534000,34620000,-9652000,-53207000,None,None,None,None,1000,None,None,None,None,None,None,None,-15454000,-146000,34658000
WW,2016-06-30,USD,30481000,None,None,-56383000,12464000,22995000,633000,356000,237000,30481000,-10888000,-4305000,None,None,None,None,None,None,None,None,None,None,None,None,-13314000,-1154000,30494000
WW,2016-03-31,USD,76138000,None,None,40882000,-94000,24613000,1060000,-201000,3059000,-10800000,-8976000,-149573000,None,None,None,None,None,None,None,None,None,None,None,None,-113714000,1502000,-10753000
