SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
XOOM,2015-09-30,USD,-30223000,None,None,None,None,1612000,2381000,838000,None,None,11325000,2111000,None,None,None,None,None,None,None,None,None,None,2525000,None,-16787000,None,-16013000
XOOM,2015-06-30,USD,-6835000,None,None,None,None,1559000,1168000,309000,None,None,-12756000,-14480000,None,None,None,None,None,None,None,None,None,None,1127000,None,-34071000,None,-2336000
XOOM,2015-03-31,USD,44236000,None,None,None,None,1647000,1081000,-7189000,None,None,16077000,-11845000,None,None,None,None,None,None,None,None,None,None,1331000,None,48468000,None,-1263000
XOOM,2014-12-31,USD,-4407000,None,None,None,None,1703000,3719000,14884000,None,None,-12604000,-9681000,None,None,None,None,None,None,None,None,None,None,342000,None,-26692000,None,-28462000
XOOM,2014-09-30,USD,-41442000,None,None,None,None,1641000,6333000,-8408000,None,None,-2039000,41026000,None,None,None,None,None,None,None,None,None,None,1244000,None,-4229000,None,398000
XOOM,2014-06-30,USD,4509000,None,None,None,None,1406000,3531000,4323000,None,None,-4976000,594000,None,None,None,None,None,None,None,None,None,None,583000,None,127000,None,1398000
XOOM,2014-03-31,USD,1284000,None,None,None,None,1372000,929000,-13008000,None,None,-15433000,1180000,None,None,None,None,None,None,None,None,None,None,1176000,None,-12969000,None,352000
XOOM,2013-12-31,USD,12618000,None,None,None,None,1094000,899000,7096000,None,None,-8664000,537000,None,None,None,None,None,None,None,None,None,None,553000,None,4491000,None,1153000
XOOM,2013-09-30,USD,-8038000,None,None,None,None,944000,1733000,23979000,None,None,-35178000,58632000,None,None,None,None,None,None,None,None,None,None,2833000,None,15416000,None,1164000
XOOM,2013-06-30,USD,-6306000,None,None,None,None,786000,403000,-9497000,None,None,-10707000,24030000,None,None,None,None,None,None,None,None,None,None,30000,None,7017000,None,4090000
XOOM,2013-03-31,USD,-6960000,None,None,None,None,650000,395000,-28641000,None,None,-27989000,73927000,None,None,None,None,None,None,None,None,None,None,88927000,None,38978000,None,-79000
XOOM,2012-12-31,USD,None,None,None,None,None,None,3206000,None,None,None,None,13640000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
XOOM,2011-12-31,USD,None,None,None,None,None,None,1735000,None,None,None,None,49888000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
XOOM,2010-12-31,USD,None,None,None,None,None,None,894000,None,None,None,None,19543000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
