SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
XRM,2018-06-30,USD,8647000,None,None,None,None,0,4928000,None,957000,None,-4469000,-5886000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-2113000
XRM,2018-03-31,USD,-12159000,None,None,None,None,0,2510000,None,956000,None,-2422000,7137000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,2231000
XRM,2017-12-31,USD,24715000,None,None,None,None,0,13033000,None,1477000,None,-11736000,-7902000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-14646000
XRM,2017-09-30,USD,-1045000,None,None,None,None,0,11205000,None,3430000,None,-10529000,8465000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,1149000
XRM,2017-06-30,USD,2998000,None,None,None,None,0,8517000,None,3213000,None,-8227000,3277000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-6245000
XRM,2017-03-31,USD,-7223000,None,None,None,None,0,5285000,None,1136000,None,-5069000,9093000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-2834000
XRM,2016-12-31,USD,36509000,None,None,None,None,0,13706000,None,3746000,None,-29814000,-2326000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-21618000
XRM,2016-09-30,USD,21967000,None,None,None,None,0,9614000,None,5400000,None,-25745000,4193000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-12673000
XRM,2016-06-30,USD,17131000,None,None,None,None,0,5972000,None,2353000,None,-22080000,7380000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,2110000
XRM,2016-03-31,USD,14074000,None,None,None,None,0,3550000,None,2232000,None,-3530000,-3897000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-1445000
XRM,2015-12-31,USD,31163000,None,None,None,None,0,50871000,None,2985000,None,-47605000,16574000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-4380000
XRM,2015-09-30,USD,24856000,None,None,None,None,0,40376000,None,3640000,None,-40272000,17709000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,914000
XRM,2015-06-30,USD,14671000,None,None,None,None,0,27914000,None,1985000,None,-27852000,12127000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,1031000
XRM,2015-03-31,USD,8001000,None,None,None,None,0,12155000,None,1436000,None,-12123000,3947000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,1733000
XRM,2014-12-31,USD,6892000,None,None,None,None,0,45218000,None,9009000,None,-41788000,20693000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,11160000
XRM,2014-09-30,USD,1317000,None,None,None,None,0,33666000,None,7897000,None,-33503000,26713000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-18542000
XRM,2014-06-30,USD,8915000,None,None,None,None,0,22469000,None,7066000,None,-22345000,2871000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,762000
XRM,2014-03-31,USD,2763000,None,None,None,None,0,10494000,None,0,None,0,80000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,1167000
XRM,2013-12-31,USD,36114000,None,None,None,None,0,44145000,None,8777000,None,-41869000,-3274000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,3442000
XRM,2013-09-30,USD,30431000,None,None,None,None,0,15562000,None,5195000,None,-13327000,-2878000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,2104000
XRM,2013-06-30,USD,12275000,None,None,None,None,0,8457000,None,934000,None,-8103000,-2120000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,-1393000
