timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-09-20,7.37,8.0,7.2563,7.5525,7.5525,27088,0.0000,1.0
2018-09-19,7.7,7.7,7.2,7.375,7.375,8091,0.0000,1.0
2018-09-18,7.0,7.8599,6.9662,7.3399,7.3399,31734,0.0000,1.0
2018-09-17,7.34,7.4651,6.76,7.025,7.025,8457,0.0000,1.0
2018-09-14,7.28,7.335,7.0,7.24,7.24,5050,0.0000,1.0
2018-09-13,7.95,7.95,6.55,7.35,7.35,36000,0.0000,1.0
2018-09-12,8.0,8.0,7.5311,7.79,7.79,25403,0.0000,1.0
2018-09-11,7.06,7.9512,7.06,7.65,7.65,81486,0.0000,1.0
2018-09-10,6.99,7.05,6.52,7.0,7.0,15903,0.0000,1.0
2018-09-07,6.8,6.8,6.48,6.5486,6.5486,13923,0.0000,1.0
2018-09-06,6.5,6.5,6.4,6.5,6.5,14662,0.0000,1.0
2018-09-05,6.25,6.35,6.25,6.335,6.335,31839,0.0000,1.0
2018-09-04,6.25,6.35,6.2152,6.29,6.29,20798,0.0000,1.0
2018-08-31,6.23,6.23,6.1549,6.1968,6.1968,15893,0.0000,1.0
2018-08-30,6.4,6.4891,6.11,6.17,6.17,22514,0.0000,1.0
2018-08-29,6.09,6.5,5.905,6.251,6.251,81761,0.0000,1.0
2018-08-28,6.05,6.09,5.4,5.9676,5.9676,31301,0.0000,1.0
2018-08-27,6.5,6.5,6.0001,6.15,6.15,35246,0.0000,1.0
2018-08-24,6.58,6.6,6.3,6.355,6.355,29924,0.0000,1.0
2018-08-23,6.79,6.79,6.3,6.35,6.35,27350,0.0000,1.0
2018-08-22,6.44,6.55,6.1826,6.3,6.3,45557,0.0000,1.0
2018-08-21,6.0,6.7443,5.7,6.15,6.15,272880,0.0000,1.0
