timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-07-23,61.44,61.5,61.425,61.47,61.47,9136323,0.0000,1.0
2015-07-22,61.45,61.46,61.42,61.43,61.43,2564616,0.0000,1.0
2015-07-21,61.44,61.46,61.26,61.41,61.41,3926206,0.0000,1.0
2015-07-20,61.46,61.48,61.44,61.44,61.44,1110747,0.0000,1.0
2015-07-17,61.47,61.47,61.42,61.44,61.44,1715209,0.0000,1.0
2015-07-16,61.42,61.48,61.38,61.47,61.47,2341672,0.0000,1.0
2015-07-15,61.38,61.43,61.34,61.375,61.375,2606211,0.0000,1.0
2015-07-14,61.34,61.41,61.315,61.39,61.39,1104425,0.0000,1.0
2015-07-13,61.28,61.38,61.24,61.34,61.34,3266503,0.0000,1.0
2015-07-10,61.31,61.32,61.21,61.28,61.28,1970216,0.0000,1.0
2015-07-09,61.34,61.34,61.15,61.2,61.2,5785101,0.0000,1.0
2015-07-08,61.2,61.36,61.18,61.26,61.26,3143246,0.0000,1.0
2015-07-07,61.12,61.43,61.12,61.265,61.265,3683078,0.0000,1.0
2015-07-06,61.1,61.16,61.1,61.13,61.13,4498321,0.0000,1.0
2015-07-02,61.13,61.17,61.09,61.15,61.15,1777172,0.0000,1.0
2015-07-01,61.14,61.16,61.07,61.15,61.15,2162686,0.0000,1.0
2015-06-30,61.05,61.14,61.04,61.08,61.08,3256777,0.0000,1.0
2015-06-29,61.02,61.15,60.96,61.085,61.085,1935130,0.0000,1.0
2015-06-26,61.08,61.14,61.05,61.07,61.07,4232950,0.0000,1.0
2015-06-25,61.16,61.2,61.09,61.12,61.12,2386429,0.0000,1.0
2015-06-24,61.03,61.21,61.0,61.19,61.19,2429770,0.0000,1.0
2015-06-23,61.0,61.08,60.98,61.02,61.02,2552511,0.0000,1.0
2015-06-22,61.13,61.13,60.92,60.98,60.98,6103337,0.0000,1.0
2015-06-19,61.12,61.19,61.1,61.1,61.1,3316693,0.0000,1.0
2015-06-18,60.57,61.42,60.48,61.14,61.14,6332984,0.0000,1.0
2015-06-17,60.7,60.7,60.34,60.52,60.52,2002282,0.0000,1.0
2015-06-16,60.36,60.48,60.3,60.38,60.38,1771049,0.0000,1.0
2015-06-15,60.46,60.53,60.31,60.4,60.4,2314674,0.0000,1.0
2015-06-12,60.38,60.635,60.36,60.61,60.61,1427172,0.0000,1.0
2015-06-11,60.48,60.58,60.4,60.44,60.44,1544282,0.0000,1.0
2015-06-10,60.52,60.64,60.4,60.41,60.41,1527365,0.0000,1.0
2015-06-09,60.5,60.51,60.4,60.45,60.45,2716139,0.0000,1.0
2015-06-08,60.15,60.23,60.06,60.12,60.12,1768138,0.0000,1.0
2015-06-05,60.07,60.26,60.05,60.19,60.19,1646032,0.0000,1.0
2015-06-04,59.9,60.27,59.83,60.25,60.25,2243308,0.0000,1.0
2015-06-03,59.83,59.935,59.78,59.84,59.84,1898316,0.0000,1.0
2015-06-02,59.75,59.86,59.7,59.72,59.72,1876209,0.0000,1.0
2015-06-01,59.88,59.97,59.67,59.72,59.72,3197174,0.0000,1.0
2015-05-29,60.11,60.16,59.74,59.85,59.85,8455357,0.0000,1.0
2015-05-28,60.13,60.25,60.095,60.18,60.18,1626901,0.0000,1.0
2015-05-27,60.11,60.24,60.06,60.22,60.22,1262980,0.0000,1.0
2015-05-26,60.15,60.26,60.05,60.07,60.07,1879865,0.0000,1.0
2015-05-22,60.14,60.29,60.1,60.24,60.24,1405374,0.0000,1.0
2015-05-21,60.18,60.25,60.11,60.14,60.14,1700529,0.0000,1.0
2015-05-20,60.24,60.29,60.1,60.15,60.15,1104221,0.0000,1.0
2015-05-19,60.19,60.385,60.15,60.205,60.205,1946614,0.0000,1.0
2015-05-18,60.2,60.3,60.1,60.17,60.17,1512927,0.0000,1.0
2015-05-15,60.3,60.44,60.14,60.21,60.21,2439675,0.0000,1.0
2015-05-14,60.15,60.24,59.99,60.22,60.22,2811903,0.0000,1.0
2015-05-13,60.01,60.115,59.86,60.065,60.065,1869410,0.0000,1.0
2015-05-12,59.8,60.115,59.8,59.94,59.94,3830762,0.0000,1.0
2015-05-11,59.92,59.99,59.75,59.82,59.82,3582468,0.0000,1.0
2015-05-08,59.93,59.93,59.62,59.65,59.65,2701572,0.0000,1.0
2015-05-07,59.5,59.79,59.5,59.79,59.79,2114474,0.0000,1.0
2015-05-06,59.69,59.69,59.495,59.56,59.56,4371999,0.0000,1.0
2015-05-05,59.52,59.64,59.47,59.6,59.6,3304985,0.0000,1.0
2015-05-04,59.54,59.58,59.42,59.58,59.58,2879637,0.0000,1.0
2015-05-01,59.36,59.52,59.36,59.45,59.45,2192222,0.0000,1.0
2015-04-30,59.46,59.63,59.35,59.35,59.35,2871330,0.0000,1.0
2015-04-29,59.44,59.55,59.41,59.48,59.48,2744813,0.0000,1.0
2015-04-28,59.48,59.57,59.41,59.49,59.49,1605800,0.0000,1.0
2015-04-27,59.8,59.8,59.33,59.36,59.36,4827871,0.0000,1.0
2015-04-24,59.46,59.59,59.36,59.56,59.56,1977643,0.0000,1.0
2015-04-23,59.45,59.59,59.41,59.51,59.51,2748469,0.0000,1.0
2015-04-22,59.4,59.67,59.37,59.46,59.46,3187737,0.0000,1.0
2015-04-21,59.49,59.61,59.325,59.57,59.57,2468812,0.0000,1.0
2015-04-20,59.38,59.5,59.3,59.31,59.31,4150373,0.0000,1.0
2015-04-17,59.52,59.65,59.23,59.25,59.25,7443374,0.0000,1.0
2015-04-16,59.6,59.76,59.35,59.7,59.7,5403700,0.0000,1.0
2015-04-15,59.72,59.84,59.52,59.62,59.62,5583414,0.0000,1.0
2015-04-14,59.67,59.85,59.65,59.79,59.79,4587541,0.0000,1.0
2015-04-13,59.41,59.89,59.41,59.65,59.65,3829547,0.0000,1.0
2015-04-10,59.23,59.65,59.23,59.61,59.61,4509885,0.0000,1.0
