timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-04-17,10.74,10.8,10.73,10.74,10.74,406532,0.0000,1.0
2020-04-16,10.75,10.75,10.73,10.73,10.73,477191,0.0000,1.0
2020-04-15,10.75,10.8,10.74,10.75,10.75,509842,0.0000,1.0
2020-04-14,10.8,10.8,10.655,10.77,10.77,96113,0.0000,1.0
2020-04-13,10.72,10.795,10.63,10.76,10.76,66972,0.0000,1.0
2020-04-09,10.49,10.75,10.49,10.71,10.71,127770,0.0000,1.0
2020-04-08,10.4,10.6256,10.4,10.44,10.44,94369,0.0000,1.0
2020-04-07,10.51,10.57,10.35,10.42,10.42,97107,0.0000,1.0
2020-04-06,10.6,10.6,10.34,10.42,10.42,59829,0.0000,1.0
2020-04-03,10.4,10.64,10.31,10.45,10.45,110898,0.0000,1.0
2020-04-02,10.5,10.73,10.22,10.48,10.48,69409,0.0000,1.0
2020-04-01,10.56,10.62,10.42,10.55,10.55,60765,0.0000,1.0
2020-03-31,10.53,10.74,10.53,10.7,10.7,84178,0.0000,1.0
2020-03-30,10.58,10.66,10.29,10.53,10.53,74508,0.0000,1.0
2020-03-27,10.52,10.66,10.22,10.51,10.51,153221,0.0000,1.0
2020-03-26,10.55,10.72,10.43,10.56,10.56,65706,0.0000,1.0
2020-03-25,10.78,10.78,10.47,10.54,10.54,115701,0.0000,1.0
2020-03-24,10.78,10.8,10.66,10.74,10.74,126136,0.0000,1.0
2020-03-23,10.54,10.72,10.5,10.67,10.67,106001,0.0000,1.0
2020-03-20,10.61,10.755,10.28,10.66,10.66,179261,0.0000,1.0
2020-03-19,10.34,10.7253,10.21,10.63,10.63,514820,0.0000,1.0
2020-03-18,10.15,10.49,10.04,10.45,10.45,258950,0.0000,1.0
2020-03-17,10.52,10.67,10.21,10.6,10.6,150351,0.0000,1.0
2020-03-16,9.7,10.73,8.82,10.5,10.5,421235,0.0000,1.0
2020-03-13,10.78,10.79,10.67,10.75,10.75,692468,0.0000,1.0
2020-03-12,10.7,10.78,10.7,10.76,10.76,398630,0.0000,1.0
2020-03-11,10.77,10.83,10.73,10.78,10.78,229649,0.0000,1.0
2020-03-10,10.7,10.84,10.67,10.78,10.78,169838,0.0000,1.0
2020-03-09,10.68,10.7,10.63,10.66,10.66,229729,0.0000,1.0
2020-03-06,10.69,10.73,10.67,10.67,10.67,156245,0.0000,1.0
2020-03-05,10.69,10.72,10.68,10.69,10.69,138877,0.0000,1.0
2020-03-04,10.72,10.73,10.69,10.69,10.69,166283,0.0000,1.0
2020-03-03,10.71,10.73,10.7,10.7,10.7,101712,0.0000,1.0
2020-03-02,10.72,10.73,10.67,10.72,10.72,87371,0.0000,1.0
2020-02-28,10.68,10.76,10.68,10.76,10.76,312638,0.0000,1.0
2020-02-27,10.7,10.71,10.65,10.7,10.7,82641,0.0000,1.0
2020-02-26,10.71,10.74,10.68,10.72,10.72,121709,0.0000,1.0
2020-02-25,10.74,10.74,10.69,10.71,10.71,71265,0.0000,1.0
2020-02-24,10.68,10.72,10.675,10.71,10.71,84220,0.0000,1.0
2020-02-21,10.7,10.71,10.68,10.71,10.71,69537,0.0000,1.0
2020-02-20,10.69,10.72,10.685,10.7,10.7,55499,0.0000,1.0
2020-02-19,10.69,10.72,10.66,10.68,10.68,342890,0.0000,1.0
2020-02-18,10.89,10.99,10.61,10.67,10.67,301504,0.0000,1.0
2020-02-14,10.68,10.69,10.67,10.68,10.68,129140,0.0000,1.0
2020-02-13,10.66,10.7,10.63,10.69,10.69,284118,0.0000,1.0
2020-02-12,10.7,10.7,10.66,10.66,10.66,369081,0.0000,1.0
2020-02-11,10.69,10.71,10.69,10.69,10.69,185789,0.0000,1.0
2020-02-10,10.7,10.71,10.69,10.69,10.69,360686,0.0000,1.0
2020-02-07,10.7,10.74,10.68,10.7,10.7,185359,0.0000,1.0
2020-02-06,10.7,10.7,10.68,10.68,10.68,214586,0.0000,1.0
2020-02-05,10.7,10.7,10.68,10.69,10.69,234023,0.0000,1.0
2020-02-04,10.68,10.72,10.68,10.7,10.7,215621,0.0000,1.0
2020-02-03,10.68,10.68,10.67,10.68,10.68,134738,0.0000,1.0
2020-01-31,10.67,10.68,10.67,10.67,10.67,362860,0.0000,1.0
2020-01-30,10.67,10.68,10.66,10.67,10.67,266859,0.0000,1.0
2020-01-29,10.75,10.75,10.66,10.66,10.66,410448,0.0000,1.0
2020-01-28,10.68,10.68,10.65,10.67,10.67,566673,0.0000,1.0
2020-01-27,10.68,10.75,10.65,10.68,10.68,290420,0.0000,1.0
2020-01-24,10.67,10.75,10.67,10.72,10.72,779127,0.0000,1.0
2020-01-23,9.86,9.92,9.84,9.91,9.91,212476,0.0000,1.0
2020-01-22,10.16,10.23,9.78,9.86,9.86,192036,0.0000,1.0
2020-01-21,10.43,10.46,10.0627,10.12,10.12,116498,0.0000,1.0
2020-01-17,10.47,10.5,10.43,10.46,10.46,111095,0.0000,1.0
2020-01-16,10.45,10.49,10.41,10.46,10.46,106549,0.0000,1.0
2020-01-15,10.35,10.495,10.35,10.42,10.42,114821,0.0000,1.0
2020-01-14,10.3,10.47,10.22,10.42,10.42,178749,0.0000,1.0
2020-01-13,10.09,10.449,10.08,10.32,10.32,270903,0.0000,1.0
2020-01-10,10.1,10.1,10.02,10.07,10.07,87072,0.0000,1.0
2020-01-09,9.92,10.1,9.91,10.05,10.05,195869,0.0000,1.0
2020-01-08,9.86,9.93,9.85,9.92,9.92,332229,0.0000,1.0
2020-01-07,9.89,9.98,9.8,9.88,9.88,296529,0.0000,1.0
2020-01-06,9.86,9.95,9.805,9.91,9.91,356014,0.0000,1.0
2020-01-03,9.93,10.17,9.81,9.96,9.96,236908,0.0000,1.0
2020-01-02,9.8,9.99,9.78,9.95,9.95,700928,0.0000,1.0
2019-12-31,9.75,9.83,9.73,9.79,9.79,766503,0.0000,1.0
2019-12-30,9.77,9.81,9.72,9.75,9.75,427846,0.0000,1.0
2019-12-27,9.77,9.8,9.685,9.8,9.8,447463,0.0000,1.0
2019-12-26,9.74,9.8,9.665,9.79,9.79,251685,0.0000,1.0
2019-12-24,9.75,9.775,9.68,9.74,9.74,124459,0.0000,1.0
2019-12-23,9.77,9.84,9.65,9.74,9.74,483669,0.0000,1.0
2019-12-20,9.85,9.85,9.71,9.75,9.75,448672,0.0000,1.0
