timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-26,9.71,9.78,9.7,9.75,9.75,36542,0.0000,1.0
2021-03-25,9.67,9.7081,9.57,9.65,9.65,169718,0.0000,1.0
2021-03-24,9.75,9.8044,9.55,9.68,9.68,148689,0.0000,1.0
2021-03-23,9.88,9.88,9.61,9.7,9.7,184398,0.0000,1.0
2021-03-22,9.81,9.91,9.81,9.87,9.87,41757,0.0000,1.0
2021-03-19,9.895,9.93,9.78,9.88,9.88,41480,0.0000,1.0
2021-03-18,9.93,9.93,9.8,9.86,9.86,88188,0.0000,1.0
2021-03-17,9.9,9.99,9.82,9.91,9.91,132592,0.0000,1.0
2021-03-16,9.78,9.94,9.75,9.87,9.87,118068,0.0000,1.0
2021-03-15,9.874,9.9,9.76,9.9,9.9,134568,0.0000,1.0
2021-03-12,9.89,9.93,9.79,9.83,9.83,62489,0.0000,1.0
2021-03-11,9.99,9.99,9.82,9.85,9.85,91842,0.0000,1.0
2021-03-10,9.85,9.99,9.8,9.97,9.97,26813,0.0000,1.0
2021-03-09,9.84,9.95,9.7221,9.87,9.87,45356,0.0000,1.0
2021-03-08,9.8,9.88,9.75,9.8,9.8,577163,0.0000,1.0
