timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-26,23.41,23.72,23.13,23.69,23.69,563007,0.0000,1.0
2021-03-25,22.31,23.28,21.935,23.17,23.17,390347,0.0000,1.0
2021-03-24,22.81,23.37,22.5,22.55,22.55,1476620,0.0000,1.0
2021-03-23,22.51,22.93,22.4,22.56,22.56,1069885,0.0000,1.0
2021-03-22,23.07,23.15,22.55,22.75,22.75,579945,0.0000,1.0
2021-03-19,22.82,24.28,22.82,23.01,23.01,2015747,0.0000,1.0
2021-03-18,24.73,24.73,23.4,23.56,23.56,1005400,0.0000,1.0
2021-03-17,24.79,25.22,24.21,24.87,24.87,3713301,0.0000,1.0
2021-03-16,24.76,24.97,24.45,24.79,24.79,1714727,0.0000,1.0
2021-03-15,24.04,25.06,24.04,24.92,24.92,882999,0.0000,1.0
2021-03-12,23.75,24.3,23.53,24.22,24.22,639148,0.0000,1.0
2021-03-11,23.84,23.96,23.51,23.73,23.73,888803,0.0000,1.0
2021-03-10,22.59,24.07,22.59,23.76,23.76,3152994,0.0000,1.0
2021-03-09,22.86,23.1589,22.6,22.62,22.62,888091,0.0000,1.0
2021-03-08,22.93,23.25,22.5,22.7,22.7,548419,0.0000,1.0
2021-03-05,22.84,22.93,21.74,22.89,22.89,769386,0.0000,1.0
2021-03-04,23.64,23.64,21.98,22.56,22.56,955315,0.0000,1.0
2021-03-03,23.3,23.67,23.14,23.42,23.42,657612,0.0000,1.0
2021-03-02,23.54,23.55,22.52,23.21,23.21,782001,0.0000,1.0
2021-03-01,23.35,24.07,23.24,23.67,23.67,772807,0.0000,1.0
2021-02-26,23.78,23.88,22.98,23.2,23.2,1757015,0.0000,1.0
2021-02-25,24.23,24.99,23.32,23.6,23.6,2218010,0.0000,1.0
2021-02-24,23.46,24.27,22.51,24.23,24.23,1861297,0.0000,1.0
2021-02-23,23.46,23.98,23.38,23.39,23.39,700881,0.0000,1.0
2021-02-22,22.97,23.68,22.95,23.55,23.55,934791,0.0000,1.0
2021-02-19,23.0,23.22,22.895,23.03,23.03,838539,0.0000,1.0
2021-02-18,22.69,23.09,22.68,23.0,23.0,973371,0.0000,1.0
