timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-03-29,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-26,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-25,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-24,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-23,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-22,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-19,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-18,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-17,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-16,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-15,19.76,19.76,19.76,19.76,19.76,0,0.0000,1.0
2010-03-12,19.75,19.76,19.73,19.76,19.76,274592,0.0000,1.0
2010-03-11,19.75,19.76,19.74,19.76,19.76,48025,0.0000,1.0
2010-03-10,19.75,19.75,19.74,19.75,19.75,70830,0.0000,1.0
2010-03-09,19.74,19.75,19.73,19.75,19.75,288493,0.0000,1.0
2010-03-08,19.74,19.74,19.73,19.74,19.74,81390,0.0000,1.0
2010-03-05,19.74,19.75,19.72,19.72,19.72,123972,0.0000,1.0
2010-03-04,19.74,19.75,19.72,19.75,19.75,80254,0.0000,1.0
2010-03-03,19.75,19.75,19.72,19.72,19.72,121510,0.0000,1.0
2010-03-02,19.73,19.74,19.73,19.74,19.74,63525,0.0000,1.0
2010-03-01,19.74,19.74,19.72,19.73,19.73,147871,0.0000,1.0
2010-02-26,19.74,19.74,19.71,19.73,19.73,120145,0.0000,1.0
2010-02-25,19.72,19.74,19.72,19.74,19.74,132643,0.0000,1.0
2010-02-24,19.74,19.75,19.73,19.74,19.74,106968,0.0000,1.0
2010-02-23,19.73,19.74,19.72,19.73,19.73,77810,0.0000,1.0
2010-02-22,19.74,19.74,19.71,19.71,19.71,56507,0.0000,1.0
2010-02-19,19.74,19.75,19.73,19.74,19.74,115960,0.0000,1.0
