timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-26,9.82,9.97,9.82,9.84,9.84,47053,0.0000,1.0
2021-03-25,9.84,9.86,9.78,9.8,9.8,32626,0.0000,1.0
2021-03-24,9.87,9.87,9.75,9.78,9.78,123079,0.0000,1.0
2021-03-23,9.91,9.91,9.78,9.81,9.81,1237589,0.0000,1.0
2021-03-22,9.95,9.97,9.9,9.935,9.935,738116,0.0000,1.0
2021-03-19,9.91,9.95,9.9,9.95,9.95,14668,0.0000,1.0
2021-03-18,9.9701,9.9701,9.86,9.95,9.95,108255,0.0000,1.0
2021-03-17,10.0,10.0,9.92,9.97,9.97,36707,0.0000,1.0
2021-03-16,10.0,10.02,9.97,9.99,9.99,309002,0.0000,1.0
2021-03-15,10.02,10.02,9.98,9.98,9.98,288455,0.0000,1.0
2021-03-12,10.07,10.12,10.03,10.04,10.04,250460,0.0000,1.0
2021-03-11,10.06,10.1443,10.02,10.02,10.02,80064,0.0000,1.0
2021-03-10,10.17,10.185,10.02,10.15,10.15,138314,0.0000,1.0
2021-03-09,10.17,10.2,10.15,10.18,10.18,315534,0.0000,1.0
2021-03-08,10.05,10.19,10.03,10.18,10.18,531929,0.0000,1.0
2021-03-05,10.0,10.05,10.0,10.05,10.05,166004,0.0000,1.0
2021-03-04,10.08,10.12,9.99,10.03,10.03,265886,0.0000,1.0
2021-03-03,10.055,10.09,10.05,10.06,10.06,222351,0.0000,1.0
2021-03-02,10.1,10.15,10.05,10.08,10.08,347710,0.0000,1.0
2021-03-01,10.26,10.26,10.06,10.15,10.15,532744,0.0000,1.0
2021-02-26,10.27,10.31,10.2,10.26,10.26,268592,0.0000,1.0
2021-02-25,10.4,10.4177,10.25,10.3,10.3,152305,0.0000,1.0
2021-02-24,10.36,10.41,10.36,10.39,10.39,222607,0.0000,1.0
2021-02-23,10.44,10.48,10.35,10.4,10.4,61686,0.0000,1.0
2021-02-22,10.51,10.52,10.4311,10.5,10.5,76314,0.0000,1.0
2021-02-19,10.5,10.52,10.44,10.52,10.52,40699,0.0000,1.0
2021-02-18,10.48,10.48,10.403,10.46,10.46,23017,0.0000,1.0
2021-02-17,10.41,10.4599,10.4,10.45,10.45,27994,0.0000,1.0
2021-02-16,10.44,10.47,10.4,10.45,10.45,27559,0.0000,1.0
2021-02-12,10.55,10.55,10.41,10.43,10.43,26858,0.0000,1.0
2021-02-11,10.5,10.56,10.41,10.525,10.525,32007,0.0000,1.0
2021-02-10,10.45,10.54,10.42,10.54,10.54,60312,0.0000,1.0
2021-02-09,10.45,10.5,10.3902,10.49,10.49,98874,0.0000,1.0
2021-02-08,10.41,10.45,10.31,10.43,10.43,245389,0.0000,1.0
2021-02-05,10.4,10.45,10.34,10.37,10.37,221892,0.0000,1.0
2021-02-04,10.35,10.425,10.32,10.39,10.39,157243,0.0000,1.0
2021-02-03,10.36,10.45,10.31,10.33,10.33,247682,0.0000,1.0
2021-02-02,10.28,10.35,10.25,10.35,10.35,60142,0.0000,1.0
2021-02-01,10.25,10.3,10.2,10.25,10.25,280067,0.0000,1.0
2021-01-29,10.44,10.44,10.2,10.2,10.2,129251,0.0000,1.0
2021-01-28,10.24,10.36,10.24,10.3,10.3,90483,0.0000,1.0
2021-01-27,10.36,10.38,10.19,10.19,10.19,352832,0.0000,1.0
2021-01-26,10.5,10.56,10.45,10.45,10.45,442342,0.0000,1.0
2021-01-25,10.72,10.72,10.42,10.45,10.45,263527,0.0000,1.0
2021-01-22,10.5,10.68,10.5,10.55,10.55,119382,0.0000,1.0
2021-01-21,10.42,10.5,10.42,10.5,10.5,107177,0.0000,1.0
2021-01-20,10.47,10.48,10.31,10.42,10.42,163284,0.0000,1.0
2021-01-19,10.36,10.44,10.36,10.39,10.39,475939,0.0000,1.0
2021-01-15,10.46,10.49,10.3,10.35,10.35,610156,0.0000,1.0
2021-01-14,10.535,10.635,10.36,10.43,10.43,715002,0.0000,1.0
2021-01-13,10.4,10.64,10.38,10.43,10.43,1235288,0.0000,1.0
2021-01-12,10.45,10.45,10.24,10.3,10.3,13591467,0.0000,1.0
