timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-04-29,10.92,10.92,10.92,10.92,10.92,200,0.0000,1.0
2020-04-27,10.92,10.92,10.92,10.92,10.92,15,0.0000,1.0
2020-04-20,10.92,10.92,10.92,10.92,10.92,1,0.0000,1.0
2020-03-31,10.92,10.92,10.92,10.92,10.92,20,0.0000,1.0
2020-03-27,10.92,10.92,10.92,10.92,10.92,133,0.0000,1.0
2020-03-10,10.92,10.92,10.92,10.92,10.92,153400,0.0000,1.0
2020-02-19,10.6,10.6,10.55,10.55,10.55,4000,0.0000,1.0
2020-02-18,10.65,10.65,10.65,10.65,10.65,1,0.0000,1.0
2020-02-14,10.65,10.65,10.65,10.65,10.65,1,0.0000,1.0
2020-02-12,10.65,10.65,10.63,10.65,10.65,3096,0.0000,1.0
2020-02-11,11.0,11.0,11.0,11.0,11.0,15,0.0000,1.0
2020-02-06,11.04,11.05,11.0,11.0,11.0,500,0.0000,1.0
2020-02-05,10.6,10.6,10.6,10.6,10.6,1000,0.0000,1.0
2020-01-21,10.62,10.62,10.62,10.62,10.62,5,0.0000,1.0
2020-01-17,10.62,10.62,10.62,10.62,10.62,401,0.0000,1.0
2020-01-15,10.55,10.55,10.55,10.55,10.55,10000,0.0000,1.0
2020-01-08,10.52,10.52,10.52,10.52,10.52,1000,0.0000,1.0
2020-01-03,10.47,10.47,10.47,10.47,10.47,1,0.0000,1.0
2019-12-30,10.45,10.47,10.45,10.47,10.47,1700,0.0000,1.0
2019-12-12,10.4001,10.4001,10.4001,10.4001,10.4001,200,0.0000,1.0
2019-12-06,10.5,10.5,10.5,10.5,10.5,5000,0.0000,1.0
2019-12-05,10.5,10.51,10.5,10.5,10.5,10000,0.0000,1.0
2019-12-04,10.475,10.5,10.475,10.5,10.5,300,0.0000,1.0
2019-12-03,10.5,10.5,10.49,10.5,10.5,4124,0.0000,1.0
2019-11-18,10.5144,10.5144,10.5144,10.5144,10.5144,100,0.0000,1.0
2019-11-15,10.48,10.48,10.48,10.48,10.48,100,0.0000,1.0
2019-11-01,10.45,10.55,10.45,10.55,10.55,3500,0.0000,1.0
2019-10-30,10.4,10.4,10.4,10.4,10.4,5,0.0000,1.0
2019-10-25,10.4,10.4,10.4,10.4,10.4,100,0.0000,1.0
2019-10-23,10.44,10.44,10.44,10.44,10.44,200,0.0000,1.0
2019-10-10,10.41,10.41,10.335,10.335,10.335,5100,0.0000,1.0
2019-10-08,10.36,10.4,10.36,10.4,10.4,1900,0.0000,1.0
2019-10-07,10.3939,10.3939,10.3213,10.3213,10.3213,1000,0.0000,1.0
2019-10-01,10.4,10.4,10.4,10.4,10.4,15,0.0000,1.0
2019-09-25,10.4,10.4,10.4,10.4,10.4,1000,0.0000,1.0
2019-09-24,10.4,10.4,10.4,10.4,10.4,4000,0.0000,1.0
2019-09-17,10.38,10.3801,10.38,10.3801,10.3801,210,0.0000,1.0
2019-09-13,10.38,10.3801,10.38,10.3801,10.3801,200,0.0000,1.0
2019-09-11,10.38,10.38,10.38,10.38,10.38,200,0.0000,1.0
2019-08-22,10.37,10.37,10.37,10.37,10.37,1093,0.0000,1.0
2019-08-19,10.35,10.35,10.35,10.35,10.35,1000,0.0000,1.0
2019-08-15,10.29,10.29,10.29,10.29,10.29,1300,0.0000,1.0
2019-08-14,10.29,10.29,10.29,10.29,10.29,366,0.0000,1.0
2019-08-05,10.28,10.28,10.28,10.28,10.28,573,0.0000,1.0
2019-07-29,10.28,10.28,10.28,10.28,10.28,300,0.0000,1.0
2019-07-26,10.29,10.29,10.29,10.29,10.29,200,0.0000,1.0
2019-07-25,10.3,10.3,10.25,10.29,10.29,1000,0.0000,1.0
2019-07-24,10.25,10.3074,10.25,10.3074,10.3074,600,0.0000,1.0
2019-07-22,10.25,10.25,10.24,10.25,10.25,2334,0.0000,1.0
2019-07-19,10.24,10.24,10.22,10.22,10.22,1100,0.0000,1.0
2019-07-18,10.218,10.218,10.218,10.218,10.218,1000,0.0000,1.0
2019-07-17,10.21,10.22,10.21,10.22,10.22,200,0.0000,1.0
2019-07-16,10.21,10.21,10.21,10.21,10.21,19,0.0000,1.0
2019-07-11,10.21,10.21,10.21,10.21,10.21,2500,0.0000,1.0
2019-07-09,10.23,10.23,10.23,10.23,10.23,1428,0.0000,1.0
2019-07-05,10.2,10.2,10.2,10.2,10.2,1072,0.0000,1.0
2019-07-02,10.15,10.1502,10.15,10.1502,10.1502,200,0.0000,1.0
2019-06-27,10.15,10.15,10.15,10.15,10.15,1000,0.0000,1.0
2019-06-24,10.05,10.05,10.05,10.05,10.05,50,0.0000,1.0
2019-06-14,10.1684,10.172,10.05,10.05,10.05,1700,0.0000,1.0
2019-06-11,10.18,10.18,10.18,10.18,10.18,100,0.0000,1.0
2019-06-10,10.18,10.18,10.18,10.18,10.18,100,0.0000,1.0
2019-06-07,10.14,10.14,10.14,10.14,10.14,197,0.0000,1.0
2019-05-31,10.1419,10.1419,10.1419,10.1419,10.1419,97,0.0000,1.0
2019-05-30,10.08,10.15,10.08,10.1419,10.1419,13530,0.0000,1.0
2019-05-29,10.1253,10.1253,10.1253,10.1253,10.1253,100,0.0000,1.0
2019-05-28,10.1,10.105,10.09,10.1,10.1,7500,0.0000,1.0
2019-05-23,10.0932,10.0932,10.0932,10.0932,10.0932,100,0.0000,1.0
2019-05-22,10.13,10.15,10.1264,10.13,10.13,4100,0.0000,1.0
2019-05-20,10.137,10.14,10.11,10.11,10.11,700,0.0000,1.0
2019-05-17,10.1392,10.14,10.11,10.11,10.11,1053,0.0000,1.0
2019-05-15,10.05,10.05,10.05,10.05,10.05,97,0.0000,1.0
2019-05-08,10.14,10.14,10.05,10.05,10.05,2000,0.0000,1.0
2019-05-03,10.15,10.15,10.15,10.15,10.15,219650,0.0000,1.0
2019-04-26,10.12,10.12,10.12,10.12,10.12,1000,0.0000,1.0
2019-04-25,10.12,10.14,10.12,10.12,10.12,10800,0.0000,1.0
2019-04-24,10.11,10.15,10.1,10.12,10.12,5405,0.0000,1.0
2019-04-11,10.08,10.09,10.08,10.09,10.09,15477,0.0000,1.0
2019-04-10,10.06,10.06,10.05,10.05,10.05,5350,0.0000,1.0
2019-04-09,10.07,10.08,10.055,10.055,10.055,1200,0.0000,1.0
