timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-26,9.84,9.93,9.8,9.9,9.9,79744,0.0000,1.0
2021-03-25,9.83,9.85,9.77,9.8,9.8,216479,0.0000,1.0
2021-03-24,9.879,9.89,9.83,9.86,9.86,38834,0.0000,1.0
2021-03-23,9.92,9.93,9.84,9.87,9.87,123432,0.0000,1.0
2021-03-22,9.95,9.9599,9.92,9.94,9.94,30072,0.0000,1.0
2021-03-19,9.93,9.95,9.85,9.95,9.95,73411,0.0000,1.0
2021-03-18,9.97,9.97,9.92,9.93,9.93,18228,0.0000,1.0
2021-03-17,9.96,10.0,9.94,9.94,9.94,3426,0.0000,1.0
2021-03-16,9.9663,9.98,9.92,9.98,9.98,76104,0.0000,1.0
2021-03-15,10.0,10.04,9.98,9.98,9.98,238722,0.0000,1.0
2021-03-12,10.0,10.005,9.99,10.0,10.0,138540,0.0000,1.0
2021-03-11,10.02,10.02,9.98,10.0,10.0,660657,0.0000,1.0
2021-03-10,10.0,10.0104,9.98,9.99,9.99,217955,0.0000,1.0
2021-03-09,10.01,10.05,9.99,10.0,10.0,630279,0.0000,1.0
2021-03-08,10.01,10.06,10.0,10.0,10.0,109248,0.0000,1.0
2021-03-05,9.985,10.1,9.98,10.06,10.06,292574,0.0000,1.0
2021-03-04,10.0,10.01,9.97,9.97,9.97,343048,0.0000,1.0
2021-03-03,10.05,10.05,10.0,10.01,10.01,542910,0.0000,1.0
2021-03-02,10.06,10.06,9.995,10.01,10.01,1851823,0.0000,1.0
2021-03-01,10.11,10.11,10.02,10.06,10.06,3437170,0.0000,1.0
2021-02-26,10.03,10.04,10.0,10.0,10.0,13640463,0.0000,1.0
