timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-07-07,1.62,1.63,1.62,1.62,1.62,131821,0.0000,1.0
2015-07-06,1.62,1.63,1.62,1.63,1.63,48676,0.0000,1.0
2015-07-02,1.62,1.63,1.62,1.63,1.63,102631,0.0000,1.0
2015-07-01,1.62,1.63,1.62,1.62,1.62,23459,0.0000,1.0
2015-06-30,1.62,1.63,1.62,1.62,1.62,39023,0.0000,1.0
2015-06-29,1.62,1.63,1.61,1.63,1.63,205524,0.0000,1.0
2015-06-26,1.62,1.63,1.62,1.63,1.63,36487,0.0000,1.0
2015-06-25,1.62,1.63,1.62,1.62,1.62,55487,0.0000,1.0
2015-06-24,1.62,1.63,1.62,1.63,1.63,75429,0.0000,1.0
2015-06-23,1.62,1.63,1.62,1.62,1.62,110317,0.0000,1.0
2015-06-22,1.62,1.63,1.62,1.62,1.62,128448,0.0000,1.0
2015-06-19,1.62,1.63,1.62,1.63,1.63,127144,0.0000,1.0
2015-06-18,1.62,1.63,1.62,1.63,1.63,69825,0.0000,1.0
2015-06-17,1.62,1.63,1.62,1.63,1.63,21270,0.0000,1.0
2015-06-16,1.63,1.63,1.62,1.63,1.63,111796,0.0000,1.0
2015-06-15,1.62,1.63,1.62,1.63,1.63,89273,0.0000,1.0
2015-06-12,1.62,1.63,1.62,1.62,1.62,95440,0.0000,1.0
2015-06-11,1.62,1.63,1.62,1.62,1.62,66780,0.0000,1.0
2015-06-10,1.62,1.63,1.61,1.62,1.62,261923,0.0000,1.0
2015-06-09,1.63,1.63,1.6,1.62,1.62,921230,0.0000,1.0
2015-06-08,1.61,1.62,1.61,1.61,1.61,39343,0.0000,1.0
2015-06-05,1.61,1.625,1.61,1.61,1.61,132355,0.0000,1.0
2015-06-04,1.61,1.64,1.61,1.615,1.615,227334,0.0000,1.0
2015-06-03,1.61,1.62,1.61,1.62,1.62,205035,0.0000,1.0
2015-06-02,1.62,1.62,1.61,1.61,1.61,204942,0.0000,1.0
2015-06-01,1.62,1.62,1.61,1.62,1.62,501063,0.0000,1.0
2015-05-29,1.61,1.62,1.61,1.62,1.62,283461,0.0000,1.0
2015-05-28,1.6,1.62,1.6,1.61,1.61,1075984,0.0000,1.0
2015-05-27,1.6,1.61,1.59,1.61,1.61,10276348,0.0000,1.0
2015-05-26,1.39,1.4,1.35,1.38,1.38,35408,0.0000,1.0
2015-05-22,1.4,1.43,1.37,1.39,1.39,42784,0.0000,1.0
2015-05-21,1.37,1.4,1.36,1.39,1.39,23841,0.0000,1.0
2015-05-20,1.43,1.43,1.38,1.4,1.4,44366,0.0000,1.0
2015-05-19,1.49,1.51,1.43,1.44,1.44,48108,0.0000,1.0
2015-05-18,1.4,1.51,1.4,1.51,1.51,74053,0.0000,1.0
2015-05-15,1.35,1.439,1.34,1.43,1.43,49957,0.0000,1.0
2015-05-14,1.36,1.36,1.3216,1.33,1.33,35460,0.0000,1.0
2015-05-13,1.36,1.36,1.3,1.34,1.34,21191,0.0000,1.0
2015-05-12,1.3,1.34,1.3,1.34,1.34,21916,0.0000,1.0
2015-05-11,1.32,1.33,1.3,1.33,1.33,37141,0.0000,1.0
2015-05-08,1.3,1.35,1.2,1.32,1.32,96706,0.0000,1.0
2015-05-07,1.3,1.34,1.3,1.31,1.31,200451,0.0000,1.0
2015-05-06,1.33,1.33,1.28,1.3,1.3,34271,0.0000,1.0
2015-05-05,1.35,1.4,1.3,1.32,1.32,220043,0.0000,1.0
2015-05-04,1.28,1.36,1.28,1.33,1.33,119513,0.0000,1.0
2015-05-01,1.3,1.3,1.25,1.26,1.26,92058,0.0000,1.0
2015-04-30,1.27,1.32,1.24,1.29,1.29,64564,0.0000,1.0
2015-04-29,1.27,1.32,1.26,1.3,1.3,233173,0.0000,1.0
2015-04-28,1.2302,1.27,1.22,1.27,1.27,27727,0.0000,1.0
2015-04-27,1.27,1.29,1.24,1.24,1.24,86727,0.0000,1.0
