timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-09-07,19.8,19.8,19.8,19.8,19.8,0,0.0000,1.0
2018-09-06,19.85,19.95,19.8,19.8,19.8,1001658,0.0000,1.0
2018-09-05,19.7,19.85,19.7,19.85,19.85,613675,0.0000,1.0
2018-09-04,19.65,19.8,19.65,19.75,19.75,456499,0.0000,1.0
2018-08-31,19.65,19.7,19.6,19.6,19.6,631417,0.0000,1.0
2018-08-30,19.6,19.75,19.6,19.65,19.65,499673,0.3804,1.0
2018-08-29,20.05,20.15,20.0195,20.05,19.6691983148,278834,0.0000,1.0
2018-08-28,20.0,20.1,20.0,20.1,19.7182486846,128979,0.0000,1.0
2018-08-27,20.05,20.1,20.0,20.0,19.6201479449,214464,0.0000,1.0
2018-08-24,20.1,20.1,20.0,20.1,19.7182486846,180502,0.0000,1.0
2018-08-23,20.05,20.1,20.05,20.1,19.7182486846,68521,0.0000,1.0
2018-08-22,20.0,20.1,20.0,20.1,19.7182486846,733509,0.0000,1.0
2018-08-21,19.95,20.0,19.9,19.95,19.571097575,367964,0.0000,1.0
2018-08-20,20.0,20.05,19.9,19.95,19.571097575,324669,0.0000,1.0
2018-08-17,19.95,20.05,19.95,19.95,19.571097575,148845,0.0000,1.0
2018-08-16,19.8,19.975,19.8,19.95,19.571097575,171785,0.0000,1.0
2018-08-15,19.75,19.9,19.725,19.85,19.4729968353,351802,0.0000,1.0
2018-08-14,19.8,19.85,19.7,19.8,19.4239464655,145300,0.0000,1.0
2018-08-13,19.8,19.88,19.73,19.75,19.3748960956,196200,0.0000,1.0
2018-08-10,19.8,19.875,19.725,19.8,19.4239464655,219041,0.0000,1.0
2018-08-09,19.75,19.85,19.75,19.8,19.4239464655,99135,0.0000,1.0
2018-08-08,19.75,19.8824,19.7,19.8,19.4239464655,322706,0.0000,1.0
2018-08-07,19.85,19.85,19.7,19.7,19.3258457257,171702,0.0000,1.0
2018-08-06,19.8,19.9,19.8,19.85,19.4729968353,129875,0.0000,1.0
2018-08-03,19.85,19.9,19.8,19.9,19.5220472052,117393,0.0000,1.0
2018-08-02,19.85,19.95,19.8,19.85,19.4729968353,226013,0.0000,1.0
2018-08-01,19.95,19.95,19.77,19.8,19.4239464655,143014,0.0000,1.0
2018-07-31,20.0,20.075,19.925,20.05,19.6691983148,298675,0.0000,1.0
2018-07-30,19.8,20.05,19.8,19.95,19.571097575,284056,0.0000,1.0
2018-07-27,19.75,19.85,19.7,19.85,19.4729968353,150669,0.0000,1.0
2018-07-26,19.7,19.8252,19.65,19.75,19.3748960956,170742,0.0000,1.0
2018-07-25,19.65,19.8,19.6,19.7,19.3258457257,709468,0.0000,1.0
2018-07-24,19.75,19.75,19.6,19.7,19.3258457257,621238,0.0000,1.0
2018-07-23,19.75,19.8,19.7,19.7,19.3258457257,129410,0.0000,1.0
2018-07-20,19.75,19.85,19.7,19.8,19.4239464655,187946,0.0000,1.0
2018-07-19,19.75,19.825,19.681,19.75,19.3748960956,183032,0.0000,1.0
2018-07-18,19.7,19.75,19.65,19.75,19.3748960956,151003,0.0000,1.0
2018-07-17,19.75,19.75,19.5,19.7,19.3258457257,177101,0.0000,1.0
2018-07-16,19.7,19.7,19.6,19.7,19.3258457257,172300,0.0000,1.0
2018-07-13,19.8,19.8,19.7,19.7,19.3258457257,94789,0.0000,1.0
2018-07-12,19.85,19.85,19.75,19.75,19.3748960956,110391,0.0000,1.0
2018-07-11,19.75,19.85,19.75,19.85,19.4729968353,191657,0.0000,1.0
2018-07-10,19.8,19.85,19.7,19.75,19.3748960956,237806,0.0000,1.0
2018-07-09,19.9,19.9,19.75,19.75,19.3748960956,167343,0.0000,1.0
2018-07-06,19.85,19.9,19.8,19.85,19.4729968353,147831,0.0000,1.0
2018-07-05,19.75,19.85,19.7,19.85,19.4729968353,172924,0.0000,1.0
2018-07-03,19.65,19.8,19.55,19.7,19.3258457257,344091,0.0000,1.0
2018-07-02,19.6,19.7,19.5,19.55,19.1786946161,726526,0.0000,1.0
2018-06-29,19.7,19.7296,19.575,19.6,19.227744986,294401,0.0000,1.0
2018-06-28,19.5,19.7,19.4698,19.7,19.3258457257,271932,0.0000,1.0
2018-06-27,19.65,19.6784,19.375,19.45,19.0805938764,390178,0.5000,1.0
2018-06-26,20.15,20.2,20.015,20.1,19.2240569883,406100,0.0000,1.0
2018-06-25,20.05,20.15,20.0,20.125,19.2479675069,340623,0.0000,1.0
2018-06-22,20.05,20.1,19.95,20.0,19.1284149137,586147,0.0000,1.0
2018-06-21,20.05,20.05,19.95,20.0,19.1284149137,323372,0.0000,1.0
2018-06-20,20.05,20.05,19.942,20.05,19.176235951,414807,0.0000,1.0
2018-06-19,19.9,20.05,19.9,20.0,19.1284149137,380840,0.0000,1.0
2018-06-18,19.85,19.9,19.8,19.9,19.0327728391,374570,0.0000,1.0
2018-06-15,19.8,19.9,19.75,19.8,18.9371307646,1134361,0.0000,1.0
2018-06-14,19.85,19.9,19.75,19.9,19.0327728391,591057,0.0000,1.0
2018-06-13,19.7,19.85,19.65,19.75,18.8893097273,1329678,0.0000,1.0
2018-06-12,20.0,20.0,19.85,19.85,18.9849518018,1463322,0.0000,1.0
2018-06-11,19.85,20.0,19.85,19.95,19.0805938764,487364,0.0000,1.0
2018-06-08,19.9,19.95,19.8,19.9,19.0327728391,567268,0.0000,1.0
2018-06-07,19.75,19.9,19.75,19.9,19.0327728391,359281,0.0000,1.0
2018-06-06,19.9,19.9,19.75,19.8,18.9371307646,528382,0.0000,1.0
2018-06-05,19.85,19.85,19.775,19.85,18.9849518018,445158,0.0000,1.0
2018-06-04,19.95,19.95,19.75,19.85,18.9849518018,902864,0.0000,1.0
2018-06-01,19.95,19.95,19.75,19.9,19.0327728391,919262,0.0000,1.0
2018-05-31,20.15,20.15,19.8,19.95,19.0805938764,508997,0.0000,1.0
2018-05-30,19.95,20.2,19.85,20.15,19.2718780256,855541,0.0000,1.0
2018-05-29,19.8,20.0,19.75,19.95,19.0805938764,638459,0.0000,1.0
2018-05-25,19.9,19.9,19.775,19.9,19.0327728391,405230,0.0000,1.0
2018-05-24,19.9,19.9,19.8,19.9,19.0327728391,787722,0.0000,1.0
2018-05-23,20.0,20.0,19.9,20.0,19.1284149137,688367,0.0000,1.0
2018-05-22,20.0,20.05,19.9,19.9,19.0327728391,1142879,0.0000,1.0
2018-05-21,19.85,20.05,19.775,20.05,19.176235951,1196622,0.0000,1.0
2018-05-18,19.8,19.85,19.75,19.85,18.9849518018,265673,0.0000,1.0
2018-05-17,19.8,19.85,19.7,19.75,18.8893097273,1942818,0.0000,1.0
2018-05-16,19.75,19.85,19.675,19.75,18.8893097273,2344589,0.0000,1.0
2018-05-15,19.7,19.8,19.65,19.65,18.7936676527,627802,0.0000,1.0
2018-05-14,19.7,19.8,19.65,19.75,18.8893097273,725007,0.0000,1.0
2018-05-11,19.7,19.775,19.65,19.75,18.8893097273,581982,0.0000,1.0
